place_id,associated_search_term,search_weight
0,Kedarnath Temple,1
0,Shree Tungnath Temple,1
0,Triyuginarayan Temple,1
0,Tunganath Ganesh Mandir,1
0,Tungnath. Official,1
1,Corbett Jungle Safari,1
1,Corbett Tiger Reserve,1
1,Dhikala Corbett national park,1
1,Jeep Safari Jim Corbett National Park,1
1,Jim Corbett National Park Ramnagar Tour Safari Packages,1
2,Deer park malsi,1
2,Dehradun Zoo,1
2,Dehradun Zoo Aquarium,1
2,Fun Park - DDZ,1
2,MDDA Park,1
3,Parmarth Niketan - Ganga Ghat,1
3,Ram jhula,1
3,Shatrughana Temple Ghat,1
3,Shri Ram Mandir,1
3,Vishwnath Ghat,1
4,0,1
4,Kanva prachin mandir,1
4,Kanvashram Deer Park,1
4,Kanwashram Temple,1
4,"Library cum Museum, Kanvashram Vikas Samiti",1
5,"Bheem Pakora, Lansdowne",1
5,Bhulla Taal,1
5,Manwaring View Point,1
5,Snowview point,1
5,दरबान सिंह संग्रहालय,1
6,"Bagnath Temple, Bageshwar",1
6,Baijnath Bairaj,1
6,Baijnath Lake,1
6,"Baijnath Temple , Garur , Bageshwar",1
6,Shri Bageshwar Mahadev Mandir,1
7,Manak Sidh Baba Mandir,1
7,Mansa Devi Temple,1
7,Shiv Mandir Dehradun,1
7,Sura Devi Temple,1
7,"Tapkeshwar Mahadev Mandir, Dehradun",1
8,Kanchan,1
8,Kedarnath Dham Trekking Way,1
8,Kedarnath Reserve National Park,1
8,Kedarnath Trekking way,1
8,Nanda Devi Wildlife Sanctuary,1
9,Almora Uttarakhand,1
9,Almora ZOO,1
9,Almora hills,1
9,Lamgara Almora,1
9,चौघानपाटा अल्मोड़ा,1
10,Maldevta Bridge,1
10,Maldevta Picnic Point,1
10,Maldevta Picnic Spot,1
10,Picnic spot,1
10,Waterfall Maldevta,1
11,Dehradun Zoo,1
11,Non Wood Forest Museum,1
11,Regional Science Center (RSC) Dehradun,1
11,Silviculture Museum,1
11,Subir Raha Oil Museum,1
12,Hanuman Mandir,1
12,"Maa Naina Devi Temple, Nainital",1
12,Naina Devi Mandir,1
12,Pasan Devi Temple,1
12,Shiv Mandir,1
13,"Amrapur Ghat, Haridwar",1
13,"Chandi ghat Bridge, Haridwar",1
13,Ganga Ghat,2
13,Haridwar Ghat,1
14,0,1
14,Auli,1
14,Auli Ski & Snowboard School,1
14,Auli Tourism,1
14,Auli skiing Point,1
15,Bhootnath Temple Rishikesh,1
15,Lakshman Temple,1
15,Mahadev Mandir,1
15,Rishikesh Shiv Mandir,1
15,"Trayambakeshwar, Om Shiv Pooja bhandar",1
16,0,1
16,Naini Lake,1
16,Nainital Lake,1
16,Nainital view point,1
16,Snow View,1
17,Dhanauti,1
17,Dhar snow view point,1
17,Mundali skating area,1
17,Valley View Point,1
17,YOUNG point यंग पोईण्ट,1
18,Dhikala Corbett national park,1
18,Dhikala Forest Rest House,1
18,Dhikala Jeep Safari,1
18,Forest Rest House Jim Corbett,1
18,Jim Corbett National Park,1
19,Alkeshwar shamshaan sthal,1
19,Guldaar ghat,1
19,Shiv Mandir,1
19,Shree Kamaleshwer Mahadev Temple,1
19,Srinagar Garhwal,1
20,0,1
20,Children's Park,1
20,Crystal world,1
20,Dolphin Trading Company,1
20,First Ride,1
21,Kedarnath Temple,1
21,Koteshwar Temple,1
21,Parvati Mandir,1
21,Shri Madmaheshwar Temple Bura Maheswar,1
21,Tungnath,1
22,Barrage Tourist Park,1
22,Dakpathar Barrage Office,1
22,Deer Park,1
22,"Yamuna river View Point ,Dakpathar",1
22,दक्पथर बँरेज,1
23,Benog Wildlife Sanctuary,1
23,Camel Rock View,1
23,K Dev Bhoomi Wax Museum,1
23,Lal Tibba Scenic Point,1
23,Mossy Falls,1
24,Bainital,1
24,Balan.बालन,1
24,Bekaltal,1
24,Divyanshu Khatri,1
24,बेनीताल मार्ग,1
25,Corbett Explore (Call For Safari Services),1
25,Corbett Falls,1
25,Corbett Farmyard,1
25,Jim Corbett Museum,1
25,"Nainital Tourism,Places to see near Nainital , Jim Corbett National Park",1
26,Maneshwar Temple,1
26,Nagnath Temple,1
26,Shree Kranteshwar Mahadev Temple,1
26,Subh tour & travals,1
26,शिव मंदिर,1
27,0,5
28,Dalai Hills,1
28,Lal Tibba Scenic Point,1
28,The Buddha Temple,1
28,The View Point,1
28,Treking from mussoorie to nagtiba,1
29,Chaina View Ashoke Dwar,1
29,Doctor Bhim Rao Ambedkar Park,1
29,Himalaya View Point,1
29,Mankameshwar Temple,1
29,Rajiv Gandhi Park,1
30,Binsar Forest Retreat,1
30,Binsar Nature Gift Shop,1
30,Binsar forest,1
30,Binsar sanctury gate,1
30,Binsar zero point,1
31,Bhagirath Shila,1
31,Gangotri Dham Uttarkashi Uttrakhand,1
31,Gangotri Temple,1
31,"Gourikund, Gangotri",1
31,Kedar Ganga River Bridge,1
32,Airadiyo Temple (Dakshni Kailash Aashram),1
32,Anamay Vedic Ashram,1
32,Gandhi Ashram Kausani,1
32,Himalaya Darshan Resort,1
32,Kausani,1
33,Kaleshwar Mahadev Temple,1
33,Koteshwar Temple,1
33,Maheshwari ashram Tarkeshwar mahadev,1
33,Tarkeshwar - Siddh Peeth Tadkeshwar Dham Mandir,1
33,Tarkeshwar Mahadev Mandir,1
34,Betalghat,1
34,Eon Hills,1
34,Himalaya View Point,1
34,Ranijheel,1
34,Silent Pahadi,1
35,Bhairwa Temple,1
35,GARJIYA DEVI TEMPLE RAMNAGAR,1
35,Garjiya And Shiv Mandir,1
35,"Garjiya Mata Mandir, Ramnagar",1
35,प्राचीन भैरव मंदिर,1
36,Bhim Taal Lake,1
36,Karkotak Mandir,1
36,Mukteshwar MahadevTemple,1
36,"Shiv Mandir, Naldamyantital",1
36,Shri Hanuman Temple,1
37,87-E KAINCHI DHAM,1
37,Baba Neem Karoli Mandir,1
37,Kainchi Dham Home Stay,1
37,Prachin Devi Mandir,1
37,Swami Shri Sai Sevak Ji Maharaj,1
38,0,1
38,Cantonment Board Park,1
38,Kedarkantha Trek From Dehradun,1
38,Lachhiwala park,1
38,Waterfall Maldevta,1
39,Alkeshwar Mahadev Ghat,1
39,Guldaar ghat,1
39,Srinagar Garhwal Gurudwara,1
39,Srinagar Uttarakhand,1
39,VALLEY VIEW POINT,1
40,Kalpeshwar Waterfall,1
40,Koteshwar Temple,1
40,Urva Rishi Mahadev Mandir,1
40,कालिंका माता,1
40,चौपता मंदिर,1
41,"Haridwar, Kutchi Ashram",1
41,Parmarth Ashram,1
41,Rishi Ashram,1
41,"Saptrishi Ashram, Haridwar",1
41,"Shri Prem Nagar Ashram, Haridwar",1
42,Aasan Bairaj,1
42,Aklakhi Part and Repairing Center,1
42,Benog Wildlife Sanctuary,1
42,GMVN Asan Conservation Resort,1
42,asan wetlands,1
43,Bhim Taal Lake,1
43,"Lake: Nal Dayamanti, June Estate",1
43,Nandyamti lake,1
43,"Shiv Mandir, Naldamyantital",1
43,Sita Tal,1
44,Baraati Fall,1
44,Corbett Falls,1
44,"Freaky Waterfall, Ghatgarh",1
44,Kotabagh Waterfall,1
44,Woodland water fall nainital,1
45,Munsiyari Uttarakhand,1
45,Munsyari,1
45,Pic,1
45,Thamri Kund,1
45,Zero Point Khaliya Top Munsyari,1
46,Dehradun Zoo,1
46,Regional Science Center (RSC) Dehradun,1
46,Robber's Cave,1
46,Silviculture Museum,1
46,Zonal Anthropological Museum,1
47,Barati Rau Waterfall,1
47,Corbett Falls,1
47,"Freaky Waterfall, Ghatgarh",1
47,Woodland water fall nainital,1
47,बेताल Waterfall,1
48,Buddha Point,1
48,Dalai Hills,1
48,Lal Tibba Scenic Point,1
48,Shedup Choephelling Buddhist Temple,1
48,Treking from mussoorie to nagtiba,1
49,Adbhut Mandir,1
49,"Bharat Mata Temple, Haridwar",1
