user_id,age_group,budget,travel_style,preferred_categories,preferred_activities
usr-0001,50+,mid,beach,"nature, cultural, spiritual","solo, shopping, couple"
usr-0002,26-35,budget,heritage,"spiritual, heritage, urban","spiritual, solo, family, long_trip"
usr-0003,36-50,mid,heritage,nature,"luxury, budget, short_trip"
usr-0004,50+,mid,beach,nature,"beach, budget, nature, shopping"
usr-0005,36-50,luxury,adventure,cultural,"family, shopping"
usr-0006,26-35,budget,spiritual,"beach, cultural","short_trip, beach, nature, nightlife"
usr-0007,26-35,luxury,cultural,"urban, nature, adventure","beach, budget"
usr-0008,36-50,mid,adventure,heritage,"family, nature"
usr-0009,18-25,budget,nature,"cultural, nature, beach","luxury, beach, budget"
usr-0010,50+,mid,spiritual,"urban, heritage, cultural","luxury, solo, family, food"
usr-0011,26-35,mid,nature,"adventure, nature","budget, spiritual"
usr-0012,36-50,budget,wildlife,"heritage, adventure, beach","food, couple, mountain, nature"
usr-0013,36-50,luxury,wildlife,"nature, beach, heritage","spiritual, couple, heritage, budget"
usr-0014,36-50,budget,heritage,"heritage, cultural, urban","heritage, short_trip, budget"
usr-0015,36-50,luxury,wildlife,hill_station,"beach, wildlife"
usr-0016,26-35,budget,heritage,"wildlife, heritage","food, solo"
usr-0017,26-35,mid,adventure,hill_station,"short_trip, solo, adventure"
usr-0018,26-35,budget,adventure,"adventure, spiritual","shopping, long_trip, short_trip"
usr-0019,36-50,luxury,adventure,"adventure, urban, hill_station","adventure, wildlife"
usr-0020,18-25,mid,wildlife,urban,"beach, spiritual, long_trip, mountain"
usr-0021,26-35,budget,wildlife,"urban, heritage","wildlife, luxury, short_trip"
usr-0022,36-50,budget,adventure,"urban, wildlife, beach","nature, heritage, budget"
usr-0023,26-35,mid,spiritual,"wildlife, nature","mountain, long_trip, food"
usr-0024,18-25,luxury,heritage,"hill_station, wildlife","nightlife, nature, food, solo"
usr-0025,26-35,budget,heritage,"hill_station, adventure","heritage, mountain, couple, luxury"
usr-0026,36-50,budget,spiritual,spiritual,"luxury, beach, nightlife, adventure"
usr-0027,18-25,mid,cultural,"spiritual, nature, adventure","family, luxury, wildlife, short_trip"
usr-0028,18-25,luxury,beach,"urban, beach","shopping, nightlife"
usr-0029,26-35,mid,spiritual,"wildlife, cultural, adventure","food, couple, short_trip"
usr-0030,26-35,mid,nature,"spiritual, hill_station, adventure","short_trip, long_trip, adventure, couple"
usr-0031,36-50,mid,nature,nature,"heritage, short_trip, wildlife"
usr-0032,18-25,mid,nature,hill_station,"budget, mountain, couple"
usr-0033,36-50,budget,heritage,"cultural, urban","food, mountain"
usr-0034,26-35,budget,wildlife,"spiritual, nature, hill_station","wildlife, mountain, spiritual"
usr-0035,18-25,budget,nature,"urban, cultural","wildlife, solo, nature"
usr-0036,26-35,mid,adventure,"beach, cultural","beach, budget, nature, nightlife"
usr-0037,36-50,mid,heritage,"hill_station, nature, cultural","mountain, family, solo, nightlife"
usr-0038,26-35,budget,adventure,cultural,"mountain, wildlife, luxury, budget"
usr-0039,36-50,luxury,heritage,nature,"short_trip, shopping, wildlife"
usr-0040,18-25,budget,heritage,"urban, cultural","long_trip, food, mountain, spiritual"
usr-0041,18-25,mid,heritage,"nature, hill_station, spiritual","wildlife, shopping, solo"
usr-0042,26-35,luxury,nature,adventure,"wildlife, short_trip"
usr-0043,36-50,budget,heritage,"beach, cultural, adventure","spiritual, beach, short_trip"
usr-0044,26-35,budget,wildlife,adventure,"spiritual, solo"
usr-0045,26-35,budget,wildlife,"heritage, beach","adventure, short_trip, nature"
usr-0046,26-35,budget,heritage,"spiritual, urban","family, shopping, solo, mountain"
usr-0047,26-35,budget,nature,"urban, heritage, nature","spiritual, shopping, long_trip"
usr-0048,26-35,mid,spiritual,beach,"budget, food"
usr-0049,18-25,budget,beach,cultural,"family, nightlife"
usr-0050,18-25,budget,cultural,adventure,"heritage, spiritual"
usr-0051,18-25,mid,wildlife,urban,"food, long_trip, shopping, wildlife"
usr-0052,26-35,budget,adventure,"heritage, spiritual, wildlife","heritage, couple, solo, wildlife"
usr-0053,18-25,mid,spiritual,beach,"spiritual, wildlife"
usr-0054,26-35,budget,cultural,spiritual,"family, couple"
usr-0055,36-50,mid,spiritual,cultural,"food, nightlife, solo"
usr-0056,26-35,mid,nature,"spiritual, beach","nature, spiritual"
usr-0057,26-35,budget,heritage,"wildlife, heritage","budget, beach"
usr-0058,26-35,budget,nature,beach,"mountain, luxury"
usr-0059,36-50,budget,beach,"hill_station, spiritual, beach","budget, spiritual"
usr-0060,50+,budget,spiritual,"wildlife, nature, urban","long_trip, mountain"
usr-0061,36-50,mid,wildlife,"beach, cultural","nature, spiritual, family"
usr-0062,18-25,mid,cultural,"urban, nature, cultural","nightlife, shopping"
usr-0063,18-25,mid,wildlife,"urban, hill_station, cultural","nightlife, spiritual, solo, beach"
usr-0064,26-35,mid,wildlife,"urban, nature, heritage","wildlife, nightlife"
usr-0065,36-50,budget,spiritual,urban,"budget, food"
usr-0066,36-50,mid,spiritual,"beach, wildlife, spiritual","food, budget, solo, mountain"
usr-0067,36-50,mid,wildlife,"hill_station, wildlife, cultural","heritage, long_trip, mountain"
usr-0068,36-50,luxury,nature,"cultural, wildlife","spiritual, heritage, food"
usr-0069,36-50,budget,spiritual,nature,"spiritual, adventure"
usr-0070,18-25,budget,spiritual,adventure,"long_trip, heritage, beach"
usr-0071,18-25,luxury,spiritual,cultural,"beach, short_trip, budget"
usr-0072,36-50,mid,wildlife,"cultural, nature, spiritual","long_trip, luxury, family"
usr-0073,36-50,luxury,cultural,"hill_station, spiritual, cultural","nature, nightlife, short_trip"
usr-0074,18-25,mid,spiritual,"urban, nature, cultural","nightlife, shopping, couple"
usr-0075,26-35,budget,cultural,"adventure, cultural","long_trip, shopping, adventure, luxury"
usr-0076,50+,mid,beach,adventure,"adventure, food, nightlife, family"
usr-0077,18-25,budget,beach,"cultural, spiritual, heritage","family, nature"
usr-0078,26-35,luxury,wildlife,"cultural, spiritual","short_trip, food"
usr-0079,18-25,mid,beach,"heritage, adventure, nature","nature, budget"
usr-0080,50+,budget,spiritual,wildlife,"wildlife, nature"
usr-0081,36-50,budget,wildlife,spiritual,"nature, shopping, long_trip"
usr-0082,26-35,budget,wildlife,"hill_station, adventure, urban","food, couple, short_trip"
usr-0083,26-35,mid,adventure,"nature, beach, cultural","food, couple, luxury, mountain"
usr-0084,26-35,mid,beach,"spiritual, cultural, hill_station","shopping, beach, nightlife"
usr-0085,26-35,mid,cultural,"wildlife, urban","food, nightlife, luxury"
usr-0086,26-35,mid,adventure,"adventure, hill_station","shopping, luxury, nightlife, spiritual"
usr-0087,26-35,mid,heritage,beach,"solo, couple"
usr-0088,36-50,budget,wildlife,"adventure, beach, hill_station","mountain, long_trip, beach"
usr-0089,36-50,mid,nature,"adventure, heritage, urban","beach, shopping, couple, food"
usr-0090,26-35,luxury,beach,nature,"short_trip, solo"
usr-0091,36-50,mid,beach,heritage,"nightlife, wildlife, budget"
usr-0092,36-50,luxury,heritage,adventure,"beach, mountain"
usr-0093,18-25,mid,beach,"hill_station, wildlife","mountain, adventure"
usr-0094,18-25,budget,nature,"spiritual, nature, beach","luxury, short_trip, couple, solo"
usr-0095,18-25,budget,spiritual,"adventure, wildlife","couple, luxury, nightlife"
usr-0096,26-35,budget,heritage,"hill_station, adventure","heritage, short_trip"
usr-0097,26-35,mid,wildlife,wildlife,"couple, solo"
usr-0098,26-35,budget,adventure,"heritage, nature, urban","mountain, budget, long_trip"
usr-0099,50+,budget,adventure,"spiritual, nature, hill_station","long_trip, couple, luxury"
usr-0100,26-35,budget,cultural,"cultural, heritage, hill_station","beach, mountain, long_trip, family"
usr-0101,26-35,mid,cultural,"nature, heritage","solo, wildlife, adventure, couple"
usr-0102,26-35,luxury,heritage,"adventure, hill_station, heritage","beach, spiritual"
usr-0103,18-25,mid,spiritual,"heritage, hill_station","couple, nature"
usr-0104,26-35,budget,nature,"wildlife, beach, spiritual","nature, adventure"
usr-0105,36-50,mid,beach,"adventure, hill_station","spiritual, solo, adventure, couple"
usr-0106,26-35,mid,nature,"heritage, wildlife, beach","food, mountain, family"
usr-0107,18-25,mid,heritage,"adventure, urban","family, mountain, luxury, nightlife"
usr-0108,18-25,mid,heritage,"cultural, wildlife, spiritual","shopping, short_trip, nature, wildlife"
usr-0109,26-35,mid,beach,nature,"couple, shopping"
usr-0110,50+,budget,wildlife,"wildlife, cultural, urban","luxury, nature, beach, food"
usr-0111,18-25,budget,nature,"heritage, wildlife, cultural","wildlife, shopping, luxury, couple"
usr-0112,26-35,mid,spiritual,"spiritual, hill_station, beach","spiritual, adventure, short_trip, beach"
usr-0113,18-25,mid,spiritual,"urban, cultural","couple, solo, food"
usr-0114,26-35,budget,adventure,"spiritual, heritage, cultural","long_trip, wildlife, adventure"
usr-0115,26-35,budget,adventure,heritage,"heritage, long_trip, luxury"
usr-0116,50+,budget,beach,cultural,"solo, spiritual, shopping, beach"
usr-0117,26-35,luxury,spiritual,urban,"luxury, couple, shopping, nature"
usr-0118,36-50,mid,cultural,"adventure, spiritual","food, mountain"
usr-0119,26-35,mid,spiritual,beach,"wildlife, adventure"
usr-0120,18-25,mid,wildlife,urban,"mountain, shopping, luxury"
usr-0121,26-35,mid,spiritual,"wildlife, beach, heritage","nature, food"
usr-0122,26-35,luxury,beach,"heritage, spiritual, adventure","heritage, spiritual, family"
usr-0123,26-35,budget,nature,"hill_station, cultural, urban","family, nature, spiritual, adventure"
usr-0124,18-25,budget,wildlife,heritage,"long_trip, wildlife, shopping"
usr-0125,18-25,budget,wildlife,"heritage, spiritual","nature, beach, short_trip, shopping"
usr-0126,50+,luxury,adventure,"cultural, hill_station","solo, long_trip, short_trip, luxury"
usr-0127,50+,mid,heritage,"nature, spiritual, wildlife","heritage, couple"
usr-0128,36-50,budget,beach,"cultural, hill_station","wildlife, nature"
usr-0129,26-35,budget,wildlife,"heritage, adventure","beach, shopping, adventure, short_trip"
usr-0130,18-25,mid,adventure,adventure,"wildlife, short_trip"
usr-0131,18-25,luxury,wildlife,nature,"solo, spiritual, food"
usr-0132,18-25,mid,spiritual,"heritage, nature","solo, spiritual, couple, adventure"
usr-0133,26-35,budget,wildlife,spiritual,"adventure, heritage"
usr-0134,36-50,luxury,adventure,"heritage, urban, adventure","long_trip, budget, spiritual, short_trip"
usr-0135,26-35,budget,spiritual,spiritual,"nature, luxury, spiritual"
usr-0136,26-35,budget,cultural,"beach, nature","nature, food, family"
usr-0137,18-25,mid,beach,"heritage, urban","mountain, nature, luxury"
usr-0138,36-50,budget,heritage,"cultural, adventure, urban","luxury, heritage, mountain, spiritual"
usr-0139,36-50,mid,spiritual,"hill_station, spiritual, wildlife","food, beach"
usr-0140,50+,mid,adventure,"beach, hill_station","adventure, couple, nightlife, budget"
usr-0141,50+,budget,beach,"wildlife, spiritual, cultural","luxury, budget, beach"
usr-0142,26-35,mid,adventure,heritage,"wildlife, luxury"
usr-0143,36-50,mid,nature,"heritage, spiritual, nature","budget, wildlife, solo, short_trip"
usr-0144,26-35,mid,adventure,"nature, beach, urban","nightlife, shopping, long_trip, short_trip"
usr-0145,36-50,budget,cultural,spiritual,"luxury, adventure, nightlife, budget"
usr-0146,18-25,budget,nature,"wildlife, hill_station, adventure","food, spiritual, long_trip, luxury"
usr-0147,26-35,budget,wildlife,adventure,"food, long_trip, heritage"
usr-0148,26-35,mid,adventure,"nature, wildlife, cultural","mountain, wildlife, long_trip"
usr-0149,18-25,mid,wildlife,"spiritual, urban","long_trip, luxury"
usr-0150,50+,budget,nature,"wildlife, urban, cultural","long_trip, spiritual"
usr-0151,18-25,mid,beach,urban,"nightlife, long_trip, luxury"
usr-0152,26-35,mid,nature,"hill_station, adventure","nature, wildlife"
usr-0153,26-35,budget,heritage,urban,"mountain, family, short_trip"
usr-0154,18-25,budget,nature,"adventure, urban, heritage","spiritual, solo, shopping, beach"
usr-0155,18-25,budget,wildlife,"heritage, beach, hill_station","solo, adventure, heritage, nightlife"
usr-0156,18-25,mid,nature,spiritual,"mountain, couple, wildlife, solo"
usr-0157,18-25,mid,nature,adventure,"short_trip, luxury, adventure, nature"
usr-0158,26-35,mid,adventure,"cultural, spiritual","budget, beach"
usr-0159,26-35,mid,wildlife,"cultural, heritage","budget, nightlife, short_trip"
usr-0160,36-50,budget,nature,"spiritual, urban, hill_station","nightlife, shopping"
usr-0161,26-35,mid,cultural,heritage,"short_trip, nightlife"
usr-0162,18-25,mid,wildlife,adventure,"spiritual, family, wildlife"
usr-0163,18-25,luxury,wildlife,"hill_station, adventure, cultural","budget, shopping"
usr-0164,26-35,mid,nature,heritage,"couple, luxury"
usr-0165,36-50,mid,spiritual,urban,"spiritual, adventure, luxury, long_trip"
usr-0166,50+,mid,spiritual,cultural,"adventure, spiritual, budget"
usr-0167,18-25,mid,adventure,"adventure, beach","nature, spiritual"
usr-0168,26-35,luxury,cultural,"urban, spiritual, nature","family, mountain, nightlife"
usr-0169,26-35,budget,beach,"heritage, nature, urban","mountain, spiritual, wildlife, long_trip"
usr-0170,36-50,luxury,beach,"beach, heritage, wildlife","adventure, wildlife"
usr-0171,36-50,budget,adventure,"beach, heritage, nature","nightlife, wildlife, short_trip"
usr-0172,26-35,budget,heritage,hill_station,"nature, mountain"
usr-0173,18-25,mid,beach,"hill_station, adventure, urban","luxury, solo"
usr-0174,18-25,mid,adventure,"adventure, spiritual","family, luxury"
usr-0175,36-50,mid,nature,"urban, beach","short_trip, nightlife, luxury"
usr-0176,26-35,mid,spiritual,"nature, wildlife, adventure","short_trip, budget"
usr-0177,26-35,mid,cultural,hill_station,"short_trip, adventure, luxury"
usr-0178,50+,mid,beach,"beach, wildlife, heritage","budget, adventure"
usr-0179,36-50,mid,beach,"cultural, adventure, beach","couple, luxury, beach"
usr-0180,26-35,luxury,spiritual,"spiritual, nature, adventure","adventure, wildlife, spiritual, food"
usr-0181,26-35,mid,cultural,"cultural, beach","food, nightlife"
usr-0182,18-25,mid,beach,"beach, spiritual","adventure, luxury"
usr-0183,18-25,budget,spiritual,"spiritual, adventure","solo, nature, long_trip"
usr-0184,26-35,budget,wildlife,hill_station,"heritage, food"
usr-0185,26-35,mid,beach,"beach, hill_station","adventure, heritage"
usr-0186,36-50,mid,wildlife,hill_station,"beach, solo"
usr-0187,50+,budget,cultural,"beach, nature, wildlife","solo, shopping"
usr-0188,26-35,budget,wildlife,"adventure, urban","family, nature, heritage, food"
