id,name,state,category,latitude,longitude,price_range,rating,review_count,description,best_season,image_url
10410,Chitai Golu Devta Temple,Uttarakhand,attraction,29.6086,79.6325,budget,4.4,453,"Chitai Golu Devta Temple is a renowned religious landmark situated in Almora, Almora district of Uttarakhand. The destination attracts visitors seeking authentic regional heritage, architectural grandeur, and picturesque surroundings. It plays an integral role in the cultural landscape and local tourism identity of the region.",Apr-Jun,https://thumb.wikimedia.org/wikipedia/commons/thumb/2/20/Image_ank.JPG/960px-Image_ank.JPG?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=thumbnail
10411,Kasar Devi Temple Almora,Uttarakhand,attraction,29.641787,79.661797,budget,4.5,1857,"Kasar Devi Temple Almora is a renowned religious landmark situated in Almora, Almora district of Uttarakhand. The destination attracts visitors seeking authentic regional heritage, architectural grandeur, and picturesque surroundings. It plays an integral role in the cultural landscape and local tourism identity of the region.",Apr-Jun,https://thumb.wikimedia.org/wikipedia/commons/thumb/2/20/Image_ank.JPG/960px-Image_ank.JPG?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=thumbnail
10412,Katarmal Sun Temple,Uttarakhand,attraction,29.58845,79.64145,budget,4.9,5822,"Katarmal Sun Temple is a renowned religious landmark situated in Almora, Almora district of Uttarakhand. The destination attracts visitors seeking authentic regional heritage, architectural grandeur, and picturesque surroundings. It plays an integral role in the cultural landscape and local tourism identity of the region.",Apr-Jun,https://thumb.wikimedia.org/wikipedia/commons/thumb/2/20/Image_ank.JPG/960px-Image_ank.JPG?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=thumbnail
10413,Khagmara Temple,Uttarakhand,attraction,29.587637,79.656953,budget,4.3,482,"Khagmara Temple is a renowned religious landmark situated in Almora, Almora district of Uttarakhand. The destination attracts visitors seeking authentic regional heritage, architectural grandeur, and picturesque surroundings. It plays an integral role in the cultural landscape and local tourism identity of the region.",Apr-Jun,https://thumb.wikimedia.org/wikipedia/commons/thumb/1/19/Deoria_Tal_Chandrashila_Chaukamba_reflection.jpg/960px-Deoria_Tal_Chandrashila_Chaukamba_reflection.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
10414,Syahi Devi Temple,Uttarakhand,attraction,29.576587,79.557234,budget,4.0,1022,"Syahi Devi Temple is a renowned religious landmark situated in Almora, Almora district of Uttarakhand. The destination attracts visitors seeking authentic regional heritage, architectural grandeur, and picturesque surroundings. It plays an integral role in the cultural landscape and local tourism identity of the region.",Apr-Jun,https://thumb.wikimedia.org/wikipedia/commons/thumb/4/4e/Binsar_Mahadev_temple.jpg/960px-Binsar_Mahadev_temple.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
10415,"Shri Narsingh Temple, Joshimath",Uttarakhand,attraction,30.556463,79.566234,budget,4.6,2547,"Shri Narsingh Temple, Joshimath is a renowned religious landmark situated in Auli (Joshimath), Chamoli district of Uttarakhand. The destination attracts visitors seeking authentic regional heritage, architectural grandeur, and picturesque surroundings. It plays an integral role in the cultural landscape and local tourism identity of the region.",Apr-Jun,https://thumb.wikimedia.org/wikipedia/commons/thumb/f/f9/Badrinath_Temple_%2C_Uttarakhand.jpg/960px-Badrinath_Temple_%2C_Uttarakhand.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
10416,A Big SimbalTree,Uttarakhand,attraction,30.325016,77.998088,budget,4.1,1039,"A Big SimbalTree is a renowned cultural destination located in Dehradun, Dehradun district of Uttarakhand. The attraction draws domestic and regional travelers for its distinctive character, pleasant ambiance, and cultural significance. It serves as a cherished public landmark within the local community and tourist itineraries.",Apr-Jun,https://upload.wikimedia.org/wikipedia/commons/2/29/Kanatal.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail_unscaled
10417,Bhatta falls,Uttarakhand,attraction,30.437358,78.073825,budget,4.4,3005,"Bhatta falls is a renowned cultural destination located in Dehradun, Dehradun district of Uttarakhand. The attraction draws domestic and regional travelers for its distinctive character, pleasant ambiance, and cultural significance. It serves as a cherished public landmark within the local community and tourist itineraries.",Apr-Jun,https://thumb.wikimedia.org/wikipedia/commons/thumb/c/ca/Khalanga_war_memorial.jpg/960px-Khalanga_war_memorial.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
10418,Bhootnath Temple Rishikesh,Uttarakhand,attraction,30.116588,78.318109,budget,4.0,482,"Bhootnath Temple Rishikesh is a renowned religious landmark situated in Rishikesh, Dehradun district of Uttarakhand. The destination attracts visitors seeking authentic regional heritage, architectural grandeur, and picturesque surroundings. It plays an integral role in the cultural landscape and local tourism identity of the region.",Apr-Jun,https://thumb.wikimedia.org/wikipedia/commons/thumb/c/cf/Kempty_Waterfalls.jpg/960px-Kempty_Waterfalls.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
10419,Chandrabani Temple,Uttarakhand,attraction,30.283887,77.984109,budget,4.4,2194,"Chandrabani Temple is a renowned religious landmark situated in Dehradun, Dehradun district of Uttarakhand. The destination attracts visitors seeking authentic regional heritage, architectural grandeur, and picturesque surroundings. It plays an integral role in the cultural landscape and local tourism identity of the region.",Apr-Jun,https://thumb.wikimedia.org/wikipedia/commons/thumb/c/ca/Khalanga_war_memorial.jpg/960px-Khalanga_war_memorial.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
