id,name,state,category,latitude,longitude,price_range,rating,review_count,description,best_season,image_url
5511,Bishnupur 15th-Century Terracotta Vishnu Temple,Manipur,attraction,24.633333,93.766667,budget,4.6,16202,"Situated in the historic town of Bishnupur (ancient Lumlangdong) 27 km south of Imphal, protected by the Archaeological Survey of India (ASI) as a monument of national importance, constructed in 1467 CE during the reign of King Kyamba of Manipur following his joint conquest of Kyang with the King of Pong (Shan kingdom of upper Burma), recognized as the oldest surviving brick and terracotta temple in Manipur, famous for its unique single-celled sanctum topped by a corbelled curvilinear tower displaying strong Chinese and Shan pagoda architectural influences.",Oct-Mar,https://images.unsplash.com/photo-1609766857041-ed402ea8069a?w=800&auto=format&fit=crop&q=80
5512,Champu Khangpok Floating Village (Loktak Phumdi Settlement),Manipur,attraction,24.516667,93.805556,budget,4.6,9759,"Floating in the middle of Loktak Lake between Thanga and Karang islands, Champu Khangpok is an extraordinary, off-grid indigenous fishing settlement comprising around 200 households constructed entirely atop natural floating mats of decomposed vegetation, soil, and roots known as 'phumdis', recognized as a distinct revenue village with its own unique solar-powered floating primary school, traditional bamboo thatched huts ('phumsangs'), communal floating jetties, and an ancient sustainable way of life governed entirely by the rhythms of the lake.",Oct-Feb,https://images.unsplash.com/photo-1590050752117-238cb0fb12b1?w=800&auto=format&fit=crop&q=80
5513,Ebudhou Khoriphaba Hill & Sacred Grove (Nambol),Manipur,attraction,24.708333,93.833333,budget,4.4,3231,"Perched on a conical green hillock in Nambol town along the boundary between Bishnupur and Imphal West districts, Ebudhou Khoriphaba Hill is an ancient Umang Lai (sacred forest deity) shrine dedicated to Khoriphaba (son of Sky God Soraren and Goddess Konthoujam Tampha), featuring a peaceful hilltop temple surrounded by preserved sacred tree groves, stone monoliths, and an annual traditional Lai Haraoba festival celebrated with vibrant ancient Meitei ritual dances and polo competitions.",Oct-Feb,https://images.unsplash.com/photo-1464822759023-fed622ff2c3b?w=800&auto=format&fit=crop&q=80
5514,Gopinath Temple Ningthoukhong,Manipur,attraction,24.580556,93.755556,budget,4.9,14227,"Situated in the historic town of Ningthoukhong 6 km south of Bishnupur along the Tiddim Road, the Shri Shri Gopinath Temple is one of Manipur's most sacred and historic Vaishnavite shrines, established in the late 18th century by the saint-king Maharaja Bhagyachandra (who composed the classical Manipuri Maha Raas Leela), featuring traditional Meitei-Hindu temple architecture, an open-air prayer mandapa with carved wooden pillars, an ancient holy pond, and hosting deeply devotional Raas Leela dances and Janmashtami celebrations.",Oct-Mar,https://images.unsplash.com/photo-1609766857041-ed402ea8069a?w=800&auto=format&fit=crop&q=80
5515,INA War Memorial & Museum Moirang,Manipur,attraction,24.5,93.766667,mid,4.9,9860,"Situated in the historic town of Moirang 45 km south of Imphal, revered across India as a sanctum of the Indian Independence Movement, where Colonel Shaukat Ali Malik of the Indian National Army (Azad Hind Fauj) hoisted the first Indian Tricolour flag on liberated Indian soil on 14 April 1944 with the support of the Japanese army, featuring an exact replica of the original 1945 Singapore INA Memorial, a life-sized bronze statue of Netaji Subhas Chandra Bose, and an invaluable museum housing authentic wartime weapons, currency, uniforms, and photographic archives.",Oct-Mar,https://images.unsplash.com/photo-1565034946487-077786996e27?w=800&auto=format&fit=crop&q=80
5516,Ithing Island & Floating Phumsang Trail,Manipur,attraction,24.516667,93.791667,budget,4.3,1760,"Situated between Sendra Island and Thanga Island linked by a scenic elevated causeway and bridge across the open waters of Loktak Lake, Ithing is a charming, narrow hill island inhabited by traditional fishing families, celebrated for its bustling morning fish market where freshly caught Loktak fish are auctioned, traditional floating fishermen huts (phumsangs) anchored along its shores, and picturesque elevated walking paths with 360-degree views of the phumdi-carpeted lake.",Oct-Feb,https://images.unsplash.com/photo-1590050752117-238cb0fb12b1?w=800&auto=format&fit=crop&q=80
5517,Karang Island (India's First Cashless Island),Manipur,attraction,24.533333,93.816667,budget,4.9,15911,"Floating like an emerald turtle in the middle of Loktak Lake accessible only by motorized country boat from Thanga jetty, Karang is a picturesque Meitei fishermen's island village that gained international fame in January 2017 when the Government of India declared it as India's first 100% cashless island, renowned for its tranquil village lanes, solar-powered homes, panoramic lake vistas, and centuries-old traditional fishing lifestyle using reed traps.",Oct-Feb,https://images.unsplash.com/photo-1582510003544-4d00b7f74220?w=800&auto=format&fit=crop&q=80
5518,Keibul Lamjao National Park,Manipur,attraction,24.48516,93.83854,budget,4.2,1567,"Located in the Bishnupur district of Manipur, Keibul Lamjao National Park is the world's only floating national park, situated on the Loktak Lake. This park is renowned for its unique ecosystem, which supports a wide variety of flora and fauna, including the endangered Sangai deer, also known as the brow-antlered deer or dancing deer. The park's floating wetlands, known as 'phumdis,' provide a natural habitat for various species of birds, making it a paradise for birdwatchers and nature lovers. With its breathtaking scenery and diverse wildlife, Keibul Lamjao National Park offers an unforgettable experience for visitors, allowing them to connect with nature and unwind in the midst of Manipur's serene mountains. The park's cultural significance is also evident in its connection to the local communities, who have traditionally relied on the park's resources for their livelihood.",Oct-Feb,https://images.unsplash.com/photo-1551969014-7d2c4cddf0b6?w=800&auto=format&fit=crop&q=80
5519,Khoirok Thong & Thongjaorok Historic Stone Bridges,Manipur,attraction,24.627778,93.744444,budget,3.9,838,"Spanning the turbulent mountain stream of Thongjaorok in the foothills near Bishnupur and Khoirok, these ancient stone bridges (including Khoirok Thong and Thongjaorok Bridge) are remarkable engineering relics from the Ningthouja royal dynasty, constructed out of massive hand-chiseled quartzite boulders and dressed stone slabs using ancient dry-stone corbelling techniques without mortar, engineered to withstand violent monsoon flash floods roaring down from the western hills.",Oct-Feb,https://images.unsplash.com/photo-1513694203232-719a280e022f?w=800&auto=format&fit=crop&q=80
5520,Kumbi Keibul River Confluence & Ancient Shrines,Manipur,attraction,24.45,93.75,budget,4.5,7447,"Situated at the southern boundary of Bishnupur district bordering Churachandpur along the Khuga River just 10 km south of Moirang, Kumbi is an ancient Meitei settlement nestled beside Keibul Lamjao National Park, celebrated for its historic sacred shrines dedicated to Ibudhou Sanakhwa Kumbi and Iputhou Pakhangba, scenic riverside promenades, and traditional handloom and pottery craft.",Oct-Feb,https://images.unsplash.com/photo-1544717305-2782549b5136?w=800&auto=format&fit=crop&q=80
