id,name,state,category,latitude,longitude,price_range,rating,review_count,description,best_season,image_url
3772,Kalachuri Ancient Temples Amarkantak,Madhya Pradesh,attraction,22.671729,81.758571,budget,3.9,684,"Magnificent cluster of 10th-11th century stone temples built by the Kalachuri rulers Maharaja Karnadeva, including the Pataleshwar and Machhendranath temples.",Oct-Mar,https://images.unsplash.com/photo-1544717305-2782549b5136?w=800&auto=format&fit=crop&q=80
3773,Birla Museum Bhopal,Madhya Pradesh,attraction,23.237783,77.408159,mid,4.7,6105,"Renowned archaeological museum located adjacent to Lakshmi Narayan (Birla) Temple, housing stone sculptures from the 2nd century BCE to 12th century CE.",Oct-Mar,https://images.unsplash.com/photo-1544531586-fde5298cdd40?w=800&auto=format&fit=crop&q=80
3774,Lake View Promenade (VIP Road Bhopal),Madhya Pradesh,attraction,23.241817,77.37969,budget,4.7,6388,"Iconic lakeside promenade along the Upper Lake (Bhojtal) offering breezy evening strolls, waterfront cafes, and striking statue of Raja Bhoj.",Oct-Feb,https://images.unsplash.com/photo-1501785888041-af3ef285b470?w=800&auto=format&fit=crop&q=80
3775,Lower Lake (Chhota Talab),Madhya Pradesh,attraction,23.248478,77.405645,budget,4.4,1261,"Historic water body constructed in 1794 by Chhote Khan, separated from the Upper Lake by the historic Kamla Park aqueduct bridge.",Oct-Feb,https://images.unsplash.com/photo-1544644181-1484b3fdfc62?w=800&auto=format&fit=crop&q=80
3776,Manua Bhan Ki Tekri (Bhopal View Point),Madhya Pradesh,attraction,23.28189,77.364786,budget,4.7,6658,"Revered Digambara Jain pilgrimage temple perched atop a 1,000-foot hill overlooking Bhopal, accessible by ropeway cable cars or motorable road.",Oct-Feb,https://images.unsplash.com/photo-1518709268805-4e9042af9f23?w=800&auto=format&fit=crop&q=80
3777,People's Mall (World Wonders Park),Madhya Pradesh,attraction,23.304449,77.422155,budget,3.9,466,"Expansive architectural theme park featuring life-size replicas of global monuments such as the Taj Mahal, Eiffel Tower, and Leaning Tower of Pisa.",Oct-Feb,https://images.unsplash.com/photo-1585320806297-9794b3e4eeae?w=800&auto=format&fit=crop&q=80
3778,Sadar Manzil Darbar Gate,Madhya Pradesh,attraction,23.256507,77.397445,budget,4.3,864,"Opulent red brick palace and ceremonial gateway built in the late 19th century by Nawab Shah Jahan Begum, serving as the official hall of public audience.",Oct-Feb,https://images.unsplash.com/photo-1544717305-2782549b5136?w=800&auto=format&fit=crop&q=80
3779,Sair Sapata Tourism Complex,Madhya Pradesh,attraction,23.216263,77.375966,budget,4.1,1181,"Sprawling 24-acre leisure complex along Bhadbhada Dam, featuring an iconic pedestrian suspension bridge, toy train, musical fountains, and adventure sports.",Oct-Feb,https://images.unsplash.com/photo-1621847468516-1ed5d0df56fe?w=800&auto=format&fit=crop&q=80
3780,Shaurya Smarak War Memorial,Madhya Pradesh,attraction,23.234722,77.427464,budget,4.4,620,"State-of-the-art national war memorial sprawling across 12 acres in Arera Hills, dedicated to the fallen soldiers of the Indian Armed Forces.",Oct-Feb,https://images.unsplash.com/photo-1567157577867-05ccb1388e66?w=800&auto=format&fit=crop&q=80
3781,State Museum Bhopal,Madhya Pradesh,attraction,23.235518,77.385584,mid,3.9,1114,"Modern multi-gallery state museum atop Shyamla Hills showcasing 16 thematic galleries spanning medieval bronzes, royal weapons, manuscripts, and fossils.",Oct-Mar,https://images.unsplash.com/photo-1565034946487-077786996e27?w=800&auto=format&fit=crop&q=80
3782,Van Vihar National Park Bhopal,Madhya Pradesh,attraction,23.232214,77.366432,budget,4.4,2378,"Unique urban national park and open zoological sanctuary covering 4.45 sq km on the picturesque banks of Upper Lake, housing rescued carnivores in natural habitats.",Oct-Feb,https://images.unsplash.com/photo-1575550959106-5a7defe28b56?w=800&auto=format&fit=crop&q=80
3783,Yodhasthal Military Museum Bhopal,Madhya Pradesh,attraction,23.287052,77.354895,mid,4.6,6339,"Indian Army open-air war museum and heritage center showcasing captured enemy tanks, artillery pieces, fighter aircraft, and gallantry hall.",Oct-Mar,https://images.unsplash.com/photo-1582555172866-f73bb12a2ab3?w=800&auto=format&fit=crop&q=80
3784,Benisagar Dam,Madhya Pradesh,attraction,24.792156,79.873394,budget,4.2,533,"Scenic water reservoir constructed across the Khudar River south of Khajuraho, fringed by rocky hillocks and acacia woodlands.",Oct-Feb,https://images.unsplash.com/photo-1439066615861-d1af74d74000?w=800&auto=format&fit=crop&q=80
3785,Dulhadev Shiva Temple,Madhya Pradesh,attraction,24.839024,79.931866,budget,4.1,1059,"Splendid 12th-century Chandela dynasty stone temple dedicated to Lord Shiva, featuring expressive friezes and celestial Apsara sculptures.",Oct-Mar,https://images.unsplash.com/photo-1609766857041-ed402ea8069a?w=800&auto=format&fit=crop&q=80
3786,Jain Museum Khajuraho,Madhya Pradesh,attraction,24.8447,79.935766,mid,4.8,4203,Rich archaeological gallery (Sahu Shantiprasad Jain Kala Sangrahalaya) preserving antique Jain Tirthankara stone idols and Yakshi figures.,Oct-Mar,https://images.unsplash.com/photo-1582555172866-f73bb12a2ab3?w=800&auto=format&fit=crop&q=80
3787,Kandariya Mahadev Temple,Madhya Pradesh,attraction,24.853023,79.919682,budget,4.4,580,"The largest, tallest, and most ornate medieval temple in Khajuraho, built around 1030 CE by Vidyadhara, rising 31 meters with 84 miniature spires mimicking Mount Meru.",Oct-Mar,https://images.unsplash.com/photo-1590050752117-238cb0fb12b1?w=800&auto=format&fit=crop&q=80
3788,Badal Bhoi State Tribal Museum,Madhya Pradesh,attraction,22.072715,78.937406,mid,4.7,8391,"One of India's oldest and most extensive tribal museums, established in 1954, housing antique artifacts of 45 indigenous tribes of Madhya Pradesh.",Oct-Mar,https://images.unsplash.com/photo-1565034946487-077786996e27?w=800&auto=format&fit=crop&q=80
3789,Jhingariya Waterfall,Madhya Pradesh,attraction,22.454169,78.707938,budget,4.7,1651,"Secluded forest cascade tumbling into a rocky emerald pool near Tamia, surrounded by Satpura hill forests.",Jul-Oct,https://images.unsplash.com/photo-1546548970-71785318a17b?w=800&auto=format&fit=crop&q=80
3790,Shri Pitambara Peeth,Madhya Pradesh,attraction,25.663779,78.460961,budget,4.1,1250,"Renowned Hindu pilgrimage complex and Siddhapeeth established by Swamiji Maharaj, dedicated to Goddess Baglamukhi and Dhumavati.",Oct-Feb,https://images.unsplash.com/photo-1621847468516-1ed5d0df56fe?w=800&auto=format&fit=crop&q=80
3791,Baz Bahadur's Palace Mandu,Madhya Pradesh,attraction,22.313659,75.408136,mid,4.2,2722,"Elegant 16th-century palace built by Sultan Nasir-ud-Din and expanded by Baz Bahadur, featuring wide courtyards, ringing halls, and an octagonal pavilion beside Rewa Kund.",Oct-Feb,https://images.unsplash.com/photo-1584551246679-0daf3d275d0f?w=800&auto=format&fit=crop&q=80
3792,Hindola Mahal (Swinging Palace),Madhya Pradesh,attraction,22.356804,75.392933,mid,4.2,2043,"15th-century royal audience hall built by Ghiyas-ud-din, famous for its massive 77-degree inclined outer buttress walls creating the illusion of swaying.",Oct-Feb,https://images.unsplash.com/photo-1584551246679-0daf3d275d0f?w=800&auto=format&fit=crop&q=80
3793,Roopmati Pavilion Mandu,Madhya Pradesh,attraction,22.310403,75.410123,budget,4.1,915,"Romantic 16th-century pavilion perched high on the southern precipice of the Mandu plateau, built for Rani Roopmati to gaze upon her beloved Narmada River.",Oct-Feb,https://images.unsplash.com/photo-1567157577867-05ccb1388e66?w=800&auto=format&fit=crop&q=80
3794,Assi Khamba Ki Bawadis,Madhya Pradesh,attraction,26.229112,78.168391,budget,4.6,4899,"Assi Khamba Ki Bawadis is a renowned cultural landmark situated in Gwalior, Gwalior district of Madhya Pradesh. The destination attracts visitors seeking authentic regional heritage, architectural grandeur, and picturesque surroundings. It plays an integral role in the cultural landscape and local tourism identity of the region.",Oct-Feb,https://images.unsplash.com/photo-1590050752117-238cb0fb12b1?w=800&auto=format&fit=crop&q=80
3795,Chaturbhuj Temple,Madhya Pradesh,attraction,26.230912,78.169859,budget,4.0,188,"Chaturbhuj Temple is a renowned religious landmark situated in Gwalior, Gwalior district of Madhya Pradesh. The destination attracts visitors seeking authentic regional heritage, architectural grandeur, and picturesque surroundings. It plays an integral role in the cultural landscape and local tourism identity of the region.",Oct-Mar,https://images.unsplash.com/photo-1518709268805-4e9042af9f23?w=800&auto=format&fit=crop&q=80
3796,Gujari Mahal,Madhya Pradesh,attraction,26.2201,78.1954,budget,4.8,4893,"Gujari Mahal is a renowned heritage landmark situated in Gwalior, Gwalior district of Madhya Pradesh. The destination attracts visitors seeking authentic regional heritage, architectural grandeur, and picturesque surroundings. It plays an integral role in the cultural landscape and local tourism identity of the region.",Oct-Feb,https://images.unsplash.com/photo-1608889825103-eb5ed706fc64?w=800&auto=format&fit=crop&q=80
3797,HH Maharaja Sir Jiwajirao Scindia Museum,Madhya Pradesh,attraction,26.21355,78.19955,mid,4.2,2112,"HH Maharaja Sir Jiwajirao Scindia Museum is a renowned cultural landmark situated in Gwalior, Gwalior district of Madhya Pradesh. The destination attracts visitors seeking authentic regional heritage, architectural grandeur, and picturesque surroundings. It plays an integral role in the cultural landscape and local tourism identity of the region.",Oct-Mar,https://images.unsplash.com/photo-1582555172866-f73bb12a2ab3?w=800&auto=format&fit=crop&q=80
3798,Italian Garden,Madhya Pradesh,attraction,26.208337,78.169297,budget,4.7,8882,"Italian Garden is a renowned recreation landmark situated in Gwalior, Gwalior district of Madhya Pradesh. The destination attracts visitors seeking authentic regional heritage, architectural grandeur, and picturesque surroundings. It plays an integral role in the cultural landscape and local tourism identity of the region.",Oct-Feb,https://images.unsplash.com/photo-1439066615861-d1af74d74000?w=800&auto=format&fit=crop&q=80
3799,Jai Vilas Palace,Madhya Pradesh,attraction,26.21,78.1747,mid,4.9,8268,"Jai Vilas Palace is a renowned cultural landmark situated in Gwalior, Gwalior district of Madhya Pradesh. The destination attracts visitors seeking authentic regional heritage, architectural grandeur, and picturesque surroundings. It plays an integral role in the cultural landscape and local tourism identity of the region.",Oct-Feb,https://images.unsplash.com/photo-1566073771259-6a8506099945?w=800&auto=format&fit=crop&q=80
3800,Karn Mahal,Madhya Pradesh,attraction,26.2038,78.1813,budget,4.7,2079,"Karn Mahal is a renowned cultural landmark situated in Gwalior, Gwalior district of Madhya Pradesh. The destination attracts visitors seeking authentic regional heritage, architectural grandeur, and picturesque surroundings. It plays an integral role in the cultural landscape and local tourism identity of the region.",Oct-Feb,https://images.unsplash.com/photo-1566073771259-6a8506099945?w=800&auto=format&fit=crop&q=80
3801,Man Singh Palace Gwalior,Madhya Pradesh,attraction,26.230215,78.16919,mid,4.3,645,"Late 15th-century four-story palace built by Raja Man Singh Tomar on Gwalior Fort cliff, renowned for dazzling exterior turquoise and yellow enameled tile friezes of ducks and elephants.",Oct-Feb,https://images.unsplash.com/photo-1608889825103-eb5ed706fc64?w=800&auto=format&fit=crop&q=80
3802,Saas Bahu twin temples,Madhya Pradesh,attraction,26.223662,78.170266,budget,4.4,2148,"Saas Bahu twin temples is a renowned religious landmark situated in Gwalior, Gwalior district of Madhya Pradesh. The destination attracts visitors seeking authentic regional heritage, architectural grandeur, and picturesque surroundings. It plays an integral role in the cultural landscape and local tourism identity of the region.",Oct-Mar,https://images.unsplash.com/photo-1590050752117-238cb0fb12b1?w=800&auto=format&fit=crop&q=80
3803,Surya Mandir Gwalior,Madhya Pradesh,attraction,26.236338,78.218641,budget,4.7,6070,"Surya Mandir Gwalior is a renowned religious landmark situated in Gwalior, Gwalior district of Madhya Pradesh. The destination attracts visitors seeking authentic regional heritage, architectural grandeur, and picturesque surroundings. It plays an integral role in the cultural landscape and local tourism identity of the region.",Oct-Feb,https://images.unsplash.com/photo-1621847468516-1ed5d0df56fe?w=800&auto=format&fit=crop&q=80
3804,Tighra Dam & Reservoir,Madhya Pradesh,attraction,26.218311,78.0068,budget,4.4,1328,"Massive freshwater reservoir constructed in 1916 on the Sank River, providing drinking water to Gwalior and serving as a premier aquatic recreation resort.",Oct-Feb,https://images.unsplash.com/photo-1544644181-1484b3fdfc62?w=800&auto=format&fit=crop&q=80
3805,Vikram Mahal,Madhya Pradesh,attraction,26.231513,78.169516,budget,4.2,628,"Vikram Mahal is a renowned cultural landmark situated in Gwalior, Gwalior district of Madhya Pradesh. The destination attracts visitors seeking authentic regional heritage, architectural grandeur, and picturesque surroundings. It plays an integral role in the cultural landscape and local tourism identity of the region.",Oct-Feb,https://images.unsplash.com/photo-1584551246679-0daf3d275d0f?w=800&auto=format&fit=crop&q=80
3806,Hatyari Khoh Gorge,Madhya Pradesh,attraction,22.602594,76.082657,budget,4.2,2155,Dramatic canyon valley and seasonal waterfall plunging 600 feet into a rugged gorge shrouded in dense jungle and local legends.,Oct-Feb,https://images.unsplash.com/photo-1470071459604-3b5ec3a7fe05?w=800&auto=format&fit=crop&q=80
3807,Patalpani Waterfalls Mhow,Madhya Pradesh,attraction,22.502844,75.795124,budget,3.9,546,"Spectacular 300-foot waterfall plunging into a deep abyss, flanked by lush green Vindhya mountain slopes and a charming heritage railway line.",Jul-Oct,https://images.unsplash.com/photo-1546548970-71785318a17b?w=800&auto=format&fit=crop&q=80
3808,Balancing Rock Jabalpur,Madhya Pradesh,attraction,23.148625,79.904749,budget,4.3,1391,"Remarkable natural geological wonder where a massive oval granite boulder precariously balances on the narrow base of another rock, surviving earthquakes for centuries.",Oct-Feb,https://images.unsplash.com/photo-1609766857041-ed402ea8069a?w=800&auto=format&fit=crop&q=80
3809,Dumna Nature Reserve Park,Madhya Pradesh,attraction,23.169487,80.012703,budget,4.1,901,"Dumna Nature Reserve Park is a renowned wildlife landmark situated in Jabalpur, Jabalpur district of Madhya Pradesh. The destination attracts visitors seeking authentic regional heritage, architectural grandeur, and picturesque surroundings. It plays an integral role in the cultural landscape and local tourism identity of the region.",Oct-Feb,https://images.unsplash.com/photo-1585320806297-9794b3e4eeae?w=800&auto=format&fit=crop&q=80
3810,Gayatri Mandir,Madhya Pradesh,attraction,23.2047,79.9988,budget,4.6,7157,"Gayatri Mandir is a renowned religious landmark situated in Jabalpur, Jabalpur district of Madhya Pradesh. The destination attracts visitors seeking authentic regional heritage, architectural grandeur, and picturesque surroundings. It plays an integral role in the cultural landscape and local tourism identity of the region.",Oct-Feb,https://images.unsplash.com/photo-1609766857041-ed402ea8069a?w=800&auto=format&fit=crop&q=80
3811,Ghanta Ghar,Madhya Pradesh,attraction,23.1906,80.0001,budget,4.9,1869,"Ghanta Ghar is a renowned cultural landmark situated in Jabalpur, Jabalpur district of Madhya Pradesh. The destination attracts visitors seeking authentic regional heritage, architectural grandeur, and picturesque surroundings. It plays an integral role in the cultural landscape and local tourism identity of the region.",Oct-Feb,https://images.unsplash.com/photo-1621847468516-1ed5d0df56fe?w=800&auto=format&fit=crop&q=80
3812,Ghughra Waterfall Jabalpur,Madhya Pradesh,attraction,23.103845,79.833024,budget,4.6,4272,"Scenic low cascade and roaring water rapids on the Narmada River near Lamheta Ghat, framed by marble rocks and white sand shores.",Jul-Oct,https://images.unsplash.com/photo-1432405972618-c60b0225b8f9?w=800&auto=format&fit=crop&q=80
3813,Hanuman Tal (Jabalpur),Madhya Pradesh,attraction,23.181667,79.937808,budget,4.5,3515,Historic lake lined with venerable Hindu and Jain shrines dating back to the medieval Gond dynasty rule in Jabalpur.,Oct-Feb,https://images.unsplash.com/photo-1544644181-1484b3fdfc62?w=800&auto=format&fit=crop&q=80
3814,Holy Trinity Church,Madhya Pradesh,attraction,23.161687,79.932047,budget,4.6,7746,"Holy Trinity Church is a renowned religious landmark situated in Jabalpur, Jabalpur district of Madhya Pradesh. The destination attracts visitors seeking authentic regional heritage, architectural grandeur, and picturesque surroundings. It plays an integral role in the cultural landscape and local tourism identity of the region.",Oct-Feb,https://images.unsplash.com/photo-1544717305-2782549b5136?w=800&auto=format&fit=crop&q=80
3815,Kachnar City Shiva Temple,Madhya Pradesh,attraction,23.16455,79.96775,budget,4.5,5338,"Kachnar City Shiva Temple is a renowned religious landmark situated in Jabalpur, Jabalpur district of Madhya Pradesh. The destination attracts visitors seeking authentic regional heritage, architectural grandeur, and picturesque surroundings. It plays an integral role in the cultural landscape and local tourism identity of the region.",Oct-Mar,https://images.unsplash.com/photo-1609766857041-ed402ea8069a?w=800&auto=format&fit=crop&q=80
3816,Katanga Tv Tower,Madhya Pradesh,attraction,23.17905,79.96925,budget,4.5,7793,"Katanga Tv Tower is a renowned cultural landmark situated in Jabalpur, Jabalpur district of Madhya Pradesh. The destination attracts visitors seeking authentic regional heritage, architectural grandeur, and picturesque surroundings. It plays an integral role in the cultural landscape and local tourism identity of the region.",Oct-Feb,https://images.unsplash.com/photo-1621847468516-1ed5d0df56fe?w=800&auto=format&fit=crop&q=80
3817,Lamheta Ghat (Fossil Bed),Madhya Pradesh,attraction,23.109225,79.828189,budget,4.2,1291,"Globally renowned geological type section of the Lameta Formation on the Narmada River, famous for dinosaur egg fossils and prehistoric discoveries.",Oct-Mar,https://images.unsplash.com/photo-1571536802807-30451e3955d8?w=800&auto=format&fit=crop&q=80
3818,Paat Baba Mandir,Madhya Pradesh,attraction,23.1973,79.997,budget,4.6,1511,"Paat Baba Mandir is a renowned religious landmark situated in Jabalpur, Jabalpur district of Madhya Pradesh. The destination attracts visitors seeking authentic regional heritage, architectural grandeur, and picturesque surroundings. It plays an integral role in the cultural landscape and local tourism identity of the region.",Oct-Feb,https://images.unsplash.com/photo-1518709268805-4e9042af9f23?w=800&auto=format&fit=crop&q=80
3819,Pisanhari ki Madiya,Madhya Pradesh,attraction,23.1701,80.0066,budget,4.3,2191,"Pisanhari ki Madiya is a renowned religious landmark situated in Jabalpur, Jabalpur district of Madhya Pradesh. The destination attracts visitors seeking authentic regional heritage, architectural grandeur, and picturesque surroundings. It plays an integral role in the cultural landscape and local tourism identity of the region.",Oct-Feb,https://images.unsplash.com/photo-1590050752117-238cb0fb12b1?w=800&auto=format&fit=crop&q=80
3820,Prem Mandir Jabalpur,Madhya Pradesh,attraction,23.18125,79.98465,budget,4.2,2197,"Prem Mandir Jabalpur is a renowned religious landmark situated in Jabalpur, Jabalpur district of Madhya Pradesh. The destination attracts visitors seeking authentic regional heritage, architectural grandeur, and picturesque surroundings. It plays an integral role in the cultural landscape and local tourism identity of the region.",Oct-Feb,https://images.unsplash.com/photo-1582510003544-4d00b7f74220?w=800&auto=format&fit=crop&q=80
3821,Rani Durgavati Fort & Museum,Madhya Pradesh,attraction,23.163138,79.934172,mid,4.3,1281,"Rani Durgavati Fort & Museum is a renowned cultural landmark situated in Jabalpur, Jabalpur district of Madhya Pradesh. The destination attracts visitors seeking authentic regional heritage, architectural grandeur, and picturesque surroundings. It plays an integral role in the cultural landscape and local tourism identity of the region.",Oct-Mar,https://images.unsplash.com/photo-1585123388867-3bfe6dd4bdbf?w=800&auto=format&fit=crop&q=80
3822,Rani Durgawati Fort,Madhya Pradesh,attraction,23.148338,79.901672,mid,4.1,161,"Rani Durgawati Fort is a renowned heritage landmark situated in Jabalpur, Jabalpur district of Madhya Pradesh. The destination attracts visitors seeking authentic regional heritage, architectural grandeur, and picturesque surroundings. It plays an integral role in the cultural landscape and local tourism identity of the region.",Oct-Feb,https://images.unsplash.com/photo-1599661046289-e31897846e41?w=800&auto=format&fit=crop&q=80
3823,Sangram Sagar Lake and Garden,Madhya Pradesh,attraction,23.140238,79.882328,budget,4.7,1283,"Sangram Sagar Lake and Garden is a renowned recreation landmark situated in Jabalpur, Jabalpur district of Madhya Pradesh. The destination attracts visitors seeking authentic regional heritage, architectural grandeur, and picturesque surroundings. It plays an integral role in the cultural landscape and local tourism identity of the region.",Oct-Feb,https://images.unsplash.com/photo-1501785888041-af3ef285b470?w=800&auto=format&fit=crop&q=80
3824,Shaheed Smarak,Madhya Pradesh,attraction,23.170137,79.927109,budget,4.6,3352,"Shaheed Smarak is a renowned cultural landmark situated in Jabalpur, Jabalpur district of Madhya Pradesh. The destination attracts visitors seeking authentic regional heritage, architectural grandeur, and picturesque surroundings. It plays an integral role in the cultural landscape and local tourism identity of the region.",Oct-Feb,https://images.unsplash.com/photo-1567157577867-05ccb1388e66?w=800&auto=format&fit=crop&q=80
3825,Sharda Mandir,Madhya Pradesh,attraction,23.147188,79.904078,budget,4.1,858,"Sharda Mandir is a renowned religious landmark situated in Jabalpur, Jabalpur district of Madhya Pradesh. The destination attracts visitors seeking authentic regional heritage, architectural grandeur, and picturesque surroundings. It plays an integral role in the cultural landscape and local tourism identity of the region.",Oct-Feb,https://images.unsplash.com/photo-1582510003544-4d00b7f74220?w=800&auto=format&fit=crop&q=80
3826,Shree Maa Narmada Temple,Madhya Pradesh,attraction,23.1778,80.0105,budget,4.1,316,"Shree Maa Narmada Temple is a renowned religious landmark situated in Jabalpur, Jabalpur district of Madhya Pradesh. The destination attracts visitors seeking authentic regional heritage, architectural grandeur, and picturesque surroundings. It plays an integral role in the cultural landscape and local tourism identity of the region.",Oct-Mar,https://images.unsplash.com/photo-1544717305-2782549b5136?w=800&auto=format&fit=crop&q=80
