id,name,state,category,latitude,longitude,price_range,rating,review_count,description,best_season,image_url
12110,Agatti Coconut Grove Nature Trail,Lakshadweep,attraction,10.845,72.182,budget,4.7,6918,"An enchanting walking trail winding through the heart of Agatti Island's interior coconut plantations. The trail is home to abundant hermit crabs, resident white-breasted waterhens, tropical fruit bats, and provides a peaceful shaded alternative to the sunny beaches.",Oct-Mar,https://images.unsplash.com/photo-1512343879784-a960bf40e7f2?w=800&auto=format&fit=crop&q=80
12111,Agatti Southern Beach,Lakshadweep,attraction,10.825,72.175,budget,4.1,749,"Located at the extreme southern tip of Agatti Island just beyond the airstrip, this scenic beach features a tapering sand spit where visitors can gaze across a narrow coral reef channel at the uninhabited islet of Kalpitty.",Oct-Mar,https://images.unsplash.com/photo-1512343879784-a960bf40e7f2?w=800&auto=format&fit=crop&q=80
12112,Agatti Western Beach,Lakshadweep,attraction,10.855,72.185,budget,4.3,1596,"Agatti Western Beach spans the leeward side of Agatti Island along its vast turquoise lagoon. Known for its calm, wave-free waters, powdery coral sand, and swaying coconut palms, it offers breathtaking sunset vistas over the Arabian Sea.",Oct-Mar,https://images.unsplash.com/photo-1507525428034-b723cf961d3e?w=800&auto=format&fit=crop&q=80
12113,Amini Coconut Grove Nature Walk,Lakshadweep,attraction,11.122,72.728,budget,4.0,608,"Traversing the central spine of Amini Island, this natural sand trail winds beneath tall coconut palms and breadfruit trees, past traditional freshwater stone wells and village vegetable gardens that sustain island families.",Oct-Mar,https://images.unsplash.com/photo-1509233725247-49e657c54213?w=800&auto=format&fit=crop&q=80
12114,Amini Coral Sand Spit & Lighthouse,Lakshadweep,attraction,22.5841,78.9861,budget,4.7,8816,"Amini Coral Sand Spit & Lighthouse is an authentic attraction destination located in ,  district of Lakshadweep. Celebrated for its regional significance and unique ambiance, it offers travelers an immersive experience in the culture, scenic beauty, and heritage of Lakshadweep.",Oct-Mar,https://images.unsplash.com/photo-1507525428034-b723cf961d3e?w=800&auto=format&fit=crop&q=80
12115,Amini Traditional Stone Engraving & Craft Workshops,Lakshadweep,attraction,11.128,72.734,budget,4.1,1267,"Amini Island has been the traditional guild center for fine stone engraving in Lakshadweep. In family-run open workshops, master stonemasons use traditional iron chisels to engrave intricate floral filigree, Islamic calligraphy, and decorative borders onto soft coral slabs.",Oct-Mar,https://images.unsplash.com/photo-1519046904884-53103b34b206?w=800&auto=format&fit=crop&q=80
12116,Amini Walking Stick Artisan Workshops,Lakshadweep,attraction,11.13,72.736,budget,4.8,3883,"Amini is celebrated throughout the subcontinent for its exquisite handcrafted walking sticks. Artisans fashion these elegant canes from seasoned coconut palm wood and hard timbers, skillfully inlaying them with polished coconut shell rings, brass, and traditional marine motifs.",Oct-Mar,https://images.unsplash.com/photo-1507525428034-b723cf961d3e?w=800&auto=format&fit=crop&q=80
12117,Andrott Coconut Groves & Coastline Walk,Lakshadweep,attraction,10.825,73.685,budget,4.5,3511,Andrott is unique as the largest island in Lakshadweep and the only one aligned east-to-west. A scenic pedestrian walking trail traverses its lush interior coconut plantations and leads to rugged coastal beaches where traditional fishermen launch outrigger canoes.,Oct-Mar,https://images.unsplash.com/photo-1519046904884-53103b34b206?w=800&auto=format&fit=crop&q=80
12118,Andrott Coir & Copra Heritage Center,Lakshadweep,attraction,10.828,73.69,budget,4.1,863,"This traditional agricultural hub in Andrott showcases the age-old methods of coconut husking, saltwater retting in lagoon pits, and hand-spinning of resilient golden coir yarn that once rigged oceanic sailing ships across the Indian Ocean.",Oct-Mar,https://images.unsplash.com/photo-1512343879784-a960bf40e7f2?w=800&auto=format&fit=crop&q=80
12119,Andrott Fishing Heritage Harbour,Lakshadweep,attraction,10.82,73.678,budget,4.8,5062,"The bustling traditional fishing harbour of Andrott where local crews arrive at dawn in colorful motorized outrigger boats with bountiful catches of oceanic yellowfin tuna, skipjack, and wahoo caught using eco-friendly pole-and-line techniques.",Oct-Mar,https://images.unsplash.com/photo-1512343879784-a960bf40e7f2?w=800&auto=format&fit=crop&q=80
12120,Bangaram Hermit Crab Sanctuary,Lakshadweep,attraction,10.942,72.292,budget,4.8,5989,"A protected shoreline strip on Bangaram Island where thousands of terrestrial hermit crabs (Coenobita) congregate among coastal sea-grape bushes and coral sand. At sunset, the beach comes alive as hermit crabs of all sizes scuttle across the sands changing shells.",Oct-Mar,https://images.unsplash.com/photo-1549366021-9f761d450615?w=800&auto=format&fit=crop&q=80
12121,Bangaram Island Resort,Lakshadweep,hotel,10.938,72.288,mid,4.7,8799,"The flagship luxury eco-tourism retreat of Lakshadweep, Bangaram Island Resort offers standalone wooden beach cottages nestled under towering coconut groves right on the sands of an uninhabited atoll. The resort features open-air beach dining, certified scuba facilities, and complete digital detox.",Oct-Mar,https://images.unsplash.com/photo-1582719508461-905c673771fd?w=800&auto=format&fit=crop&q=80
12122,Bangaram Pufferfish Reef Garden,Lakshadweep,attraction,10.935,72.285,budget,4.4,1728,"Located in Bangaram's calm shallow lagoon just 30 meters from the beach, this patch reef is famous for its resident, friendly starry pufferfish, porcupinefish, and colorful angelfish that swim fearlessly among snorkelers amidst branching staghorn corals.",Oct-Mar,https://images.unsplash.com/photo-1584467735815-f778f274e296?w=800&auto=format&fit=crop&q=80
12123,Bangaram Seabird Habitat,Lakshadweep,attraction,10.948,72.295,budget,4.4,1827,"The shifting sandbars and peripheral coral cays around Bangaram provide a crucial oceanic refuge for thousands of pelagic seabirds including sooty terns, crested terns, lesser noddies, and plovers that gather in dense flocks to feed on baitfish schools.",Oct-Mar,https://images.unsplash.com/photo-1507525428034-b723cf961d3e?w=800&auto=format&fit=crop&q=80
12124,Bangaram Turtle Beach,Lakshadweep,attraction,10.94,72.29,budget,4.5,2985,"Located on the secluded northern curve of uninhabited Bangaram Island, this beach is a vital nesting sanctuary for endangered green sea turtles (Chelonia mydas) and hawksbill turtles. At night during the post-monsoon months, female turtles crawl ashore under moonlight to lay clutches of eggs.",Oct-Mar,https://images.unsplash.com/photo-1512343879784-a960bf40e7f2?w=800&auto=format&fit=crop&q=80
12125,Bitra Seabird Breeding Grounds,Lakshadweep,attraction,11.602,72.185,budget,4.2,2490,"In the colossal 45-square-kilometer lagoon of Bitra (the smallest inhabited island in Lakshadweep), isolated sandbanks and coral rubble cays host important regional colonies of breeding pelagic terns, boobies, and frigatebirds far from human interference.",Oct-Mar,https://images.unsplash.com/photo-1519046904884-53103b34b206?w=800&auto=format&fit=crop&q=80
