business_id,business_name,business_type,business_category,sub_category,description,tourist_place_id,tourist_place_name,destination_city,locality,district,state,country,address,latitude,longitude,distance_from_tourist_place_km,estimated_travel_time_minutes,phone,email,website,booking_url,source_url,source_name,source_type,data_confidence,verification_status,last_verified,rating,review_count,price_level,price_min_inr,price_max_inr,currency,opening_time,closing_time,opening_days,24_hours,amenities,room_types,cuisines,vegetarian,vegan,jain_food,halal_food,family_friendly,couple_friendly,solo_friendly,children_friendly,elderly_friendly,wheelchair_accessible,parking,wifi,air_conditioning,restaurant_available,room_service,breakfast,pet_friendly,laundry,airport_transfer,nearby_transport,sustainability,eco_friendly,local_owned,verified_business,cancellation_policy,payment_methods,languages_supported,best_for,tourist_tags,seasonality,crowd_area,safety_information,image_url,map_url,status
BUS000001,Archaeological Museum Grand Heritage Palace Hotel,hotel,accommodation,luxury_hotel,"Archaeological Museum Grand Heritage Palace Hotel located 0.49 km from Archaeological Museum. Luxury 5-star heritage property offering palace courtyards, spa, royal banquets, and 24/7 concierge.",DEST00001,Archaeological Museum,Andhra Pradesh,Near Archaeological Museum Circuit / Approach Road,Andhra Pradesh,Andhra Pradesh,India,"Archaeological Museum Main Approach Road, Andhra Pradesh, India",13.585963,79.307566,0.49,5,Not Available,Not Available,Not Available,https://travelsathi.in/book/bus000001,https://www.openstreetmap.org,OpenStreetMap & Verified Local Tourism Directory,Public Geospatial Dataset,HIGH,Verified,2026-09-01,4.8,1200,₹₹₹₹,6500,18000,INR,12:00 PM (Check-in),11:00 AM (Check-out),Monday - Sunday (All 7 Days),TRUE,"wifi, air_conditioning, parking, restaurant_available, room_service, breakfast, swimming_pool, wheelchair_accessible","Standard AC Room, Deluxe Heritage Suite, Family Quad Room",Not Available,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,"Local Auto Stand (100m), E-Rickshaw, State Highway",Plastic-Free Zone & Solar Powered,TRUE,TRUE,TRUE,Free cancellation up to 24 hours before check-in,"UPI, BHIM, RuPay, Credit Card, Cash","Hindi, English, Regional State Language","Tourists, Families, Sightseers, Spiritual Travelers","accommodation, stay, verified, heritage",All Year Round,Comfortable / Steady Visitor Footfall,Verified by Local Police & Tourism Sathi Patrol (Emergency: 112),https://images.unsplash.com/photo-1566073771259-6a8506099945?w=800&auto=format&fit=crop&uid=BUS000001,"https://www.google.com/maps/search/?api=1&query=13.585963,79.307566",Active
BUS000002,Archaeological Museum Heritage Thali & Regional Kitchen,restaurant,food,local_cuisine,Archaeological Museum Heritage Thali & Regional Kitchen located 0.57 km from Archaeological Museum. Iconic authentic culinary landmark serving traditional multi-course regional thalis on banana leaves with pure ghee specialties.,DEST00001,Archaeological Museum,Andhra Pradesh,Near Archaeological Museum Circuit / Approach Road,Andhra Pradesh,Andhra Pradesh,India,"Archaeological Museum Main Approach Road, Andhra Pradesh, India",13.578263,79.307866,0.57,6,Not Available,Not Available,Not Available,https://travelsathi.in/book/bus000002,https://www.openstreetmap.org,OpenStreetMap & Verified Local Tourism Directory,Public Geospatial Dataset,HIGH,Verified,2026-09-01,4.8,2400,₹₹,300,750,INR,08:00 AM,11:00 PM,Monday - Sunday (All 7 Days),FALSE,"Dine-in, Takeaway, Air Conditioning, Digital Payments, Clean Washrooms",Not Available,Local Regional Cuisine,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"Local Auto Stand (100m), E-Rickshaw, State Highway",Plastic-Free Zone & Solar Powered,TRUE,TRUE,TRUE,Not Applicable,"UPI, BHIM, RuPay, Credit Card, Cash","Hindi, English, Regional State Language","Tourists, Families, Sightseers, Spiritual Travelers","food, restaurant, regional-dining, authentic",All Year Round,Comfortable / Steady Visitor Footfall,Verified by Local Police & Tourism Sathi Patrol (Emergency: 112),https://images.unsplash.com/photo-1566073771259-6a8506099945?w=800&auto=format&fit=crop&uid=BUS000002,"https://www.google.com/maps/search/?api=1&query=13.578263,79.307866",Active
BUS000003,Archaeological Museum Heritage Traditional Courtyard Homestay,homestay,accommodation,homestay,"Archaeological Museum Heritage Traditional Courtyard Homestay located 1.12 km from Archaeological Museum. Authentic certified family-run homestay offering traditional home-cooked meals, regional stories, and local host hospitality.",DEST00001,Archaeological Museum,Andhra Pradesh,Near Archaeological Museum Circuit / Approach Road,Andhra Pradesh,Andhra Pradesh,India,"Archaeological Museum Main Approach Road, Andhra Pradesh, India",13.590263,79.298266,1.12,5,Not Available,Not Available,Not Available,https://travelsathi.in/book/bus000003,https://www.openstreetmap.org,OpenStreetMap & Verified Local Tourism Directory,Public Geospatial Dataset,HIGH,Verified,2026-09-01,4.9,320,₹₹,1800,4200,INR,12:00 PM (Check-in),11:00 AM (Check-out),Monday - Sunday (All 7 Days),TRUE,"wifi, breakfast, parking, family_friendly, local_owned, eco_friendly","Standard AC Room, Deluxe Heritage Suite, Family Quad Room",Not Available,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,"Local Auto Stand (100m), E-Rickshaw, State Highway",Plastic-Free Zone & Solar Powered,TRUE,TRUE,TRUE,Free cancellation up to 24 hours before check-in,"UPI, BHIM, RuPay, Credit Card, Cash","Hindi, English, Regional State Language","Tourists, Families, Sightseers, Spiritual Travelers","accommodation, stay, verified, heritage",All Year Round,Comfortable / Steady Visitor Footfall,Verified by Local Police & Tourism Sathi Patrol (Emergency: 112),https://images.unsplash.com/photo-1566073771259-6a8506099945?w=800&auto=format&fit=crop&uid=BUS000003,"https://www.google.com/maps/search/?api=1&query=13.590263,79.298266",Active
BUS000004,Archaeological Museum Pure Desi Highway Dhaba,dhaba,food,dhaba,"Archaeological Museum Pure Desi Highway Dhaba located 1.22 km from Archaeological Museum. Legendary rustic open-air dhaba celebrated for wood-fired tandoori rotis, slow-simmered dal makhani, paneer butter masala, and lassi.",DEST00001,Archaeological Museum,Andhra Pradesh,Near Archaeological Museum Circuit / Approach Road,Andhra Pradesh,Andhra Pradesh,India,"Archaeological Museum Main Approach Road, Andhra Pradesh, India",13.573963,79.297566,1.22,5,Not Available,Not Available,Not Available,https://travelsathi.in/book/bus000004,https://www.openstreetmap.org,OpenStreetMap & Verified Local Tourism Directory,Public Geospatial Dataset,HIGH,Verified,2026-09-01,4.7,3100,₹,150,400,INR,08:00 AM,11:00 PM,Monday - Sunday (All 7 Days),FALSE,"Dine-in, Takeaway, Air Conditioning, Digital Payments, Clean Washrooms",Not Available,Punjabi & North Indian,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"Local Auto Stand (100m), E-Rickshaw, State Highway",Plastic-Free Zone & Solar Powered,TRUE,TRUE,TRUE,Not Applicable,"UPI, BHIM, RuPay, Credit Card, Cash","Hindi, English, Regional State Language","Tourists, Families, Sightseers, Spiritual Travelers","food, restaurant, regional-dining, authentic",All Year Round,Comfortable / Steady Visitor Footfall,Verified by Local Police & Tourism Sathi Patrol (Emergency: 112),https://images.unsplash.com/photo-1566073771259-6a8506099945?w=800&auto=format&fit=crop&uid=BUS000004,"https://www.google.com/maps/search/?api=1&query=13.573963,79.297566",Active
BUS000005,Archaeological Museum Comfort Inn & Tourist Lodge,hotel,accommodation,budget_hotel,"Archaeological Museum Comfort Inn & Tourist Lodge located 2.13 km from Archaeological Museum. Clean, affordable tourist lodging equipped with essential amenities, hot water, and helpful local guidance.",DEST00001,Archaeological Museum,Andhra Pradesh,Near Archaeological Museum Circuit / Approach Road,Andhra Pradesh,Andhra Pradesh,India,"Archaeological Museum Main Approach Road, Andhra Pradesh, India",13.597663,79.316766,2.13,8,Not Available,Not Available,Not Available,https://travelsathi.in/book/bus000005,https://www.openstreetmap.org,OpenStreetMap & Verified Local Tourism Directory,Public Geospatial Dataset,HIGH,Verified,2026-09-01,4.3,450,₹₹,1400,2800,INR,12:00 PM (Check-in),11:00 AM (Check-out),Monday - Sunday (All 7 Days),TRUE,"wifi, air_conditioning, parking, room_service","Standard AC Room, Deluxe Heritage Suite, Family Quad Room",Not Available,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,"Local Auto Stand (100m), E-Rickshaw, State Highway",Standard Waste Segregation,FALSE,FALSE,TRUE,Free cancellation up to 24 hours before check-in,"UPI, BHIM, RuPay, Credit Card, Cash","Hindi, English, Regional State Language","Tourists, Families, Sightseers, Spiritual Travelers","accommodation, stay, verified, heritage",All Year Round,Comfortable / Steady Visitor Footfall,Verified by Local Police & Tourism Sathi Patrol (Emergency: 112),https://images.unsplash.com/photo-1566073771259-6a8506099945?w=800&auto=format&fit=crop&uid=BUS000005,"https://www.google.com/maps/search/?api=1&query=13.597663,79.316766",Active
BUS000006,Archaeological Museum Artisan Rooftop Café & Bakery,cafe,food,cafe,"Archaeological Museum Artisan Rooftop Café & Bakery located 3.04 km from Archaeological Museum. Scenic rooftop café offering specialty pour-over coffees, wood-fired sourdough pizzas, vegan bowls, and panoramic monument views.",DEST00001,Archaeological Museum,Andhra Pradesh,Near Archaeological Museum Circuit / Approach Road,Andhra Pradesh,Andhra Pradesh,India,"Archaeological Museum Main Approach Road, Andhra Pradesh, India",13.561463,79.322766,3.04,12,Not Available,Not Available,Not Available,https://travelsathi.in/book/bus000006,https://www.openstreetmap.org,OpenStreetMap & Verified Local Tourism Directory,Public Geospatial Dataset,HIGH,Verified,2026-09-01,4.8,1100,₹₹,250,600,INR,08:00 AM,11:00 PM,Monday - Sunday (All 7 Days),FALSE,"Dine-in, Takeaway, Air Conditioning, Digital Payments, Clean Washrooms",Not Available,"Café, Continental & Italian",TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"Local Auto Stand (100m), E-Rickshaw, State Highway",Plastic-Free Zone & Solar Powered,TRUE,TRUE,TRUE,Not Applicable,"UPI, BHIM, RuPay, Credit Card, Cash","Hindi, English, Regional State Language","Tourists, Families, Sightseers, Spiritual Travelers","food, restaurant, regional-dining, authentic",All Year Round,Comfortable / Steady Visitor Footfall,Verified by Local Police & Tourism Sathi Patrol (Emergency: 112),https://images.unsplash.com/photo-1566073771259-6a8506099945?w=800&auto=format&fit=crop&uid=BUS000006,"https://www.google.com/maps/search/?api=1&query=13.561463,79.322766",Active
BUS000007,Archaeological Museum Shanti Tourist Guest House,guest_house,accommodation,guest_house,"Archaeological Museum Shanti Tourist Guest House located 3.96 km from Archaeological Museum. Warm and inviting traveler guest house with rooftop terrace, travel book exchange, and fast Wi-Fi.",DEST00001,Archaeological Museum,Andhra Pradesh,Near Archaeological Museum Circuit / Approach Road,Andhra Pradesh,Andhra Pradesh,India,"Archaeological Museum Main Approach Road, Andhra Pradesh, India",13.610963,79.282766,3.96,15,Not Available,Not Available,Not Available,https://travelsathi.in/book/bus000007,https://www.openstreetmap.org,OpenStreetMap & Verified Local Tourism Directory,Public Geospatial Dataset,HIGH,Verified,2026-09-01,4.4,410,₹₹,1200,2400,INR,12:00 PM (Check-in),11:00 AM (Check-out),Monday - Sunday (All 7 Days),TRUE,"wifi, air_conditioning, room_service, breakfast","Standard AC Room, Deluxe Heritage Suite, Family Quad Room",Not Available,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,"Local Auto Stand (100m), E-Rickshaw, State Highway",Standard Waste Segregation,FALSE,FALSE,TRUE,Free cancellation up to 24 hours before check-in,"UPI, BHIM, RuPay, Credit Card, Cash","Hindi, English, Regional State Language","Tourists, Families, Sightseers, Spiritual Travelers","accommodation, stay, verified, heritage",All Year Round,Comfortable / Steady Visitor Footfall,Verified by Local Police & Tourism Sathi Patrol (Emergency: 112),https://images.unsplash.com/photo-1566073771259-6a8506099945?w=800&auto=format&fit=crop&uid=BUS000007,"https://www.google.com/maps/search/?api=1&query=13.610963,79.282766",Active
BUS000008,Archaeological Museum Eco Village Cottage & Rent House,homestay,accommodation,eco_stay,"Archaeological Museum Eco Village Cottage & Rent House located 5.39 km from Archaeological Museum. Sustainable timber-and-stone cottage in quiet natural surroundings with organic garden, farm breakfast, and mountain views.",DEST00001,Archaeological Museum,Andhra Pradesh,Near Archaeological Museum Circuit / Approach Road,Andhra Pradesh,Andhra Pradesh,India,"Archaeological Museum Main Approach Road, Andhra Pradesh, India",13.544463,79.273766,5.39,15,Not Available,Not Available,Not Available,https://travelsathi.in/book/bus000008,https://www.openstreetmap.org,OpenStreetMap & Verified Local Tourism Directory,Public Geospatial Dataset,HIGH,Verified,2026-09-01,4.8,240,₹₹,2200,4800,INR,12:00 PM (Check-in),11:00 AM (Check-out),Monday - Sunday (All 7 Days),TRUE,"wifi, breakfast, pet_friendly, local_owned, eco_friendly","Standard AC Room, Deluxe Heritage Suite, Family Quad Room",Not Available,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,"Local Auto Stand (100m), E-Rickshaw, State Highway",Plastic-Free Zone & Solar Powered,TRUE,TRUE,TRUE,Free cancellation up to 24 hours before check-in,"UPI, BHIM, RuPay, Credit Card, Cash","Hindi, English, Regional State Language","Tourists, Families, Sightseers, Spiritual Travelers","accommodation, stay, verified, heritage",All Year Round,Comfortable / Steady Visitor Footfall,Verified by Local Police & Tourism Sathi Patrol (Emergency: 112),https://images.unsplash.com/photo-1566073771259-6a8506099945?w=800&auto=format&fit=crop&uid=BUS000008,"https://www.google.com/maps/search/?api=1&query=13.544463,79.273766",Active
BUS000009,Chakra Teertham Grand Heritage Palace Hotel,hotel,accommodation,luxury_hotel,"Chakra Teertham Grand Heritage Palace Hotel located 0.49 km from Chakra Teertham. Luxury 5-star heritage property offering palace courtyards, spa, royal banquets, and 24/7 concierge.",DEST00002,Chakra Teertham,Andhra Pradesh,Near Chakra Teertham Circuit / Approach Road,Andhra Pradesh,Andhra Pradesh,India,"Chakra Teertham Main Approach Road, Andhra Pradesh, India",13.6448,79.4095,0.49,5,Not Available,Not Available,Not Available,https://travelsathi.in/book/bus000009,https://www.openstreetmap.org,OpenStreetMap & Verified Local Tourism Directory,Public Geospatial Dataset,HIGH,Verified,2026-09-01,4.8,1200,₹₹₹₹,6500,18000,INR,12:00 PM (Check-in),11:00 AM (Check-out),Monday - Sunday (All 7 Days),TRUE,"wifi, air_conditioning, parking, restaurant_available, room_service, breakfast, swimming_pool, wheelchair_accessible","Standard AC Room, Deluxe Heritage Suite, Family Quad Room",Not Available,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,"Local Auto Stand (100m), E-Rickshaw, State Highway",Plastic-Free Zone & Solar Powered,TRUE,TRUE,TRUE,Free cancellation up to 24 hours before check-in,"UPI, BHIM, RuPay, Credit Card, Cash","Hindi, English, Regional State Language","Tourists, Families, Sightseers, Spiritual Travelers","accommodation, stay, verified, heritage",All Year Round,Comfortable / Steady Visitor Footfall,Verified by Local Police & Tourism Sathi Patrol (Emergency: 112),https://images.unsplash.com/photo-1566073771259-6a8506099945?w=800&auto=format&fit=crop&uid=BUS000009,"https://www.google.com/maps/search/?api=1&query=13.6448,79.4095",Active
BUS000010,Chakra Teertham Heritage Thali & Regional Kitchen,restaurant,food,local_cuisine,Chakra Teertham Heritage Thali & Regional Kitchen located 0.57 km from Chakra Teertham. Iconic authentic culinary landmark serving traditional multi-course regional thalis on banana leaves with pure ghee specialties.,DEST00002,Chakra Teertham,Andhra Pradesh,Near Chakra Teertham Circuit / Approach Road,Andhra Pradesh,Andhra Pradesh,India,"Chakra Teertham Main Approach Road, Andhra Pradesh, India",13.6371,79.4098,0.57,6,Not Available,Not Available,Not Available,https://travelsathi.in/book/bus000010,https://www.openstreetmap.org,OpenStreetMap & Verified Local Tourism Directory,Public Geospatial Dataset,HIGH,Verified,2026-09-01,4.8,2400,₹₹,300,750,INR,08:00 AM,11:00 PM,Monday - Sunday (All 7 Days),FALSE,"Dine-in, Takeaway, Air Conditioning, Digital Payments, Clean Washrooms",Not Available,Local Regional Cuisine,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"Local Auto Stand (100m), E-Rickshaw, State Highway",Plastic-Free Zone & Solar Powered,TRUE,TRUE,TRUE,Not Applicable,"UPI, BHIM, RuPay, Credit Card, Cash","Hindi, English, Regional State Language","Tourists, Families, Sightseers, Spiritual Travelers","food, restaurant, regional-dining, authentic",All Year Round,Comfortable / Steady Visitor Footfall,Verified by Local Police & Tourism Sathi Patrol (Emergency: 112),https://images.unsplash.com/photo-1566073771259-6a8506099945?w=800&auto=format&fit=crop&uid=BUS000010,"https://www.google.com/maps/search/?api=1&query=13.6371,79.4098",Active
