destination_id,date,visitors,bookings,searches,views,holiday,festival,weather
1,2026-06-01,1700,124,6186,12616,0,0,Rainy
1,2026-06-02,1669,136,5398,11586,0,0,Pleasant
1,2026-06-03,1652,125,5466,10239,0,0,Pleasant
1,2026-06-04,1703,140,5890,11288,0,0,Rainy
1,2026-06-05,1630,120,5662,11969,0,0,Pleasant
1,2026-06-06,2191,179,7789,14164,0,0,Rainy
1,2026-06-07,2902,210,10477,20703,1,0,Pleasant
1,2026-06-08,1661,124,5349,11573,0,0,Pleasant
1,2026-06-09,1686,150,5948,11146,0,0,Pleasant
1,2026-06-10,1577,129,5935,12807,0,0,Pleasant
1,2026-06-11,1670,144,5733,10941,0,0,Pleasant
1,2026-06-12,1660,120,5591,11277,0,0,Pleasant
1,2026-06-13,2228,187,7136,15172,0,0,Pleasant
1,2026-06-14,2963,228,10852,19855,1,0,Rainy
1,2026-06-15,1692,128,5750,10496,0,0,Pleasant
1,2026-06-16,1725,151,6275,12895,0,0,Pleasant
1,2026-06-17,1694,144,6194,12539,0,0,Pleasant
1,2026-06-18,1643,115,5772,11376,0,0,Rainy
1,2026-06-19,1680,148,5692,11403,0,0,Rainy
1,2026-06-20,2247,167,7743,16277,0,0,Rainy
1,2026-06-21,2892,239,10867,23073,1,0,Pleasant
1,2026-06-22,1650,144,6075,11388,0,0,Pleasant
1,2026-06-23,1640,141,5472,10784,0,0,Pleasant
1,2026-06-24,1659,129,5315,10652,0,0,Rainy
1,2026-06-25,1658,133,6243,12044,0,0,Pleasant
1,2026-06-26,1635,145,5588,12230,0,0,Pleasant
1,2026-06-27,2166,178,7301,13249,0,0,Pleasant
1,2026-06-28,2931,258,9469,18099,1,0,Rainy
1,2026-06-29,1674,139,6346,12037,0,0,Pleasant
1,2026-06-30,1617,125,5404,11301,0,0,Pleasant
1,2026-07-01,1705,130,5548,11840,0,0,Rainy
1,2026-07-02,1786,149,5758,11725,0,0,Rainy
1,2026-07-03,1598,133,5732,10717,0,0,Pleasant
1,2026-07-04,2266,174,8524,15812,0,0,Rainy
1,2026-07-05,2973,239,10971,22184,1,0,Rainy
1,2026-07-06,1614,142,5254,11342,0,0,Pleasant
1,2026-07-07,1613,141,5864,12659,0,0,Pleasant
1,2026-07-08,1609,117,5768,10576,0,0,Pleasant
1,2026-07-09,1690,136,5413,10091,0,0,Pleasant
1,2026-07-10,1640,138,5889,11128,0,0,Rainy
1,2026-07-11,2320,192,8328,17819,0,0,Pleasant
1,2026-07-12,2891,217,9413,18327,1,0,Rainy
1,2026-07-13,1672,143,6245,12817,0,0,Pleasant
1,2026-07-14,1693,125,6003,11988,0,0,Pleasant
1,2026-07-15,1622,143,6105,13318,0,0,Pleasant
1,2026-07-16,1700,133,5455,11844,0,0,Pleasant
1,2026-07-17,1633,119,6059,11674,0,0,Pleasant
1,2026-07-18,2186,177,8223,17090,0,0,Rainy
1,2026-07-19,2935,246,10937,22927,1,0,Pleasant
1,2026-07-20,1618,139,5526,10595,0,0,Pleasant
1,2026-07-21,1701,142,6257,12889,0,0,Pleasant
1,2026-07-22,1869,144,6978,13503,0,0,Rainy
1,2026-07-23,1651,125,5744,11585,0,0,Pleasant
1,2026-07-24,1680,145,5406,9811,0,0,Pleasant
1,2026-07-25,2265,186,8294,15645,0,0,Rainy
1,2026-07-26,2878,232,9298,18712,1,0,Pleasant
1,2026-07-27,1574,123,5787,11043,0,0,Rainy
1,2026-07-28,1685,146,5417,11836,0,0,Pleasant
1,2026-07-29,1615,130,5319,10106,0,0,Pleasant
1,2026-07-30,1659,147,5965,11404,0,0,Pleasant
1,2026-07-31,1782,137,6151,11681,0,0,Pleasant
1,2026-08-01,2314,164,7424,13707,0,0,Rainy
1,2026-08-02,2955,235,10296,18935,1,0,Pleasant
1,2026-08-03,1714,133,5662,11174,0,0,Pleasant
1,2026-08-04,1653,132,5661,11606,0,0,Pleasant
1,2026-08-05,1682,120,6047,11278,0,0,Pleasant
1,2026-08-06,1679,130,6319,12828,0,0,Pleasant
1,2026-08-07,1656,147,5754,11612,0,0,Pleasant
