user_destination,user_start_date,user_end_date,event_id,event_start_date,event_end_date,distance_km,importance_tier,event_category,user_interest,date_confidence,event_status,date_overlap_days,days_until_event,days_since_event,relevance_label
Kolkata,2026-10-17,2026-10-21,EVT-0001,2026-10-17,2026-10-21,0.0,Tier 1 - National / International,Culture,Culture,HIGH,Upcoming,4,0,0,5
Kolkata,2026-10-15,2026-10-19,EVT-0001,2026-10-17,2026-10-21,0.0,Tier 1 - National / International,Culture,Culture,HIGH,Upcoming,4,0,0,4
Kolkata,2026-10-01,2026-10-07,EVT-0001,2026-10-17,2026-10-21,0.0,Tier 1 - National / International,Culture,Culture,HIGH,Upcoming,0,10,0,3
Kolkata,2026-11-10,2026-11-15,EVT-0001,2026-10-17,2026-10-21,0.0,Tier 1 - National / International,Culture,Culture,HIGH,Upcoming,0,120,0,0
Jaipur,2026-11-15,2026-11-25,EVT-0003,2026-11-17,2026-11-24,145.0,Tier 1 - National / International,Livestock / Melas,Culture,HIGH,Upcoming,4,0,0,4
Mumbai,2026-07-10,2026-07-15,EVT-0005,2026-12-01,2026-12-10,1200.0,Tier 1 - National / International,Tribal,Tribal,HIGH,Upcoming,0,120,0,0
Kohima,2026-12-01,2026-12-05,EVT-0005,2026-12-01,2026-12-10,1200.0,Tier 1 - National / International,Tribal,Tribal,HIGH,Upcoming,4,0,0,5
Mysuru,2026-10-11,2026-10-21,EVT-0007,2026-10-11,2026-10-21,0.0,Tier 1 - National / International,Heritage,Heritage,HIGH,Upcoming,4,0,0,5
Kochi,2026-09-15,2026-09-25,EVT-0008,2026-09-15,2026-09-25,0.0,Tier 1 - National / International,Harvest,Harvest,HIGH,Upcoming,4,0,0,5
Thrissur,2026-04-26,2026-04-29,EVT-0009,2026-04-27,2026-04-28,0.0,Tier 1 - National / International,Spiritual,Spiritual,HIGH,Upcoming,4,0,0,5
Bhuj,2026-12-10,2026-12-15,EVT-0010,2026-11-01,2027-02-28,1200.0,Tier 1 - National / International,Tourism,Tourism,HIGH,Upcoming,4,0,0,4
Panaji,2026-02-14,2026-02-17,EVT-0012,2026-02-14,2026-02-17,0.0,Tier 1 - National / International,Culture,Culture,HIGH,Upcoming,4,0,0,5
