id,name,state,category,latitude,longitude,price_range,rating,review_count,description,best_season,image_url
9961,Dumboor Waterfall & Rapids,Tripura,attraction,23.445679,91.823457,budget,4.9,1932,"Turbulent river cascade and spillway rapids where the Raima and Sarma rivers unite near the Dumboor hydro-dam, roaring down rocky gullies.",Jul-Oct,https://thumb.wikimedia.org/wikipedia/commons/thumb/e/ed/Dudhsagar_Waterfalls_Goa.jpg/960px-Dudhsagar_Waterfalls_Goa.jpg
9962,Gumti Wildlife Sanctuary,Tripura,attraction,23.412346,91.876543,budget,3.9,699,"Massive 389 sq km wildlife reserve adjoining the vast Dumboor water body, harboring elephants, sambar deer, wild buffalo, and serow.",Oct-Feb,https://thumb.wikimedia.org/wikipedia/commons/thumb/a/a8/Deer%2C_Sepahijala_WLS.jpg/960px-Deer%2C_Sepahijala_WLS.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
9963,Kamaleshwari Kali Temple (Kamalpur),Tripura,attraction,24.198765,91.834568,budget,4.6,6824,"Venerated 17th-century Hindu temple dedicated to Goddess Kali, located in the center of Kamalpur town, after whom the entire town is named.",Oct-Mar,https://thumb.wikimedia.org/wikipedia/commons/thumb/3/37/Laxminarayan_Temple_in_New_Delhi_03-2016.jpg/960px-Laxminarayan_Temple_in_New_Delhi_03-2016.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
9964,Amar Sagar Lake,Tripura,attraction,23.529811,91.641233,budget,4.8,6926,"Massive 16th-century man-made reservoirs commissioned by the Manikya rulers in Amarpur, surrounded by palace ruins, ancient banyans, and quiet sunset walks.",Oct-Feb,https://thumb.wikimedia.org/wikipedia/commons/thumb/1/1c/Neermahal191.jpg/960px-Neermahal191.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
9965,Bhubaneswari Temple Udaipur,Tripura,attraction,23.533221,91.488651,budget,4.7,4644,"17th-century brick and mortar temple built on the banks of Gomati River by Maharaja Govinda Manikya, immortalized by Nobel laureate Rabindranath Tagore in his drama 'Bisarjan' and novel 'Rajarshi'.",Oct-Mar,https://thumb.wikimedia.org/wikipedia/commons/thumb/3/37/Laxminarayan_Temple_in_New_Delhi_03-2016.jpg/960px-Laxminarayan_Temple_in_New_Delhi_03-2016.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
9966,Chabimura Rock Carvings (Chakhwtwk),Tripura,attraction,23.535698,91.708453,budget,4.7,5288,"Colossal 15th-century rock-cut panels sculpted onto sheer sandstone cliff faces rising vertically from the Gomati River, including an extraordinary 20-foot relief of Goddess Durga (Chakrakma).",Oct-Feb,https://thumb.wikimedia.org/wikipedia/commons/thumb/8/8f/DinggiNaiaka.jpg/960px-DinggiNaiaka.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
9967,Gunabati Group of Temples,Tripura,attraction,23.528411,91.487622,budget,4.1,790,"Trio of 17th-century brick temples constructed in 1668 CE by Maharani Gunabati, showcasing distinctive Bengal-Tripura Stupa-headed shikhara architecture.",Oct-Mar,https://thumb.wikimedia.org/wikipedia/commons/thumb/7/7f/Shanti_Stupa_at_Rajgir_%28cropped%29.jpg/960px-Shanti_Stupa_at_Rajgir_%28cropped%29.jpg
9968,Jagannath Dighi Lake Udaipur,Tripura,attraction,23.538112,91.482341,budget,4.5,5773,"Large scenic royal lake excavated in the center of Udaipur town by Maharaja Jagannath Manikya, flanked by ancient temples and walking promenades.",Oct-Feb,https://thumb.wikimedia.org/wikipedia/commons/thumb/3/32/Melaghar_Municipal_Council.jpg/960px-Melaghar_Municipal_Council.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
9969,Tepania Eco Park,Tripura,attraction,23.551234,91.467891,budget,4.2,1788,Shaded forest walking trails and high wooden watchtowers nestled inside dense natural dipterocarp and bamboo groves near Udaipur.,Oct-Feb,https://thumb.wikimedia.org/wikipedia/commons/thumb/a/a6/INDIA_AND_BANGLADESH_MAITREE_UDDAN.jpg/960px-INDIA_AND_BANGLADESH_MAITREE_UDDAN.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
9970,Tripurasundari Temple (Matabari),Tripura,attraction,23.511394,91.498424,budget,4.1,1097,"500-year-old sacred red-hued shrine constructed in 1501 CE by Maharaja Dhanya Manikya on a turtle-shaped hillock, revered as one of the 51 holy Shaktipeeths of Hinduism where Sati's right foot fell.",Oct-Mar,https://thumb.wikimedia.org/wikipedia/commons/thumb/3/37/Laxminarayan_Temple_in_New_Delhi_03-2016.jpg/960px-Laxminarayan_Temple_in_New_Delhi_03-2016.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
