Number,City Name,State Name,Road Connectivity Score (1-100),Train Connectivity Score (1-100),Flight Connectivity Score (1-100),Overall Connectivity Score (1-100),Road Access Indicator,Train Access Indicator,Flight Access Indicator,Connectivity Confidence
1,Port Blair,Andaman and Nicobar Islands,75,35,90,67,Road access exists; NH status not asserted,No city-level railway match in conservative reference,AAI airport-city match,Medium
2,Adoni,Andhra Pradesh,85,90,20,65,NH-linked city reference,City-level railway passenger access reference,No direct AAI airport-city match,Medium
3,Amaravati,Andhra Pradesh,75,90,20,62,Road access exists; NH status not asserted,City-level railway passenger access reference,No direct AAI airport-city match,Medium
4,Anantapur,Andhra Pradesh,85,90,20,65,NH-linked city reference,City-level railway passenger access reference,No direct AAI airport-city match,Medium
5,Chandragiri,Andhra Pradesh,65,90,20,58,Road access exists; NH status not asserted,City-level railway passenger access reference,No direct AAI airport-city match,Medium
6,Chittoor,Andhra Pradesh,85,90,20,65,NH-linked city reference,City-level railway passenger access reference,No direct AAI airport-city match,Medium
7,Dowlaiswaram,Andhra Pradesh,65,35,20,40,Road access exists; NH status not asserted,No city-level railway match in conservative reference,No direct AAI airport-city match,Low
8,Eluru,Andhra Pradesh,85,90,20,65,NH-linked city reference,City-level railway passenger access reference,No direct AAI airport-city match,Medium
9,Guntur,Andhra Pradesh,85,90,20,65,NH-linked city reference,City-level railway passenger access reference,No direct AAI airport-city match,Medium
10,Kadapa,Andhra Pradesh,85,90,20,65,NH-linked city reference,City-level railway passenger access reference,No direct AAI airport-city match,Medium
11,Kakinada,Andhra Pradesh,85,90,20,65,NH-linked city reference,City-level railway passenger access reference,No direct AAI airport-city match,Medium
12,Kurnool,Andhra Pradesh,85,90,20,65,NH-linked city reference,City-level railway passenger access reference,No direct AAI airport-city match,Medium
13,Machilipatnam,Andhra Pradesh,85,90,20,65,NH-linked city reference,City-level railway passenger access reference,No direct AAI airport-city match,Medium
14,Nagarjunakoṇḍa,Andhra Pradesh,65,35,20,40,Road access exists; NH status not asserted,No city-level railway match in conservative reference,No direct AAI airport-city match,Low
15,Rajahmundry,Andhra Pradesh,85,90,90,88,NH-linked city reference,City-level railway passenger access reference,AAI airport-city match,High
16,Srikakulam,Andhra Pradesh,85,90,20,65,NH-linked city reference,City-level railway passenger access reference,No direct AAI airport-city match,Medium
17,Tirupati,Andhra Pradesh,85,90,90,88,NH-linked city reference,City-level railway passenger access reference,AAI airport-city match,High
18,Vijayawada,Andhra Pradesh,85,90,90,88,NH-linked city reference,City-level railway passenger access reference,AAI airport-city match,High
19,Visakhapatnam,Andhra Pradesh,85,90,90,88,NH-linked city reference,City-level railway passenger access reference,AAI airport-city match,High
20,Vizianagaram,Andhra Pradesh,85,90,20,65,NH-linked city reference,City-level railway passenger access reference,No direct AAI airport-city match,Medium
21,Yemmiganur,Andhra Pradesh,65,90,20,58,Road access exists; NH status not asserted,City-level railway passenger access reference,No direct AAI airport-city match,Medium
22,Itanagar,Arunachal Pradesh,75,35,90,67,Road access exists; NH status not asserted,No city-level railway match in conservative reference,AAI airport-city match,Medium
23,Dhuburi,Assam,65,90,20,58,Road access exists; NH status not asserted,City-level railway passenger access reference,No direct AAI airport-city match,Medium
24,Dibrugarh,Assam,85,90,90,88,NH-linked city reference,City-level railway passenger access reference,AAI airport-city match,High
25,Dispur,Assam,75,90,20,62,Road access exists; NH status not asserted,City-level railway passenger access reference,No direct AAI airport-city match,Medium
26,Guwahati,Assam,85,90,90,88,NH-linked city reference,City-level railway passenger access reference,AAI airport-city match,High
27,Jorhat,Assam,65,90,90,82,Road access exists; NH status not asserted,City-level railway passenger access reference,AAI airport-city match,Medium
28,Nagaon,Assam,65,90,20,58,Road access exists; NH status not asserted,City-level railway passenger access reference,No direct AAI airport-city match,Medium
