base_price,days_to_festival,is_weekend,season_demand_index,occupancy_rate_last_30d,category_luxury_tier,review_rating,recommended_price,suggested_price
2224.03,50,1,0.41,0.53,1,4.2,2790.0,2790.0
13645.28,39,1,0.77,0.79,3,3.7,20390.0,20390.0
4507.35,6,1,0.72,0.74,2,4.8,7680.0,7680.0
5846.17,31,0,0.36,0.39,2,4.0,5560.0,5560.0
1220.76,47,1,0.33,0.2,1,4.0,1220.0,1220.0
1074.82,18,0,0.73,0.26,1,4.7,1430.0,1430.0
2266.34,5,0,0.51,0.82,1,3.8,3080.0,3080.0
10391.5,19,0,0.36,0.73,3,4.7,12790.0,12790.0
5464.39,26,0,0.83,0.68,2,3.4,7300.0,7300.0
5625.82,52,0,0.52,0.25,2,3.5,5290.0,5290.0
999.93,42,0,0.62,0.66,1,4.9,1320.0,1320.0
14834.65,36,1,0.47,0.77,3,4.7,20860.0,20860.0
4069.12,47,1,0.74,0.84,2,3.9,6190.0,6190.0
1716.69,6,0,0.51,0.16,1,4.3,1990.0,1990.0
1902.55,58,0,0.98,0.7,1,4.9,2730.0,2730.0
2382.21,4,0,0.79,0.17,1,3.6,2890.0,2890.0
930.59,10,0,0.4,0.72,1,3.3,1060.0,1060.0
4168.95,14,1,0.59,0.66,2,4.2,6440.0,6440.0
2000.36,2,0,0.57,0.27,1,3.5,2400.0,2400.0
2056.33,57,1,0.67,0.76,1,3.5,2780.0,2780.0
4923.86,4,1,0.89,0.2,2,4.8,7770.0,7770.0
1115.1,22,0,0.71,0.81,1,3.2,1470.0,1470.0
1379.03,52,1,0.34,0.36,1,4.7,1490.0,1490.0
1473.94,36,0,0.76,0.7,1,4.1,1920.0,1920.0
5315.53,8,0,0.31,0.89,2,4.2,6860.0,6860.0
3475.66,14,0,0.85,0.42,2,4.4,4940.0,4940.0
1237.13,2,0,0.77,0.55,1,4.0,1750.0,1750.0
5851.07,28,0,0.52,0.52,2,3.4,6660.0,6660.0
2531.02,5,0,0.5,0.28,2,3.4,2860.0,2860.0
2496.51,16,1,0.86,0.62,1,4.6,4160.0,4160.0
4868.87,25,1,0.85,0.74,2,3.6,7750.0,7750.0
2225.55,20,1,0.55,0.88,1,3.3,3440.0,3440.0
1371.39,7,0,0.51,0.83,1,5.0,1980.0,1980.0
6143.15,20,1,0.69,0.56,3,5.0,9860.0,9860.0
13378.7,56,1,0.31,0.73,3,3.9,15860.0,15860.0
5419.51,10,1,0.36,0.79,2,3.2,7400.0,7400.0
2084.76,37,1,0.39,0.54,1,4.5,2560.0,2560.0
1128.56,7,1,0.43,0.24,1,4.7,1500.0,1500.0
5137.0,41,0,0.66,0.5,2,3.4,5810.0,5810.0
2130.28,23,1,0.99,0.82,1,3.4,3580.0,3580.0
1953.66,60,0,0.76,0.63,1,4.7,2520.0,2520.0
5181.41,34,1,0.34,0.73,2,4.9,6940.0,6940.0
2253.47,54,0,0.67,0.3,1,4.6,2470.0,2470.0
12136.04,13,0,0.65,0.92,3,3.6,17420.0,17420.0
1041.77,54,0,0.4,0.47,1,3.9,980.0,980.0
4206.7,13,1,0.94,0.67,2,4.3,7400.0,7400.0
1024.24,9,0,0.61,0.17,1,3.5,1130.0,1130.0
3926.4,11,0,1.0,0.25,2,3.6,5230.0,5230.0
3924.87,37,1,0.59,0.78,2,3.7,5500.0,5500.0
1005.62,43,1,0.73,0.92,1,4.1,1550.0,1550.0
9488.21,54,0,0.37,0.41,3,4.1,8920.0,8920.0
2888.49,45,0,0.62,0.18,2,4.7,3130.0,3130.0
14082.35,33,1,0.47,0.44,3,4.6,18340.0,18340.0
15476.88,40,1,0.88,0.16,3,4.8,21270.0,21270.0
2753.11,9,0,0.85,0.3,2,4.7,3890.0,3890.0
15551.15,57,1,0.88,0.75,3,3.7,22240.0,22240.0
1736.12,16,0,0.81,0.9,1,3.8,2610.0,2610.0
1379.31,16,1,0.88,0.22,1,4.1,2020.0,2020.0
1022.98,2,1,0.44,0.6,1,3.2,1430.0,1430.0
1701.0,30,0,0.62,0.35,1,4.8,2170.0,2170.0
2171.22,50,0,0.78,0.26,1,3.3,2250.0,2250.0
2031.34,0,1,0.75,0.33,1,3.8,3000.0,3000.0
2675.79,11,1,0.8,0.61,2,4.2,4460.0,4460.0
1016.64,38,0,0.46,0.2,1,4.1,1060.0,1060.0
1544.6,3,1,0.37,0.5,1,4.4,2110.0,2110.0
3533.52,41,1,0.94,0.26,2,4.1,5060.0,5060.0
1271.81,12,0,0.69,0.37,1,3.6,1610.0,1610.0
3483.52,33,1,0.41,0.3,2,3.6,3990.0,3990.0
2185.57,41,1,0.86,0.86,1,4.8,3490.0,3490.0
15292.28,20,1,0.94,0.72,3,3.7,24680.0,24680.0
3917.86,21,0,0.42,0.84,2,3.7,4660.0,4660.0
2349.78,56,0,0.87,0.46,1,3.9,2730.0,2730.0
1414.39,3,0,0.95,0.4,1,3.5,2040.0,2040.0
4167.53,17,1,0.96,0.45,2,4.1,6930.0,6930.0
3291.1,4,1,0.94,0.16,2,4.4,5100.0,5100.0
4741.67,18,1,0.68,0.73,2,4.6,7470.0,7470.0
5926.43,1,1,0.55,0.43,2,4.5,8650.0,8650.0
1865.59,11,0,0.31,0.4,1,3.5,1980.0,1980.0
1472.5,16,1,0.34,0.63,1,4.0,1930.0,1930.0
1936.51,9,0,0.6,0.5,1,3.3,2330.0,2330.0
7229.21,33,1,0.58,0.93,3,3.2,9980.0,9980.0
5610.31,5,0,0.43,0.44,2,4.0,6980.0,6980.0
1704.93,7,1,0.58,0.64,1,3.7,2680.0,2680.0
1618.96,60,1,0.42,0.4,1,4.4,1840.0,1840.0
1837.38,50,1,0.89,0.94,1,4.5,3100.0,3100.0
1899.65,10,0,0.51,0.51,1,4.8,2440.0,2440.0
2751.22,56,0,0.72,0.66,2,4.6,3420.0,3420.0
4889.16,11,0,0.65,0.25,2,3.3,5820.0,5820.0
8419.32,8,1,0.34,0.74,3,3.9,11660.0,11660.0
4998.83,1,0,0.96,0.37,2,3.7,7260.0,7260.0
2216.06,7,1,0.67,0.51,1,3.9,3340.0,3340.0
5313.85,57,0,0.53,0.86,2,3.5,6010.0,6010.0
4433.75,10,0,0.41,0.93,2,3.4,5710.0,5710.0
4320.59,59,1,0.54,0.49,2,4.1,5120.0,5120.0
3000.07,52,1,0.31,0.82,2,4.5,3760.0,3760.0
5213.71,35,1,0.55,0.19,2,4.5,6750.0,6750.0
3449.93,9,1,0.67,0.83,2,4.0,5680.0,5680.0
1694.71,20,0,0.91,0.65,1,4.1,2520.0,2520.0
1354.84,19,0,0.78,0.54,1,4.1,1960.0,1960.0
1114.13,47,0,0.38,0.86,1,4.4,1240.0,1240.0
1907.29,7,0,0.4,0.83,1,3.3,2430.0,2430.0
2690.16,35,1,0.6,0.39,2,4.5,3650.0,3650.0
2097.83,28,0,0.44,0.78,1,4.2,2610.0,2610.0
3611.55,41,0,0.32,0.23,2,3.6,3140.0,3140.0
6001.35,11,0,0.86,0.81,3,3.3,8730.0,8730.0
1717.81,60,0,0.31,0.69,1,3.4,1510.0,1510.0
974.96,13,0,0.88,0.22,1,4.1,1300.0,1300.0
3466.59,47,1,0.4,0.7,2,4.6,4420.0,4420.0
2031.16,53,1,0.98,0.61,1,3.8,3020.0,3020.0
1000.3,49,1,0.72,0.63,1,3.9,1420.0,1420.0
2242.94,20,1,0.81,0.38,1,4.9,3420.0,3420.0
906.11,21,0,0.38,0.36,1,3.6,930.0,930.0
8468.24,20,1,0.9,0.76,3,3.4,14110.0,14110.0
5093.16,43,0,0.89,0.36,2,3.8,6170.0,6170.0
3606.95,49,0,0.76,0.51,2,4.5,4650.0,4650.0
7018.92,29,1,0.65,0.71,3,4.3,10180.0,10180.0
3760.82,38,0,0.81,0.21,2,3.9,4620.0,4620.0
1332.63,19,1,0.3,0.63,1,4.9,1840.0,1840.0
14427.12,23,0,0.71,0.62,3,4.5,19100.0,19100.0
3596.72,22,1,0.89,0.7,2,3.3,5810.0,5810.0
5261.26,6,0,0.55,0.45,2,4.5,6930.0,6930.0
14918.72,8,0,0.38,0.51,3,3.2,17370.0,17370.0
1594.11,0,1,0.59,0.41,1,4.4,2320.0,2320.0
2355.91,25,0,0.81,0.8,1,3.6,3220.0,3220.0
1503.71,37,0,0.38,0.25,1,4.5,1530.0,1530.0
2442.53,37,0,0.44,0.92,1,3.8,3160.0,3160.0
2812.51,53,1,0.4,0.66,2,4.8,3650.0,3650.0
12870.19,60,1,0.86,0.86,3,3.8,19480.0,19480.0
1690.1,43,0,0.34,0.49,1,4.3,1670.0,1670.0
3856.77,21,1,0.78,0.42,2,3.7,5620.0,5620.0
1912.34,43,1,0.56,0.87,1,4.9,2820.0,2820.0
2026.17,9,1,0.83,0.23,1,4.6,3180.0,3180.0
906.98,54,1,0.98,0.24,1,3.6,1250.0,1250.0
1167.12,57,0,0.38,0.39,1,4.9,1150.0,1150.0
13130.46,5,1,0.52,0.92,3,3.8,21090.0,21090.0
1966.22,16,0,0.87,0.66,1,4.4,2940.0,2940.0
5881.17,50,0,0.49,0.59,2,4.5,6820.0,6820.0
5163.63,49,1,0.45,0.71,2,3.2,6110.0,6110.0
2421.24,37,1,0.88,0.48,1,4.9,3900.0,3900.0
13025.41,23,0,0.99,0.76,3,3.8,19440.0,19440.0
8980.52,50,0,0.69,0.46,3,3.5,9860.0,9860.0
1068.58,9,1,0.49,0.81,1,4.7,1640.0,1640.0
5236.38,55,0,0.58,0.36,2,4.5,5630.0,5630.0
1930.64,7,0,0.42,0.37,1,3.4,2150.0,2150.0
977.1,20,0,0.83,0.57,1,3.4,1340.0,1340.0
1476.08,55,0,0.84,0.49,1,4.5,1750.0,1750.0
5848.8,5,1,0.91,0.67,2,3.3,9770.0,9770.0
4251.4,20,0,0.32,0.44,2,4.9,4900.0,4900.0
1592.37,56,1,0.69,0.33,1,4.5,1990.0,1990.0
1632.32,38,0,0.45,0.53,1,3.8,1780.0,1780.0
8088.83,23,1,0.54,0.6,3,3.9,10690.0,10690.0
1489.93,32,1,0.85,0.26,1,4.1,2120.0,2120.0
1491.7,58,1,0.43,0.6,1,3.8,1820.0,1820.0
2683.24,17,1,0.75,0.41,2,4.6,4110.0,4110.0
13675.68,55,1,0.76,0.46,3,5.0,18970.0,18970.0
1566.41,27,0,0.97,0.37,1,4.3,2180.0,2180.0
5377.63,56,1,0.84,0.9,2,4.0,8220.0,8220.0
5476.22,51,1,0.86,0.7,2,3.6,8160.0,8160.0
1239.19,31,0,0.67,0.36,1,4.4,1510.0,1510.0
4800.74,11,0,0.43,0.67,2,4.4,6280.0,6280.0
1655.65,47,1,0.6,0.83,1,4.4,2390.0,2390.0
5580.55,41,1,0.68,0.47,2,3.2,7070.0,7070.0
3255.09,26,0,0.77,0.81,2,4.8,4660.0,4660.0
4872.35,9,0,0.73,0.27,2,3.8,6240.0,6240.0
1872.4,45,1,0.58,0.81,1,4.5,2540.0,2540.0
3533.56,56,0,0.49,0.58,2,4.6,3630.0,3630.0
1118.56,51,1,0.42,0.33,1,4.4,1230.0,1230.0
1942.62,41,1,0.79,0.48,1,3.9,2790.0,2790.0
2081.76,31,1,0.75,0.94,1,4.3,3290.0,3290.0
3604.7,41,0,0.78,0.78,2,3.3,4690.0,4690.0
4756.91,25,1,0.56,0.61,2,4.6,6790.0,6790.0
1532.21,24,1,0.48,0.24,1,3.4,1830.0,1830.0
4996.22,10,1,0.83,0.48,2,3.9,7880.0,7880.0
1218.74,22,0,0.84,0.36,1,3.4,1540.0,1540.0
5615.75,33,0,0.62,0.21,2,4.7,6310.0,6310.0
1359.86,56,1,0.73,0.58,1,4.2,1790.0,1790.0
3787.25,51,0,0.56,0.86,2,4.4,4670.0,4670.0
992.95,39,0,0.79,0.69,1,4.4,1370.0,1370.0
7115.12,22,0,0.89,0.35,3,4.7,10100.0,10100.0
1725.38,28,1,0.78,0.61,1,3.4,2550.0,2550.0
1328.15,30,0,0.66,0.9,1,4.4,1870.0,1870.0
2236.77,6,0,0.62,0.73,1,4.2,3100.0,3100.0
6146.93,39,0,0.75,0.7,3,3.3,7780.0,7780.0
9790.94,32,1,0.78,0.92,3,3.6,15610.0,15610.0
1439.75,20,0,0.69,0.79,1,3.7,1960.0,1960.0
2567.65,1,0,0.74,0.26,2,3.3,3260.0,3260.0
2935.29,17,0,0.37,0.43,2,3.8,3190.0,3190.0
3947.75,46,1,0.97,0.92,2,3.2,6330.0,6330.0
4225.03,32,0,0.85,0.54,2,4.2,5490.0,5490.0
1546.86,36,0,0.56,0.24,1,3.6,1500.0,1500.0
1749.5,33,0,0.69,0.52,1,3.7,2030.0,2030.0
11951.32,19,1,0.33,0.71,3,4.8,16730.0,16730.0
6099.24,34,1,0.33,0.95,3,4.1,8470.0,8470.0
4124.33,50,1,0.48,0.41,2,3.7,4460.0,4460.0
2441.6,49,1,0.78,0.56,1,4.3,3500.0,3500.0
1730.45,60,0,0.9,0.85,1,3.6,2340.0,2340.0
4871.4,53,1,0.69,0.43,2,3.3,6070.0,6070.0
9118.64,17,0,0.67,0.24,3,3.2,9740.0,9740.0
13739.91,45,0,0.58,0.91,3,4.9,18520.0,18520.0
5205.23,23,0,0.41,0.54,2,4.5,6170.0,6170.0
4324.54,7,0,0.38,0.55,2,4.6,5340.0,5340.0
2461.62,60,1,0.83,0.65,1,5.0,3690.0,3690.0
1100.88,29,0,0.95,0.15,1,4.9,1420.0,1420.0
6169.48,43,1,0.62,0.89,3,4.5,9280.0,9280.0
5195.55,52,0,0.76,0.44,2,4.4,6280.0,6280.0
2191.45,9,0,0.94,0.47,1,3.8,3130.0,3130.0
1092.33,22,1,0.36,0.29,1,3.4,1250.0,1250.0
3429.54,51,1,0.84,0.45,2,4.2,4760.0,4760.0
928.08,48,1,0.73,0.79,1,4.2,1360.0,1360.0
1369.29,10,0,0.72,0.79,1,4.9,2050.0,2050.0
5206.0,1,0,0.5,0.9,2,4.0,7230.0,7230.0
4312.86,57,1,0.78,0.47,2,4.4,5980.0,5980.0
3718.33,25,1,0.86,0.72,2,4.2,5850.0,5850.0
1494.78,35,0,0.38,0.56,1,3.5,1550.0,1550.0
2504.74,32,1,0.67,0.79,2,4.3,3880.0,3880.0
1379.68,46,1,0.37,0.72,1,4.2,1680.0,1680.0
1934.33,12,1,0.91,0.44,1,4.1,3120.0,3120.0
5909.68,39,1,0.66,0.42,2,4.1,7760.0,7760.0
5464.71,24,1,0.87,0.35,2,3.5,8190.0,8190.0
2582.58,3,0,0.56,0.61,2,4.0,3440.0,3440.0
5644.96,41,0,0.39,0.92,2,4.3,7060.0,7060.0
5241.19,18,1,0.33,0.31,2,4.1,6660.0,6660.0
2148.6,17,0,0.5,0.23,1,4.1,2420.0,2420.0
