id,name,state,category,latitude,longitude,price_range,rating,review_count,description,best_season,image_url
6019,CommonWealth World War II Cemetry,Nagaland,attraction,25.667963,94.103578,budget,4.5,5670,"CommonWealth World War II Cemetry is a renowned cultural landmark situated in Kohima, Kohima district of Nagaland. The destination attracts visitors seeking authentic regional heritage, architectural grandeur, and picturesque surroundings. It plays an integral role in the cultural landscape and local tourism identity of the region.",Oct-Feb,https://images.unsplash.com/photo-1590050752117-238cb0fb12b1?w=800&auto=format&fit=crop&q=80
6020,Dzukou Point,Nagaland,attraction,25.570963,94.114359,budget,4.1,478,"Dzukou Point is a renowned nature landmark situated in Kohima, Kohima district of Nagaland. The destination attracts visitors seeking authentic regional heritage, architectural grandeur, and picturesque surroundings. It plays an integral role in the cultural landscape and local tourism identity of the region.",Oct-Feb,https://images.unsplash.com/photo-1567157577867-05ccb1388e66?w=800&auto=format&fit=crop&q=80
6021,Dzuleke,Nagaland,attraction,25.621313,93.956734,budget,4.7,8006,"Dzuleke is a renowned recreation landmark situated in Kohima, Kohima district of Nagaland. The destination attracts visitors seeking authentic regional heritage, architectural grandeur, and picturesque surroundings. It plays an integral role in the cultural landscape and local tourism identity of the region.",Oct-Feb,https://images.unsplash.com/photo-1544717305-2782549b5136?w=800&auto=format&fit=crop&q=80
6022,Kapamodzu Peak,Nagaland,attraction,25.532263,94.298297,budget,4.5,5786,"Kapamodzu Peak is a renowned nature landmark situated in Kohima, Kohima district of Nagaland. The destination attracts visitors seeking authentic regional heritage, architectural grandeur, and picturesque surroundings. It plays an integral role in the cultural landscape and local tourism identity of the region.",Oct-Feb,https://images.unsplash.com/photo-1486870591958-9b9d0d1dda99?w=800&auto=format&fit=crop&q=80
6023,Kohima Cathedral Church,Nagaland,attraction,25.652513,94.104578,budget,4.3,1453,"Kohima Cathedral Church is a renowned religious landmark situated in Kohima, Kohima district of Nagaland. The destination attracts visitors seeking authentic regional heritage, architectural grandeur, and picturesque surroundings. It plays an integral role in the cultural landscape and local tourism identity of the region.",Oct-Feb,https://images.unsplash.com/photo-1518709268805-4e9042af9f23?w=800&auto=format&fit=crop&q=80
6024,Kuozhu View Point,Nagaland,attraction,25.651612,94.103359,budget,4.2,2504,"Kuozhu View Point is a renowned nature landmark situated in Kohima, Kohima district of Nagaland. The destination attracts visitors seeking authentic regional heritage, architectural grandeur, and picturesque surroundings. It plays an integral role in the cultural landscape and local tourism identity of the region.",Oct-Feb,https://images.unsplash.com/photo-1544717305-2782549b5136?w=800&auto=format&fit=crop&q=80
6025,Bade Village Agri-Fringe & Bamboo Country Trails,Nagaland,attraction,25.821111,93.762222,budget,4.3,3205,"Situated on the peaceful agrarian fringe of Chümoukedima, Bade Village is an authentic rural settlement characterized by expansive bamboo plantations, traditional community fishing ponds, organic vegetable gardens, and unpaved country trails that weave past traditional Naga farmsteads.",Oct-Feb,https://images.unsplash.com/photo-1582510003544-4d00b7f74220?w=800&auto=format&fit=crop&q=80
6026,Chathe River Recreation & Picnic Retreats,Nagaland,hotel,25.833333,93.75,mid,4.9,20094,"Originating in the forested high ridges of the Barail mountain range and flowing through the foothill gorges of Chümoukedima before joining the Dhansiri River, the Chathe River is celebrated as the premier natural river recreation destination for residents and travelers in southern Dimapur, famous for its wide boulder-strewn pebble beds, clear cool mountain currents, tree-shaded banks, and scenic picnic spots near the Patkai bridge.",Oct-Feb,https://images.unsplash.com/photo-1566073771259-6a8506099945?w=800&auto=format&fit=crop&q=80
6027,Chümoukedima Old Fortified Village & Viewpoint,Nagaland,attraction,25.8,93.766667,mid,4.8,20007,"Perched atop a commanding hill spur overlooking the Patkai foothills and the Dimapur plains, recognized as the historic fortified hill village where the British established the first administrative headquarters of the Naga Hills District in 1877 under Lieutenant Gregory before shifting to Kohima, celebrated for its ancient stone defenses, traditional Angami gates, and an elevated viewpoint offering panoramic vistas across Dimapur and the Chathe River valley.",Oct-Feb,https://images.unsplash.com/photo-1590766940554-634a7ed41450?w=800&auto=format&fit=crop&q=80
6028,Diezephe Craft Village Chümoukedima,Nagaland,attraction,25.833333,93.733333,budget,4.9,24679,"Situated 13 km south of Dimapur in Chümoukedima district, established as a dedicated master craft village under the aegis of the Nagaland Handloom and Handicrafts Development Corporation (NHHDC) and North East Zone Cultural Centre, celebrated as a vibrant living workshop where Tenyimia master artisans hand-craft exquisite wooden sculptures, bamboo cane furniture, traditional Naga warrior spears, and intricate handloom shawls on backstrap loin looms.",Oct-Feb,https://images.unsplash.com/photo-1590050752117-238cb0fb12b1?w=800&auto=format&fit=crop&q=80
