destination_id,name,state,district,latitude,longitude,category,description,activities,best_season,average_budget,recommended_days,family_score,solo_score,couple_score,adventure_score,nature_score,heritage_score,religious_score,nightlife_score,accessibility_score,popularity_score,rating,review_count
1,Archaeological Museum,Andhra Pradesh,Andhra Pradesh,13.582463,79.304766,attraction,"Archaeological Museum is a renowned cultural landmark situated in Tirupati, Tirupati district of Andhra Pradesh. The destination attracts visitors seeking authentic regional heritage, architectural grandeur, and picturesque surroundings. It plays an integral role in the cultural landscape and local tourism identity of the region.",Heritage Exploration & Guided Tours,Oct-Mar,3248.71,5,7.7,6.6,6.5,3.9,4.4,9.5,1.5,2.3,6.8,0.984,4.2,2254
2,Chakra Teertham,Andhra Pradesh,Andhra Pradesh,13.6413,79.4067,attraction,"Chakra Teertham is a renowned nature landmark situated in Tirupati, Tirupati district of Andhra Pradesh. The destination attracts visitors seeking authentic regional heritage, architectural grandeur, and picturesque surroundings. It plays an integral role in the cultural landscape and local tourism identity of the region.","Nature Walks & Photography, Heritage Exploration & Guided Tours",Oct-Feb,828.82,5,7.6,8.3,4.2,4.3,9.0,9.5,1.6,2.1,5.7,0.513,4.0,452
3,Chandragiri Fort,Andhra Pradesh,Andhra Pradesh,13.6324,79.3944,attraction,"Chandragiri Fort is a renowned cultural landmark situated in Tirupati, Tirupati district of Andhra Pradesh. The destination attracts visitors seeking authentic regional heritage, architectural grandeur, and picturesque surroundings. It plays an integral role in the cultural landscape and local tourism identity of the region.",Heritage Exploration & Guided Tours,Oct-Feb,3015.44,3,7.9,6.6,3.8,1.6,3.2,9.5,2.1,2.0,6.4,0.548,3.9,634
4,Divyaramam Park,Andhra Pradesh,Andhra Pradesh,13.651813,79.416266,attraction,"Divyaramam Park is a renowned wildlife landmark situated in Tirupati, Tirupati district of Andhra Pradesh. The destination attracts visitors seeking authentic regional heritage, architectural grandeur, and picturesque surroundings. It plays an integral role in the cultural landscape and local tourism identity of the region.",Heritage Exploration & Guided Tours,Oct-Feb,865.03,3,8.8,6.4,4.2,1.7,2.3,9.5,3.8,0.8,6.7,0.578,4.1,672
5,Geetopadesam Park,Andhra Pradesh,Andhra Pradesh,13.673413,79.350641,attraction,"Geetopadesam Park is a renowned recreation landmark situated in Tirupati, Tirupati district of Andhra Pradesh. The destination attracts visitors seeking authentic regional heritage, architectural grandeur, and picturesque surroundings. It plays an integral role in the cultural landscape and local tourism identity of the region.",Heritage Exploration & Guided Tours,Oct-Feb,1416.21,1,8.3,6.5,4.2,3.0,2.1,9.5,3.7,2.1,6.2,1.0,4.9,7057
6,GMR Eco Park,Andhra Pradesh,Andhra Pradesh,13.61255,79.40545,attraction,"GMR Eco Park is a renowned recreation landmark situated in Tirupati, Tirupati district of Andhra Pradesh. The destination attracts visitors seeking authentic regional heritage, architectural grandeur, and picturesque surroundings. It plays an integral role in the cultural landscape and local tourism identity of the region.",Heritage Exploration & Guided Tours,Oct-Feb,1058.8,5,8.5,8.4,3.4,4.1,5.8,9.5,3.7,1.1,4.2,1.0,4.5,2227
7,Gogarbham Dam Park,Andhra Pradesh,Andhra Pradesh,13.689837,79.352797,attraction,"Gogarbham Dam Park is a renowned recreation landmark situated in Tirupati, Tirupati district of Andhra Pradesh. The destination attracts visitors seeking authentic regional heritage, architectural grandeur, and picturesque surroundings. It plays an integral role in the cultural landscape and local tourism identity of the region.",Heritage Exploration & Guided Tours,Oct-Feb,1255.46,2,7.9,7.0,3.6,2.1,5.3,9.5,2.1,2.9,4.3,1.0,4.2,2490
8,Govindaraja Swamy Temple Museum,Andhra Pradesh,Andhra Pradesh,13.630287,79.417703,attraction,"Govindaraja Swamy Temple Museum is a renowned religious landmark situated in Tirupati, Tirupati district of Andhra Pradesh. The destination attracts visitors seeking authentic regional heritage, architectural grandeur, and picturesque surroundings. It plays an integral role in the cultural landscape and local tourism identity of the region.","Heritage Exploration & Guided Tours, Temple Visit & Spiritual Darshan",Oct-Mar,4963.28,3,8.7,6.2,5.9,1.8,2.0,9.5,9.5,2.8,4.3,0.963,4.3,2131
9,Hanuman Temple,Andhra Pradesh,Andhra Pradesh,13.678013,79.350578,attraction,"Hanuman Temple is a renowned religious landmark situated in Tirupati, Tirupati district of Andhra Pradesh. The destination attracts visitors seeking authentic regional heritage, architectural grandeur, and picturesque surroundings. It plays an integral role in the cultural landscape and local tourism identity of the region.","Heritage Exploration & Guided Tours, Temple Visit & Spiritual Darshan",Oct-Mar,1301.85,1,8.2,6.8,4.2,4.5,4.5,9.5,9.5,1.5,6.9,1.0,4.6,9028
10,Japali Anjaneya Swami devalayam,Andhra Pradesh,Andhra Pradesh,13.64915,79.41165,attraction,"Japali Anjaneya Swami devalayam is a renowned religious landmark situated in Tirupati, Tirupati district of Andhra Pradesh. The destination attracts visitors seeking authentic regional heritage, architectural grandeur, and picturesque surroundings. It plays an integral role in the cultural landscape and local tourism identity of the region.",Heritage Exploration & Guided Tours,Oct-Feb,1692.58,4,8.8,6.5,6.1,2.9,2.5,9.5,3.1,2.0,6.1,1.0,4.5,4619
11,Jungle Book & Park,Andhra Pradesh,Andhra Pradesh,13.6109,79.4439,attraction,"Jungle Book & Park is a renowned recreation landmark situated in Tirupati, Tirupati district of Andhra Pradesh. The destination attracts visitors seeking authentic regional heritage, architectural grandeur, and picturesque surroundings. It plays an integral role in the cultural landscape and local tourism identity of the region.",Heritage Exploration & Guided Tours,Oct-Feb,1398.56,1,7.8,5.8,6.6,1.4,2.1,9.5,2.9,1.2,5.6,0.63,4.1,881
12,Kumaradhara Theertham,Andhra Pradesh,Andhra Pradesh,13.728562,79.327734,attraction,"Kumaradhara Theertham is a renowned religious landmark situated in Tirupati, Tirupati district of Andhra Pradesh. The destination attracts visitors seeking authentic regional heritage, architectural grandeur, and picturesque surroundings. It plays an integral role in the cultural landscape and local tourism identity of the region.",Heritage Exploration & Guided Tours,Oct-Feb,1857.77,1,9.0,6.6,5.5,1.3,3.2,9.5,1.5,3.1,7.2,0.923,4.5,1893
13,Lepakshi Circle,Andhra Pradesh,Andhra Pradesh,13.63345,79.40175,attraction,"Lepakshi Circle is a renowned cultural landmark situated in Tirupati, Tirupati district of Andhra Pradesh. The destination attracts visitors seeking authentic regional heritage, architectural grandeur, and picturesque surroundings. It plays an integral role in the cultural landscape and local tourism identity of the region.",Heritage Exploration & Guided Tours,Oct-Feb,1061.2,4,8.1,6.7,3.9,3.2,5.2,9.5,3.7,1.8,7.3,1.0,4.4,3173
14,Narayanagiri Gardens,Andhra Pradesh,Andhra Pradesh,13.681413,79.342953,attraction,"Narayanagiri Gardens is a renowned recreation landmark situated in Tirupati, Tirupati district of Andhra Pradesh. The destination attracts visitors seeking authentic regional heritage, architectural grandeur, and picturesque surroundings. It plays an integral role in the cultural landscape and local tourism identity of the region.",Heritage Exploration & Guided Tours,Oct-Feb,2005.02,1,7.8,6.5,6.8,3.0,3.7,9.5,1.7,1.5,6.1,1.0,4.5,5505
15,P3,Andhra Pradesh,Andhra Pradesh,13.678038,79.353484,attraction,"P3 is a renowned recreation landmark situated in Tirupati, Tirupati district of Andhra Pradesh. The destination attracts visitors seeking authentic regional heritage, architectural grandeur, and picturesque surroundings. It plays an integral role in the cultural landscape and local tourism identity of the region.",Heritage Exploration & Guided Tours,Oct-Feb,1784.23,2,8.2,7.7,4.1,4.9,5.8,9.5,1.8,0.6,6.4,1.0,4.2,3050
