id,name,state,category,latitude,longitude,price_range,rating,review_count,description,best_season,image_url
6998,Akal Takht Sahib,Punjab,attraction,31.6495,74.8808,budget,4.2,3255,"Akal Takht Sahib is a renowned religious landmark situated in Amritsar, Amritsar district of Punjab. The destination attracts visitors seeking authentic regional heritage, architectural grandeur, and picturesque surroundings. It plays an integral role in the cultural landscape and local tourism identity of the region.",Oct-Feb,https://upload.wikimedia.org/wikipedia/commons/1/15/AkalTakhtGoldenTempleComplex.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail_unscaled
6999,Central Sikh Museum,Punjab,attraction,31.6464,74.8591,mid,4.0,441,"Central Sikh Museum is a renowned heritage landmark situated in Amritsar, Amritsar district of Punjab. The destination attracts visitors seeking authentic regional heritage, architectural grandeur, and picturesque surroundings. It plays an integral role in the cultural landscape and local tourism identity of the region.",Oct-Mar,https://thumb.wikimedia.org/wikipedia/commons/thumb/0/01/Amritsar_9125.jpg/960px-Amritsar_9125.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
7000,Chatiwind canal,Punjab,attraction,31.595337,74.883578,budget,4.1,256,"Chatiwind canal is a renowned recreation landmark situated in Amritsar, Amritsar district of Punjab. The destination attracts visitors seeking authentic regional heritage, architectural grandeur, and picturesque surroundings. It plays an integral role in the cultural landscape and local tourism identity of the region.",Oct-Feb,https://thumb.wikimedia.org/wikipedia/commons/thumb/e/e6/Sarai_Amanat_Khan_Lahore_Gate.jpg/960px-Sarai_Amanat_Khan_Lahore_Gate.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
7001,Gobindgarh Fort,Punjab,attraction,31.64935,74.87975,mid,4.0,265,"Gobindgarh Fort is a renowned heritage landmark situated in Amritsar, Amritsar district of Punjab. The destination attracts visitors seeking authentic regional heritage, architectural grandeur, and picturesque surroundings. It plays an integral role in the cultural landscape and local tourism identity of the region.",Oct-Feb,https://thumb.wikimedia.org/wikipedia/commons/thumb/3/37/Gobindgarh_fort%2C_Amritsar%2C_Punjab%2C_India.jpg/960px-Gobindgarh_fort%2C_Amritsar%2C_Punjab%2C_India.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
7002,Gurudwara Chheharta Sahib,Punjab,attraction,31.62875,74.88555,budget,4.8,6299,"Gurudwara Chheharta Sahib is a renowned religious landmark situated in Amritsar, Amritsar district of Punjab. The destination attracts visitors seeking authentic regional heritage, architectural grandeur, and picturesque surroundings. It plays an integral role in the cultural landscape and local tourism identity of the region.",Oct-Feb,https://thumb.wikimedia.org/wikipedia/commons/thumb/c/c9/Gurudwara_Goindwal_Sahib.jpg/960px-Gurudwara_Goindwal_Sahib.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
7003,Iskcon Temple,Punjab,attraction,31.6176,74.8575,budget,4.0,929,"Iskcon Temple is a renowned religious landmark situated in Amritsar, Amritsar district of Punjab. The destination attracts visitors seeking authentic regional heritage, architectural grandeur, and picturesque surroundings. It plays an integral role in the cultural landscape and local tourism identity of the region.",Oct-Mar,https://thumb.wikimedia.org/wikipedia/commons/thumb/7/7f/Mukteshwar_Mahadev_Mandir.jpg/960px-Mukteshwar_Mahadev_Mandir.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
7004,Jalianwala Bag Centenary Memorial,Punjab,attraction,31.6165,74.8498,budget,4.7,2016,"Jalianwala Bag Centenary Memorial is a renowned recreation landmark situated in Amritsar, Amritsar district of Punjab. The destination attracts visitors seeking authentic regional heritage, architectural grandeur, and picturesque surroundings. It plays an integral role in the cultural landscape and local tourism identity of the region.",Oct-Feb,https://thumb.wikimedia.org/wikipedia/commons/thumb/e/e0/National_Martyrs_Memorial_Hussainiwala_closeup.jpg/960px-National_Martyrs_Memorial_Hussainiwala_closeup.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
7005,Jallianwala Bagh Museum,Punjab,attraction,31.65655,74.88015,mid,4.3,3312,"Jallianwala Bagh Museum is a renowned cultural landmark situated in Amritsar, Amritsar district of Punjab. The destination attracts visitors seeking authentic regional heritage, architectural grandeur, and picturesque surroundings. It plays an integral role in the cultural landscape and local tourism identity of the region.",Oct-Mar,https://thumb.wikimedia.org/wikipedia/commons/thumb/3/36/Jallianwala_Bagh%2C_Amritsar%2C_India.jpg/960px-Jallianwala_Bagh%2C_Amritsar%2C_India.jpg
7006,Maharaja Ranjit Singh Garden,Punjab,attraction,31.638438,74.878484,budget,4.5,3385,"Maharaja Ranjit Singh Garden is a renowned recreation landmark situated in Amritsar, Amritsar district of Punjab. The destination attracts visitors seeking authentic regional heritage, architectural grandeur, and picturesque surroundings. It plays an integral role in the cultural landscape and local tourism identity of the region.",Oct-Feb,https://upload.wikimedia.org/wikipedia/commons/c/cf/Eco_Park_Patna.jpg
7007,Mata Lal Devi Mandir,Punjab,attraction,31.62965,74.89185,budget,4.3,2129,"Mata Lal Devi Mandir is a renowned religious landmark situated in Amritsar, Amritsar district of Punjab. The destination attracts visitors seeking authentic regional heritage, architectural grandeur, and picturesque surroundings. It plays an integral role in the cultural landscape and local tourism identity of the region.",Oct-Feb,https://thumb.wikimedia.org/wikipedia/commons/thumb/a/a5/Devi_Talab_Mandir%2C_Jalandhar%2C_Punjab%2C_19_September_2017_%28cropped%29.jpg/960px-Devi_Talab_Mandir%2C_Jalandhar%2C_Punjab%2C_19_September_2017_%28cropped%29.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
7008,"Saragarhi Memorial Gurudwara - Amritsar, Punjab, India",Punjab,attraction,31.624263,74.878891,budget,4.1,958,"Saragarhi Memorial Gurudwara - Amritsar, Punjab, India is a renowned religious landmark situated in Amritsar, Amritsar district of Punjab. The destination attracts visitors seeking authentic regional heritage, architectural grandeur, and picturesque surroundings. It plays an integral role in the cultural landscape and local tourism identity of the region.",Oct-Feb,https://upload.wikimedia.org/wikipedia/commons/1/15/AkalTakhtGoldenTempleComplex.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail_unscaled
