place_name,state_ut,district,city_or_town,nearest_major_city,category
Anandbag Botanical Garden,Bihar,Darbhanga,Darbhanga,Patna,Recreation
Chandradhari Museum,Bihar,Darbhanga,Darbhanga,Patna,Cultural
Darbhanga Fort,Bihar,Darbhanga,Darbhanga,Patna,Heritage
Kali Mandir,Bihar,Darbhanga,Darbhanga,Patna,Religious
Maharaja Madhav Singh Park,Bihar,Darbhanga,Darbhanga,Patna,Recreation
Manokamna Mandir,Bihar,Darbhanga,Darbhanga,Patna,Religious
Rambag Palace,Bihar,Darbhanga,Darbhanga,Patna,Cultural
Shyama Maa Kali Temple,Bihar,Darbhanga,Darbhanga,Patna,Religious
Shyama Mai Temple,Bihar,Darbhanga,Darbhanga,Patna,Religious
Archaeological Museum Bodhgaya,Bihar,Gaya,Bodh Gaya,Gaya,Heritage
Bodhgaya Bodhi Tree,Bihar,Gaya,Bodh Gaya,Gaya,Religious
Daijokyo Buddhist Temple,Bihar,Gaya,Bodh Gaya,Gaya,Religious
Gayajipurohit,Bihar,Gaya,Bodh Gaya,Gaya,Religious
Indosan Nipponji,Bihar,Gaya,Bodh Gaya,Gaya,Religious
Karma Temple,Bihar,Gaya,Bodh Gaya,Gaya,Religious
Mahabodhi Temple,Bihar,Gaya,Bodh Gaya,Gaya,Religious
Palyul Namdroling Temple,Bihar,Gaya,Bodh Gaya,Gaya,Religious
Tergar Monastery,Bihar,Gaya,Bodh Gaya,Gaya,Religious
The Great Buddha Statue,Bihar,Gaya,Bodh Gaya,Gaya,Religious
The Royal Bhutanese Monastery,Bihar,Gaya,Bodh Gaya,Gaya,Religious
Tibetan Temple gaden phelgayling namgyal datsang,Bihar,Gaya,Bodh Gaya,Gaya,Religious
Wat Thai Magadh,Bihar,Gaya,Bodh Gaya,Gaya,Religious
Watthai Buddhagaya Temple,Bihar,Gaya,Bodh Gaya,Gaya,Religious
BARGANDI GARDEN (HIDDEN GARDEN),Bihar,Katihar,Katihar,Purnia,Recreation
