id,name,state,category,latitude,longitude,price_range,rating,review_count,description,best_season,image_url
7593,Do Drul Chorten,Sikkim,attraction,27.312838,88.604828,budget,4.7,3138,"Do Drul Chorten is a renowned religious landmark situated in Gangtok, East Sikkim district of Sikkim. The destination attracts visitors seeking authentic regional heritage, architectural grandeur, and picturesque surroundings. It plays an integral role in the cultural landscape and local tourism identity of the region.",Apr-Jun,https://thumb.wikimedia.org/wikipedia/commons/thumb/b/b4/Tsongmo_Lake_or_Changu_Lake_-_East_Sikkim.jpg/960px-Tsongmo_Lake_or_Changu_Lake_-_East_Sikkim.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
7594,Enchey Monastery,Sikkim,attraction,27.335938,88.619172,budget,4.6,6132,"Enchey Monastery is a renowned religious landmark situated in Gangtok, East Sikkim district of Sikkim. The destination attracts visitors seeking authentic regional heritage, architectural grandeur, and picturesque surroundings. It plays an integral role in the cultural landscape and local tourism identity of the region.",Apr-Jun,https://thumb.wikimedia.org/wikipedia/commons/thumb/e/ed/Enchey_Monastery_in_Gangtok_district%2C_East_Sikkim.jpg/960px-Enchey_Monastery_in_Gangtok_district%2C_East_Sikkim.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
7595,Ganesh Tok,Sikkim,attraction,27.341462,88.621297,budget,4.7,4402,"Ganesh Tok is a renowned religious landmark situated in Gangtok, East Sikkim district of Sikkim. The destination attracts visitors seeking authentic regional heritage, architectural grandeur, and picturesque surroundings. It plays an integral role in the cultural landscape and local tourism identity of the region.",Apr-Jun,https://thumb.wikimedia.org/wikipedia/commons/thumb/4/47/Mani_stone_slabs_outside_Tashiding_Monastery.jpg/960px-Mani_stone_slabs_outside_Tashiding_Monastery.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
7596,Gonjang Monastery,Sikkim,attraction,27.370587,88.616109,budget,4.2,3265,"Gonjang Monastery is a renowned religious landmark situated in Gangtok, East Sikkim district of Sikkim. The destination attracts visitors seeking authentic regional heritage, architectural grandeur, and picturesque surroundings. It plays an integral role in the cultural landscape and local tourism identity of the region.",Apr-Jun,https://thumb.wikimedia.org/wikipedia/commons/thumb/d/d4/Full_view_of_Sanga-Choeling_Monastery.jpg/960px-Full_view_of_Sanga-Choeling_Monastery.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
7597,Hanuman Tok,Sikkim,attraction,27.347838,88.628703,budget,4.3,2284,"Hanuman Tok is a renowned religious landmark situated in Gangtok, East Sikkim district of Sikkim. The destination attracts visitors seeking authentic regional heritage, architectural grandeur, and picturesque surroundings. It plays an integral role in the cultural landscape and local tourism identity of the region.",Apr-Jun,https://thumb.wikimedia.org/wikipedia/commons/thumb/b/b4/Hanuman_Tok_Temple_Complex_in_Gangtok_District%2C_East_Sikkim_05.jpg/960px-Hanuman_Tok_Temple_Complex_in_Gangtok_District%2C_East_Sikkim_05.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
7598,Kanchendzonga national park,Sikkim,attraction,27.342012,88.621328,budget,4.3,2891,"Kanchendzonga national park is a renowned recreation landmark situated in Gangtok, East Sikkim district of Sikkim. The destination attracts visitors seeking authentic regional heritage, architectural grandeur, and picturesque surroundings. It plays an integral role in the cultural landscape and local tourism identity of the region.",Apr-Jun,https://thumb.wikimedia.org/wikipedia/commons/thumb/e/e4/Yuksom_Village.jpg/960px-Yuksom_Village.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
7599,Namgyal Institute of Tibetology,Sikkim,attraction,27.315938,88.604797,budget,4.6,7960,"Namgyal Institute of Tibetology is a renowned cultural landmark situated in Gangtok, East Sikkim district of Sikkim. The destination attracts visitors seeking authentic regional heritage, architectural grandeur, and picturesque surroundings. It plays an integral role in the cultural landscape and local tourism identity of the region.",Apr-Jun,https://thumb.wikimedia.org/wikipedia/commons/thumb/0/0e/Namgyal_Institute_of_Tibetology_Front_Panorama.jpg/960px-Namgyal_Institute_of_Tibetology_Front_Panorama.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
7600,Thakurbari Temple,Sikkim,attraction,27.330112,88.613203,budget,4.7,7124,"Thakurbari Temple is a renowned religious landmark situated in Gangtok, East Sikkim district of Sikkim. The destination attracts visitors seeking authentic regional heritage, architectural grandeur, and picturesque surroundings. It plays an integral role in the cultural landscape and local tourism identity of the region.",Apr-Jun,https://thumb.wikimedia.org/wikipedia/commons/thumb/3/3f/Phensong_Monastery.jpg/960px-Phensong_Monastery.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
7601,Baba Harbhajan Singh Memorial Temple,Sikkim,attraction,27.366667,88.816667,budget,4.5,24817,"Perched at 13,123 feet (4,000 m) on the Indo-China border road between Nathu La and Jelep La passes, a unique military shrine dedicated to Sepoy Harbhajan Singh of the 23rd Punjab Regiment (1968 Indo-China clashes), revered by both Indian and Chinese soldiers as a guardian spirit who warns troops of impending danger.",Apr-Jun,https://thumb.wikimedia.org/wikipedia/commons/thumb/f/fb/Cherry_Resort_inside_Temi_Tea_Garden%2C_Namchi%2C_Sikkim.jpg/960px-Cherry_Resort_inside_Temi_Tea_Garden%2C_Namchi%2C_Sikkim.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
7602,Nathula Pass,Sikkim,attraction,27.386389,88.831944,budget,4.7,8811,"Perched at an altitude of 14,140 feet (4,310 m) on the Himalayas connecting Sikkim with China's Tibet Autonomous Region, a legendary mountain pass that formed an offshoot of the historic Old Silk Road.",Apr-Jun,https://thumb.wikimedia.org/wikipedia/commons/thumb/6/64/Location_of_Nathula.svg/960px-Location_of_Nathula.svg.png?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
