id,name,state,category,latitude,longitude,price_range,rating,review_count,description,best_season,image_url
4038,Chhatrapati Sambhaji Park,Maharashtra,attraction,19.77395,74.47705,budget,4.3,983,"Chhatrapati Sambhaji Park is a renowned recreation landmark situated in Shirdi, Ahmednagar district of Maharashtra. The destination attracts visitors seeking authentic regional heritage, architectural grandeur, and picturesque surroundings. It plays an integral role in the cultural landscape and local tourism identity of the region.",Oct-Feb,https://images.unsplash.com/photo-1519331379826-f10be5486c6f?w=800&auto=format&fit=crop&q=80
4039,Dixit Wada Museum,Maharashtra,attraction,19.766388,74.476703,mid,3.9,610,"Dixit Wada Museum is a renowned cultural landmark situated in Shirdi, Ahmednagar district of Maharashtra. The destination attracts visitors seeking authentic regional heritage, architectural grandeur, and picturesque surroundings. It plays an integral role in the cultural landscape and local tourism identity of the region.",Oct-Mar,https://images.unsplash.com/photo-1565034946487-077786996e27?w=800&auto=format&fit=crop&q=80
4040,Dwarkamai Shirdi,Maharashtra,attraction,19.766054,74.477415,budget,4.6,2095,"Dwarkamai Shirdi is a renowned religious destination located in Shirdi, Ahmednagar district of Maharashtra. The attraction draws domestic and regional travelers for its distinctive character, pleasant ambiance, and cultural significance. It serves as a cherished public landmark within the local community and tourist itineraries.",Oct-Feb,https://images.unsplash.com/photo-1544717305-2782549b5136?w=800&auto=format&fit=crop&q=80
4041,I Love Sai,Maharashtra,attraction,19.767147,74.476837,budget,4.5,7146,"I Love Sai is a renowned cultural destination located in Shirdi, Ahmednagar district of Maharashtra. The attraction draws domestic and regional travelers for its distinctive character, pleasant ambiance, and cultural significance. It serves as a cherished public landmark within the local community and tourist itineraries.",Oct-Feb,https://images.unsplash.com/photo-1518709268805-4e9042af9f23?w=800&auto=format&fit=crop&q=80
4042,I LOVE SHIRDI,Maharashtra,attraction,19.766331,74.47536,budget,4.3,2643,"I LOVE SHIRDI is a renowned cultural destination located in Shirdi, Ahmednagar district of Maharashtra. The attraction draws domestic and regional travelers for its distinctive character, pleasant ambiance, and cultural significance. It serves as a cherished public landmark within the local community and tourist itineraries.",Oct-Feb,https://images.unsplash.com/photo-1621847468516-1ed5d0df56fe?w=800&auto=format&fit=crop&q=80
4043,Lendi Garden / Baug,Maharashtra,attraction,19.766112,74.475891,budget,4.1,164,"Lendi Garden / Baug is a renowned recreation landmark situated in Shirdi, Ahmednagar district of Maharashtra. The destination attracts visitors seeking authentic regional heritage, architectural grandeur, and picturesque surroundings. It plays an integral role in the cultural landscape and local tourism identity of the region.",Oct-Feb,https://images.unsplash.com/photo-1584467735815-f778f274e296?w=800&auto=format&fit=crop&q=80
4044,Old Shirdi (Baba's Heritage Village) shirdi,Maharashtra,attraction,19.74824,74.478697,budget,4.0,204,"Old Shirdi (Baba's Heritage Village) shirdi is a renowned cultural destination located in Shirdi, Ahmednagar district of Maharashtra. The attraction draws domestic and regional travelers for its distinctive character, pleasant ambiance, and cultural significance. It serves as a cherished public landmark within the local community and tourist itineraries.",Oct-Feb,https://images.unsplash.com/photo-1544717305-2782549b5136?w=800&auto=format&fit=crop&q=80
4045,"Prasadalaya Shirdi , Saibaba Mandir",Maharashtra,attraction,19.75635,74.45385,budget,4.7,8765,"Prasadalaya Shirdi , Saibaba Mandir is a renowned religious landmark situated in Shirdi, Ahmednagar district of Maharashtra. The destination attracts visitors seeking authentic regional heritage, architectural grandeur, and picturesque surroundings. It plays an integral role in the cultural landscape and local tourism identity of the region.",Oct-Feb,https://images.unsplash.com/photo-1518709268805-4e9042af9f23?w=800&auto=format&fit=crop&q=80
4046,"Sai Baba's Art Gallery , Hemant art (Sai Art Online)",Maharashtra,attraction,19.766767,74.477656,budget,4.6,3885,"Sai Baba's Art Gallery , Hemant art (Sai Art Online) is a renowned cultural destination located in Shirdi, Ahmednagar district of Maharashtra. The attraction draws domestic and regional travelers for its distinctive character, pleasant ambiance, and cultural significance. It serves as a cherished public landmark within the local community and tourist itineraries.",Oct-Feb,https://images.unsplash.com/photo-1582555172866-f73bb12a2ab3?w=800&auto=format&fit=crop&q=80
4047,Sai Heritage Village,Maharashtra,attraction,19.76415,74.45845,budget,4.2,2199,"Sai Heritage Village is a renowned heritage landmark situated in Shirdi, Ahmednagar district of Maharashtra. The destination attracts visitors seeking authentic regional heritage, architectural grandeur, and picturesque surroundings. It plays an integral role in the cultural landscape and local tourism identity of the region.",Oct-Feb,https://images.unsplash.com/photo-1590050752117-238cb0fb12b1?w=800&auto=format&fit=crop&q=80
4048,Sai Shraddha Tourism,Maharashtra,attraction,19.767002,74.47832,budget,4.3,1219,"Sai Shraddha Tourism is a renowned cultural destination located in Shirdi, Ahmednagar district of Maharashtra. The attraction draws domestic and regional travelers for its distinctive character, pleasant ambiance, and cultural significance. It serves as a cherished public landmark within the local community and tourist itineraries.",Oct-Feb,https://images.unsplash.com/photo-1582510003544-4d00b7f74220?w=800&auto=format&fit=crop&q=80
4049,Sai Teerth Devotional Theme Park,Maharashtra,attraction,19.774161,74.47692,mid,4.7,9174,"Sai Teerth Devotional Theme Park is a renowned recreation destination located in Shirdi, Ahmednagar district of Maharashtra. The attraction draws domestic and regional travelers for its distinctive character, pleasant ambiance, and cultural significance. It serves as a cherished public landmark within the local community and tourist itineraries.",Oct-Feb,https://images.unsplash.com/photo-1584467735815-f778f274e296?w=800&auto=format&fit=crop&q=80
4050,Satsang Place,Maharashtra,attraction,19.76662,74.47752,budget,3.9,636,"Satsang Place is a renowned religious destination located in Shirdi, Ahmednagar district of Maharashtra. The attraction draws domestic and regional travelers for its distinctive character, pleasant ambiance, and cultural significance. It serves as a cherished public landmark within the local community and tourist itineraries.",Oct-Feb,https://images.unsplash.com/photo-1582510003544-4d00b7f74220?w=800&auto=format&fit=crop&q=80
4051,shirddii relve stteshn,Maharashtra,attraction,19.78092,74.479747,budget,3.9,289,"shirddii relve stteshn is a renowned cultural destination located in Shirdi, Ahmednagar district of Maharashtra. The attraction draws domestic and regional travelers for its distinctive character, pleasant ambiance, and cultural significance. It serves as a cherished public landmark within the local community and tourist itineraries.",Oct-Feb,https://images.unsplash.com/photo-1544717305-2782549b5136?w=800&auto=format&fit=crop&q=80
4052,Shree Saibaba Chavadi,Maharashtra,attraction,19.7455,74.4779,budget,4.7,4112,"Shree Saibaba Chavadi is a renowned religious landmark situated in Shirdi, Ahmednagar district of Maharashtra. The destination attracts visitors seeking authentic regional heritage, architectural grandeur, and picturesque surroundings. It plays an integral role in the cultural landscape and local tourism identity of the region.",Oct-Feb,https://images.unsplash.com/photo-1544717305-2782549b5136?w=800&auto=format&fit=crop&q=80
