id,name,state,category,latitude,longitude,price_range,rating,review_count,description,best_season,image_url
1,Archaeological Museum,Andhra Pradesh,attraction,13.582463,79.304766,mid,4.2,2254,"Archaeological Museum is a renowned cultural landmark situated in Tirupati, Tirupati district of Andhra Pradesh. The destination attracts visitors seeking authentic regional heritage, architectural grandeur, and picturesque surroundings. It plays an integral role in the cultural landscape and local tourism identity of the region.",Oct-Mar,https://thumb.wikimedia.org/wikipedia/commons/thumb/9/98/TU-142_Aircraft_Model.jpg/960px-TU-142_Aircraft_Model.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
2,Chakra Teertham,Andhra Pradesh,attraction,13.6413,79.4067,budget,4.0,452,"Chakra Teertham is a renowned nature landmark situated in Tirupati, Tirupati district of Andhra Pradesh. The destination attracts visitors seeking authentic regional heritage, architectural grandeur, and picturesque surroundings. It plays an integral role in the cultural landscape and local tourism identity of the region.",Oct-Feb,https://thumb.wikimedia.org/wikipedia/commons/thumb/f/fb/Sunset_at_Godavri.JPG/960px-Sunset_at_Godavri.JPG?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
3,Chandragiri Fort,Andhra Pradesh,attraction,13.6324,79.3944,mid,3.9,634,"Chandragiri Fort is a renowned cultural landmark situated in Tirupati, Tirupati district of Andhra Pradesh. The destination attracts visitors seeking authentic regional heritage, architectural grandeur, and picturesque surroundings. It plays an integral role in the cultural landscape and local tourism identity of the region.",Oct-Feb,https://thumb.wikimedia.org/wikipedia/commons/thumb/4/41/East_facade_Hawa_Mahal_Jaipur_from_ground_level_%28July_2022%29_-_img_01.jpg/960px-East_facade_Hawa_Mahal_Jaipur_from_ground_level_%28July_2022%29_-_img_01.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
4,Divyaramam Park,Andhra Pradesh,attraction,13.651813,79.416266,budget,4.1,672,"Divyaramam Park is a renowned wildlife landmark situated in Tirupati, Tirupati district of Andhra Pradesh. The destination attracts visitors seeking authentic regional heritage, architectural grandeur, and picturesque surroundings. It plays an integral role in the cultural landscape and local tourism identity of the region.",Oct-Feb,https://thumb.wikimedia.org/wikipedia/commons/thumb/c/c2/Lumbini_Park%2C_Hyderabad.jpg/960px-Lumbini_Park%2C_Hyderabad.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
5,Geetopadesam Park,Andhra Pradesh,attraction,13.673413,79.350641,budget,4.9,7057,"Geetopadesam Park is a renowned recreation landmark situated in Tirupati, Tirupati district of Andhra Pradesh. The destination attracts visitors seeking authentic regional heritage, architectural grandeur, and picturesque surroundings. It plays an integral role in the cultural landscape and local tourism identity of the region.",Oct-Feb,https://thumb.wikimedia.org/wikipedia/commons/thumb/c/c2/Lumbini_Park%2C_Hyderabad.jpg/960px-Lumbini_Park%2C_Hyderabad.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
6,GMR Eco Park,Andhra Pradesh,attraction,13.61255,79.40545,budget,4.5,2227,"GMR Eco Park is a renowned recreation landmark situated in Tirupati, Tirupati district of Andhra Pradesh. The destination attracts visitors seeking authentic regional heritage, architectural grandeur, and picturesque surroundings. It plays an integral role in the cultural landscape and local tourism identity of the region.",Oct-Feb,https://thumb.wikimedia.org/wikipedia/commons/thumb/e/ea/Neophron_percnopterus_-Indira_Gandhi_Zoological_Park%2C_Visakhapatnam%2C_India-8.jpg/960px-Neophron_percnopterus_-Indira_Gandhi_Zoological_Park%2C_Visakhapatnam%2C_India-8.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
7,Gogarbham Dam Park,Andhra Pradesh,attraction,13.689837,79.352797,budget,4.2,2490,"Gogarbham Dam Park is a renowned recreation landmark situated in Tirupati, Tirupati district of Andhra Pradesh. The destination attracts visitors seeking authentic regional heritage, architectural grandeur, and picturesque surroundings. It plays an integral role in the cultural landscape and local tourism identity of the region.",Oct-Feb,https://thumb.wikimedia.org/wikipedia/commons/thumb/2/20/A_bridge_over_Kolleru.jpg/960px-A_bridge_over_Kolleru.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
8,Govindaraja Swamy Temple Museum,Andhra Pradesh,attraction,13.630287,79.417703,mid,4.3,2131,"Govindaraja Swamy Temple Museum is a renowned religious landmark situated in Tirupati, Tirupati district of Andhra Pradesh. The destination attracts visitors seeking authentic regional heritage, architectural grandeur, and picturesque surroundings. It plays an integral role in the cultural landscape and local tourism identity of the region.",Oct-Mar,https://thumb.wikimedia.org/wikipedia/commons/thumb/1/19/Sri_Kodanda_Rama_Swamy_Temple%2C_Vontimitta%2C_Kadapa.jpg/960px-Sri_Kodanda_Rama_Swamy_Temple%2C_Vontimitta%2C_Kadapa.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
9,Hanuman Temple,Andhra Pradesh,attraction,13.678013,79.350578,budget,4.6,9028,"Hanuman Temple is a renowned religious landmark situated in Tirupati, Tirupati district of Andhra Pradesh. The destination attracts visitors seeking authentic regional heritage, architectural grandeur, and picturesque surroundings. It plays an integral role in the cultural landscape and local tourism identity of the region.",Oct-Mar,https://thumb.wikimedia.org/wikipedia/commons/thumb/8/8e/Kanipakam_Temple.jpg/960px-Kanipakam_Temple.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
10,Japali Anjaneya Swami devalayam,Andhra Pradesh,attraction,13.64915,79.41165,budget,4.5,4619,"Japali Anjaneya Swami devalayam is a renowned religious landmark situated in Tirupati, Tirupati district of Andhra Pradesh. The destination attracts visitors seeking authentic regional heritage, architectural grandeur, and picturesque surroundings. It plays an integral role in the cultural landscape and local tourism identity of the region.",Oct-Feb,https://thumb.wikimedia.org/wikipedia/commons/thumb/9/90/Hill_on_Top_of_Nallamalla_Hills_which_is_visible_on_the_way_to_Kadalivanam_which_is_more_than_20_Kms_from_Sri_sailam_temple.jpg/960px-Hill_on_Top_of_Nallamalla_Hills_which_is_visible_on_the_way_to_Kadalivanam_which_is_more_than_20_Kms_from_Sri_sailam_temple.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
