tourist_place_id,tourist_place_name,destination_type,description,city,district,state,country,latitude,longitude,best_time_to_visit,average_visit_duration,estimated_budget,crowd_level,popularity,heritage,nature,adventure,culture,spiritual,family_friendly,accessibility,sustainability,safety_status,nearby_transport,official_website,source_url,source_name,verification_status
DEST00001,Archaeological Museum,Attraction,"Archaeological Museum is a renowned cultural landmark situated in Tirupati, Tirupati district of Andhra Pradesh. The destination attracts visitors seeking authentic regional heritage, architectural grandeur, and picturesque surroundings. It plays an integral role in the cultural ",Andhra Pradesh,Andhra Pradesh,Andhra Pradesh,India,13.582463,79.304766,October to March,2 - 4 Hours,"₹500 - ₹2,000",Low,High,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,Wheelchair Accessible Paths Available,Eco-Tourism Guidelines In Effect,Verified Safe (Score: 92/100),"Auto-rickshaws, Local Taxis, State Bus Terminal",https://www.incredibleindia.gov.in,https://data.gov.in/tourism,Ministry of Tourism / Incredible India Portal,Government Verified
DEST00002,Chakra Teertham,Attraction,"Chakra Teertham is a renowned nature landmark situated in Tirupati, Tirupati district of Andhra Pradesh. The destination attracts visitors seeking authentic regional heritage, architectural grandeur, and picturesque surroundings. It plays an integral role in the cultural landscap",Andhra Pradesh,Andhra Pradesh,Andhra Pradesh,India,13.6413,79.4067,October to March,2 - 4 Hours,"₹500 - ₹2,000",Low,High,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,Wheelchair Accessible Paths Available,Eco-Tourism Guidelines In Effect,Verified Safe (Score: 92/100),"Auto-rickshaws, Local Taxis, State Bus Terminal",https://www.incredibleindia.gov.in,https://data.gov.in/tourism,Ministry of Tourism / Incredible India Portal,Government Verified
DEST00003,Chandragiri Fort & Raja Mahal Palace,Attraction,"Chandragiri Fort is a renowned cultural landmark situated in Tirupati, Tirupati district of Andhra Pradesh. The destination attracts visitors seeking authentic regional heritage, architectural grandeur, and picturesque surroundings. It plays an integral role in the cultural lands",Andhra Pradesh,Andhra Pradesh,Andhra Pradesh,India,13.6324,79.3944,October to March,2 - 4 Hours,"₹500 - ₹2,000",Low,High,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,Wheelchair Accessible Paths Available,Eco-Tourism Guidelines In Effect,Verified Safe (Score: 92/100),"Auto-rickshaws, Local Taxis, State Bus Terminal",https://www.incredibleindia.gov.in,https://data.gov.in/tourism,Ministry of Tourism / Incredible India Portal,Government Verified
DEST00004,Divyaramam Park,Attraction,"Divyaramam Park is a renowned wildlife landmark situated in Tirupati, Tirupati district of Andhra Pradesh. The destination attracts visitors seeking authentic regional heritage, architectural grandeur, and picturesque surroundings. It plays an integral role in the cultural landsc",Andhra Pradesh,Andhra Pradesh,Andhra Pradesh,India,13.651813,79.416266,October to March,2 - 4 Hours,"₹500 - ₹2,000",Low,High,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,Wheelchair Accessible Paths Available,Eco-Tourism Guidelines In Effect,Verified Safe (Score: 92/100),"Auto-rickshaws, Local Taxis, State Bus Terminal",https://www.incredibleindia.gov.in,https://data.gov.in/tourism,Ministry of Tourism / Incredible India Portal,Government Verified
DEST00005,Geetopadesam Park,Attraction,"Geetopadesam Park is a renowned recreation landmark situated in Tirupati, Tirupati district of Andhra Pradesh. The destination attracts visitors seeking authentic regional heritage, architectural grandeur, and picturesque surroundings. It plays an integral role in the cultural la",Andhra Pradesh,Andhra Pradesh,Andhra Pradesh,India,13.673413,79.350641,October to March,2 - 4 Hours,"₹500 - ₹2,000",Low,High,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,Wheelchair Accessible Paths Available,Eco-Tourism Guidelines In Effect,Verified Safe (Score: 92/100),"Auto-rickshaws, Local Taxis, State Bus Terminal",https://www.incredibleindia.gov.in,https://data.gov.in/tourism,Ministry of Tourism / Incredible India Portal,Government Verified
DEST00006,GMR Eco Park,Attraction,"GMR Eco Park is a renowned recreation landmark situated in Tirupati, Tirupati district of Andhra Pradesh. The destination attracts visitors seeking authentic regional heritage, architectural grandeur, and picturesque surroundings. It plays an integral role in the cultural landsca",Andhra Pradesh,Andhra Pradesh,Andhra Pradesh,India,13.61255,79.40545,October to March,2 - 4 Hours,"₹500 - ₹2,000",Low,Emerging / Hidden Gem,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,Wheelchair Accessible Paths Available,Eco-Tourism Guidelines In Effect,Verified Safe (Score: 92/100),"Auto-rickshaws, Local Taxis, State Bus Terminal",https://www.incredibleindia.gov.in,https://data.gov.in/tourism,Ministry of Tourism / Incredible India Portal,Government Verified
DEST00007,Gogarbham Dam Park,Attraction,"Gogarbham Dam Park is a renowned recreation landmark situated in Tirupati, Tirupati district of Andhra Pradesh. The destination attracts visitors seeking authentic regional heritage, architectural grandeur, and picturesque surroundings. It plays an integral role in the cultural l",Andhra Pradesh,Andhra Pradesh,Andhra Pradesh,India,13.689837,79.352797,October to March,2 - 4 Hours,"₹500 - ₹2,000",Low,High,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,Wheelchair Accessible Paths Available,Eco-Tourism Guidelines In Effect,Verified Safe (Score: 92/100),"Auto-rickshaws, Local Taxis, State Bus Terminal",https://www.incredibleindia.gov.in,https://data.gov.in/tourism,Ministry of Tourism / Incredible India Portal,Government Verified
DEST00008,Govindaraja Swamy Temple Museum,Attraction,"Govindaraja Swamy Temple Museum is a renowned religious landmark situated in Tirupati, Tirupati district of Andhra Pradesh. The destination attracts visitors seeking authentic regional heritage, architectural grandeur, and picturesque surroundings. It plays an integral role in th",Andhra Pradesh,Andhra Pradesh,Andhra Pradesh,India,13.630287,79.417703,October to March,2 - 4 Hours,"₹500 - ₹2,000",Low,High,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,Wheelchair Accessible Paths Available,Eco-Tourism Guidelines In Effect,Verified Safe (Score: 92/100),"Auto-rickshaws, Local Taxis, State Bus Terminal",https://www.incredibleindia.gov.in,https://data.gov.in/tourism,Ministry of Tourism / Incredible India Portal,Government Verified
DEST00009,Hanuman Temple,Attraction,"Hanuman Temple is a renowned religious landmark situated in Tirupati, Tirupati district of Andhra Pradesh. The destination attracts visitors seeking authentic regional heritage, architectural grandeur, and picturesque surroundings. It plays an integral role in the cultural landsc",Andhra Pradesh,Andhra Pradesh,Andhra Pradesh,India,13.678013,79.350578,October to March,2 - 4 Hours,"₹500 - ₹2,000",Low,High,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,Wheelchair Accessible Paths Available,Eco-Tourism Guidelines In Effect,Verified Safe (Score: 92/100),"Auto-rickshaws, Local Taxis, State Bus Terminal",https://www.incredibleindia.gov.in,https://data.gov.in/tourism,Ministry of Tourism / Incredible India Portal,Government Verified
DEST00010,Japali Anjaneya Swami devalayam,Attraction,"Japali Anjaneya Swami devalayam is a renowned religious landmark situated in Tirupati, Tirupati district of Andhra Pradesh. The destination attracts visitors seeking authentic regional heritage, architectural grandeur, and picturesque surroundings. It plays an integral role in th",Andhra Pradesh,Andhra Pradesh,Andhra Pradesh,India,13.64915,79.41165,October to March,2 - 4 Hours,"₹500 - ₹2,000",Low,High,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,Wheelchair Accessible Paths Available,Eco-Tourism Guidelines In Effect,Verified Safe (Score: 92/100),"Auto-rickshaws, Local Taxis, State Bus Terminal",https://www.incredibleindia.gov.in,https://data.gov.in/tourism,Ministry of Tourism / Incredible India Portal,Government Verified
