city_id,city_name,state_name,natural_potential_score,cultural_potential_score,heritage_potential_score,uniqueness_score,experience_potential_score,overall_potential_score,data_completeness_percentage,score_confidence,natural_attraction_count,cultural_attraction_count,historical_site_count,asi_protected_site_count,unesco_world_heritage_site_count,ramsar_site_count
CT0001,Port Blair,Andaman and Nicobar Islands,76.16,61.08,46.71,96.00,82.57,72.50,100.0,High,5,4,6,0,0,0
CT0002,Adoni,Andhra Pradesh,21.64,42.90,17.75,27.00,46.77,31.21,77.3,Low,NA,NA,NA,0,0,0
CT0003,Amaravati,Andhra Pradesh,33.75,68.51,52.79,96.00,59.70,62.15,100.0,Medium,2,5,7,0,0,0
CT0004,Anantapur,Andhra Pradesh,21.64,64.78,17.75,58.00,54.18,43.27,86.4,Medium,NA,1,NA,0,0,0
CT0005,Chandragiri,Andhra Pradesh,33.75,61.08,49.08,96.00,53.53,58.69,95.5,Medium,2,4,5,0,0,0
CT0006,Chittoor,Andhra Pradesh,21.64,42.90,17.75,27.00,46.77,31.21,77.3,Low,NA,NA,NA,0,0,0
CT0007,Dowlaiswaram,Andhra Pradesh,21.64,42.90,17.75,27.00,46.77,31.21,77.3,Low,NA,NA,NA,0,0,0
CT0008,Eluru,Andhra Pradesh,57.75,42.90,17.75,78.00,65.08,52.30,81.8,Medium,1,NA,NA,0,0,1
CT0009,Guntur,Andhra Pradesh,21.64,64.78,17.75,58.00,54.18,43.27,86.4,Medium,NA,1,NA,0,0,0
CT0010,Kadapa,Andhra Pradesh,21.64,64.78,17.75,58.00,54.18,43.27,86.4,Medium,NA,1,NA,0,0,0
CT0011,Kakinada,Andhra Pradesh,21.64,68.66,17.75,59.00,54.18,44.25,86.4,Medium,NA,2,NA,0,0,0
CT0012,Kurnool,Andhra Pradesh,48.51,56.08,43.16,81.00,54.09,56.57,95.5,Medium,3,4,5,0,0,0
CT0013,Machilipatnam,Andhra Pradesh,21.64,68.66,17.75,59.00,54.18,44.25,86.4,Medium,NA,2,NA,0,0,0
CT0014,Nagarjunakoṇḍa,Andhra Pradesh,53.82,66.34,56.24,93.00,76.11,69.10,100.0,Medium,3,6,12,0,0,0
CT0015,Rajahmundry,Andhra Pradesh,21.64,42.90,17.75,27.00,46.77,31.21,77.3,Low,NA,NA,NA,0,0,0
CT0016,Srikakulam,Andhra Pradesh,21.64,64.78,17.75,58.00,54.18,43.27,86.4,Medium,NA,1,NA,0,0,0
CT0017,Tirupati,Andhra Pradesh,58.72,80.97,43.53,96.00,67.11,69.27,100.0,High,4,8,5,0,0,0
CT0018,Vijayawada,Andhra Pradesh,21.64,68.66,17.75,59.00,54.18,44.25,86.4,Medium,NA,2,NA,0,0,0
CT0019,Visakhapatnam,Andhra Pradesh,59.65,61.76,46.32,81.00,60.82,61.91,95.5,Medium,6,5,6,0,0,0
CT0020,Vizianagaram,Andhra Pradesh,21.64,64.78,17.75,58.00,54.18,43.27,86.4,Medium,NA,1,NA,0,0,0
CT0021,Yemmiganur,Andhra Pradesh,21.64,42.90,17.75,27.00,46.77,31.21,77.3,Low,NA,NA,NA,0,0,0
CT0022,Itanagar,Arunachal Pradesh,23.50,67.66,23.15,93.00,65.14,54.49,86.4,High,NA,2,NA,0,0,0
CT0023,Dhuburi,Assam,22.57,42.90,17.75,27.00,48.73,31.79,77.3,Low,NA,NA,NA,0,0,0
CT0024,Dibrugarh,Assam,63.93,67.66,17.75,78.00,71.54,59.78,90.9,High,1,2,NA,0,0,0
