id,name,state,category,latitude,longitude,price_range,rating,review_count,description,best_season,image_url
7297,Ajmer Fort,Rajasthan,attraction,26.4583,74.6487,mid,4.6,4002,"Ajmer Fort is a renowned cultural landmark situated in Ajmer, Ajmer district of Rajasthan. The destination attracts visitors seeking authentic regional heritage, architectural grandeur, and picturesque surroundings. It plays an integral role in the cultural landscape and local tourism identity of the region.",Oct-Mar,https://images.unsplash.com/photo-1585123388867-3bfe6dd4bdbf?w=800&auto=format&fit=crop&q=80
7298,Gau Ghat,Rajasthan,attraction,26.488613,74.553016,budget,4.5,4719,"Gau Ghat is a renowned religious landmark situated in Pushkar, Ajmer district of Rajasthan. The destination attracts visitors seeking authentic regional heritage, architectural grandeur, and picturesque surroundings. It plays an integral role in the cultural landscape and local tourism identity of the region.",Oct-Mar,https://images.unsplash.com/photo-1571536802807-30451e3955d8?w=800&auto=format&fit=crop&q=80
7299,Government Museum,Rajasthan,attraction,26.460687,74.633109,mid,4.5,1859,"Government Museum is a renowned cultural landmark situated in Ajmer, Ajmer district of Rajasthan. The destination attracts visitors seeking authentic regional heritage, architectural grandeur, and picturesque surroundings. It plays an integral role in the cultural landscape and local tourism identity of the region.",Oct-Mar,https://images.unsplash.com/photo-1565034946487-077786996e27?w=800&auto=format&fit=crop&q=80
7300,"Jagatpita Shri Brahma Mandir, Pushkar",Rajasthan,attraction,26.4838,74.5598,budget,4.6,28753,"Jagatpita Shri Brahma Mandir, Pushkar is a renowned religious landmark situated in Pushkar, Ajmer district of Rajasthan. The destination attracts visitors seeking authentic regional heritage, architectural grandeur, and picturesque surroundings. It plays an integral role in the cultural landscape and local tourism identity of the region.",Oct-Mar,https://images.unsplash.com/photo-1518709268805-4e9042af9f23?w=800&auto=format&fit=crop&q=80
7301,Maharana Pratap Smarak - Ajmer,Rajasthan,attraction,26.43,74.6506,budget,3.9,994,"Maharana Pratap Smarak - Ajmer is a renowned cultural landmark situated in Ajmer, Ajmer district of Rajasthan. The destination attracts visitors seeking authentic regional heritage, architectural grandeur, and picturesque surroundings. It plays an integral role in the cultural landscape and local tourism identity of the region.",Oct-Mar,https://images.unsplash.com/photo-1582510003544-4d00b7f74220?w=800&auto=format&fit=crop&q=80
7302,New Choupati Anasagar Pathway,Rajasthan,attraction,26.488338,74.618641,budget,4.4,1543,"New Choupati Anasagar Pathway is a renowned recreation landmark situated in Ajmer, Ajmer district of Rajasthan. The destination attracts visitors seeking authentic regional heritage, architectural grandeur, and picturesque surroundings. It plays an integral role in the cultural landscape and local tourism identity of the region.",Oct-Mar,https://images.unsplash.com/photo-1544644181-1484b3fdfc62?w=800&auto=format&fit=crop&q=80
7303,Rangji Temple,Rajasthan,attraction,26.490337,74.555359,budget,3.9,916,"Rangji Temple is a renowned religious landmark situated in Ajmer, Ajmer district of Rajasthan. The destination attracts visitors seeking authentic regional heritage, architectural grandeur, and picturesque surroundings. It plays an integral role in the cultural landscape and local tourism identity of the region.",Oct-Mar,https://images.unsplash.com/photo-1621847468516-1ed5d0df56fe?w=800&auto=format&fit=crop&q=80
7304,Savitri Mata Temple,Rajasthan,attraction,26.481088,74.545266,budget,4.8,7222,"Savitri Mata Temple is a renowned religious landmark situated in Pushkar, Ajmer district of Rajasthan. The destination attracts visitors seeking authentic regional heritage, architectural grandeur, and picturesque surroundings. It plays an integral role in the cultural landscape and local tourism identity of the region.",Oct-Mar,https://images.unsplash.com/photo-1621847468516-1ed5d0df56fe?w=800&auto=format&fit=crop&q=80
7305,Shree Ram Baradari,Rajasthan,attraction,26.470163,74.630953,budget,4.3,3184,"Shree Ram Baradari is a renowned heritage landmark situated in Ajmer, Ajmer district of Rajasthan. The destination attracts visitors seeking authentic regional heritage, architectural grandeur, and picturesque surroundings. It plays an integral role in the cultural landscape and local tourism identity of the region.",Oct-Mar,https://images.unsplash.com/photo-1590050752117-238cb0fb12b1?w=800&auto=format&fit=crop&q=80
7306,Soni Ji Ki Nasiya Jain Temple,Rajasthan,attraction,26.47325,74.65335,budget,4.5,9151,"Soni Ji Ki Nasiya Jain Temple is a renowned religious landmark situated in Ajmer, Ajmer district of Rajasthan. The destination attracts visitors seeking authentic regional heritage, architectural grandeur, and picturesque surroundings. It plays an integral role in the cultural landscape and local tourism identity of the region.",Oct-Mar,https://images.unsplash.com/photo-1518709268805-4e9042af9f23?w=800&auto=format&fit=crop&q=80
7307,Sri Panchkund Shiva Temple,Rajasthan,attraction,26.482163,74.573078,budget,4.5,5173,"Sri Panchkund Shiva Temple is a renowned religious landmark situated in Pushkar, Ajmer district of Rajasthan. The destination attracts visitors seeking authentic regional heritage, architectural grandeur, and picturesque surroundings. It plays an integral role in the cultural landscape and local tourism identity of the region.",Oct-Mar,https://images.unsplash.com/photo-1546548970-71785318a17b?w=800&auto=format&fit=crop&q=80
7308,Taragarh Fort - Ajmer,Rajasthan,attraction,26.43065,74.65515,mid,4.2,2377,"Taragarh Fort - Ajmer is a renowned religious landmark situated in Ajmer, Ajmer district of Rajasthan. The destination attracts visitors seeking authentic regional heritage, architectural grandeur, and picturesque surroundings. It plays an integral role in the cultural landscape and local tourism identity of the region.",Oct-Mar,https://images.unsplash.com/photo-1590766940554-634a7ed41450?w=800&auto=format&fit=crop&q=80
