id,place_name,state,matched_wiki_title,image_url,image_source,summary_preview,verified,needs_manual_photo,verification_reason
2368,Solang Valley,Himachal Pradesh,Himachal Pradesh,,placeholder,"Himachal Pradesh (Hindi: Himācal Pradeś, pronounced [ɦɪˈmäːtʃəl pɾəˈd̪eːʃ]; lit. 'Snow-laden Mountain Province') is a st...",False,True,Title mismatch: 'Himachal Pradesh' vs 'Solang Valley'
11045,Dobanki Canopy Walk (Sundarbans),West Bengal,,,placeholder,,False,True,No title matched
2360,Manali Valley Alpine Hub,Himachal Pradesh,Himachal Pradesh,,placeholder,"Himachal Pradesh (Hindi: Himācal Pradeś, pronounced [ɦɪˈmäːtʃəl pɾəˈd̪eːʃ]; lit. 'Snow-laden Mountain Province') is a st...",False,True,Title mismatch: 'Himachal Pradesh' vs 'Manali Valley Alpine Hub'
3622,Echo Point Munnar,Kerala,Devikulam taluk,,placeholder,Devikulam taluk is one of the 5 taluks in Idukki district of the Indian state of Kerala. Devikulam taluk comprises 13 vi...,False,True,Title mismatch: 'Devikulam taluk' vs 'Echo Point Munnar'
3786,Jain Museum Khajuraho,Madhya Pradesh,"Sagar, Madhya Pradesh",,placeholder,"Sagar, formerly Saugor, is a city, municipal corporation and administrative headquarter in Sagar district of the state o...",False,True,"Title mismatch: 'Sagar, Madhya Pradesh' vs 'Jain Museum Khajuraho'"
1,Archaeological Museum,Andhra Pradesh,History of Andhra Pradesh,,placeholder,"The recorded history of Andhra Pradesh, one of the 28 states of 21st-century India, begins in the Vedic period. It is me...",False,True,Title mismatch: 'History of Andhra Pradesh' vs 'Archaeological Museum'
553,Matiabagh Hawa Mahal,Assam,Matiabag Palace,,placeholder,Matiabag Rajbari or Matiabag Palace is located in Gauripur in Dhubri district of Assam. The palace was built by Raja Pra...,False,True,Title mismatch: 'Matiabag Palace' vs 'Matiabagh Hawa Mahal'
1643,"Lal Qila, The Red Fort",Chhattisgarh,List of forts in India,,placeholder,This is a list of forts in India.,False,True,"Title mismatch: 'List of forts in India' vs 'Lal Qila, The Red Fort'"
4630,Hasnabad Dargah Byculla (Taj Mahal of Mumbai),Maharashtra,,,placeholder,,False,True,No title matched
10234,Golden Temple,Uttar Pradesh,Tourism in Uttar Pradesh,,placeholder,"Situated in the northern part of India, bordering the capital of India New Delhi, Uttar Pradesh is a popular tourist des...",False,True,Title mismatch: 'Tourism in Uttar Pradesh' vs 'Golden Temple'
11091,Victoria Memorial Hall Kolkata,West Bengal,"Victoria Memorial, Kolkata",https://upload.wikimedia.org/wikipedia/commons/7/72/Victoria_Memorial_situated_in_Kolkata.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=original,wikipedia,"The Victoria Memorial is a large marble monument in the Maidan in Central Kolkata (Calcutta), having its entrance on the...",True,False,"Token overlap: victoria, memorial, kolkata"
11697,Rang Mahal Red Fort,Delhi,Rang Mahal (Red Fort),https://upload.wikimedia.org/wikipedia/commons/e/e5/Red_Fort_04b.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=original,wikipedia,"The Rang Mahal or Palace of Colour is located in the Red Fort, Old Delhi.
It originally served as a part of the imperial...",True,False,"Token overlap: rang, mahal"
3540,Namdroling Golden Temple Bylakuppe,Karnataka,Bylakuppe,https://upload.wikimedia.org/wikipedia/commons/1/1f/Bylakuppe._Mysore_%285%29.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=original,wikipedia,"Bylakuppe is a region in Karnataka which is home to the Indian town Bylakuppe and several Tibetan settlements, establish...",True,False,Direct name match
11524,Diwan-i-Khas (Hall of Private Audience) Red Fort,Delhi,Diwan-i-Khas (Red Fort),https://upload.wikimedia.org/wikipedia/commons/a/a9/Diwan-i-khas%2C_Red_fort.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=original,wikipedia,"The Diwan-i-Khas (Persian: ديوان خاص), or Hall of Private Audiences, was a chamber in the Red Fort of Old Delhi built in...",True,False,"Token overlap: diwan, khas"
8200,Sri Lakshmi Narayani Golden Temple,Tamil Nadu,Sri Lakshmi Narayani Golden Temple,https://upload.wikimedia.org/wikipedia/commons/4/4c/Sripuram_Temple_Multiple_Views.gif?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=original,wikipedia,Sri Lakshmi Narayani Golden Temple complex inside the Thirupuram spiritual park is nestled at the base of a small range ...,True,False,Direct name match
5487,Gateway of India Mumbai Harbor,Maharashtra,Gateway of India,https://upload.wikimedia.org/wikipedia/commons/3/3a/Mumbai_03-2016_30_Gateway_of_India.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=original,wikipedia,"The Gateway of India is an arch-monument, completed in 1924, on the waterfront of Mumbai, Maharashtra, India. It was ere...",True,False,Direct name match
2874,Mullayanagiri Peak Chikmagalur,Karnataka,Mullayyanagiri,,placeholder,"Mullayyanagiri is the highest peak in Karnataka, India. Mullayyanagiri is located in the Chandra Dhrona Hill Ranges of t...",False,True,Title mismatch: 'Mullayyanagiri' vs 'Mullayanagiri Peak Chikmagalur'
7613,Siddhesvara Dhaam (Char Dham Namchi),Sikkim,,,placeholder,,False,True,No title matched
8795,Seekuparai Viewpoint,Tamil Nadu,,,placeholder,,False,True,No title matched
5011,Jai Vilas Palace Jawhar,Maharashtra,Jawhar,https://upload.wikimedia.org/wikipedia/commons/6/60/Jaivilas_Palace%2C_Jawhar.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=original,wikipedia,Jawhar is a city and municipal council in the Palghar district of the Indian state of Maharashtra. The city is a part of...,True,False,Direct name match
