interest_overlap_score,distance_km,season_match,past_category_affinity,avg_rating,price_tier_match,global_popularity_30d,converted
0.0,175.8,0,0.022,4.9,0,101,0
0.0,363.8,0,0.068,4.6,0,42,0
0.0,1922.1,0,0.07,4.0,0,18,0
0.0,451.4,0,0.084,4.5,1,53,0
0.0,1799.9,0,0.01,4.6,1,50,0
0.0,1146.9,0,0.97,4.3,0,26,0
0.0,1110.8,0,0.039,4.0,0,24,0
0.0,1497.9,0,0.031,4.1,0,31,0
0.0,112.7,0,0.776,4.4,1,17,1
0.0,2040.7,0,0.979,4.2,0,17,1
0.0,2781.8,0,0.06,4.3,1,29,0
0.0,1579.9,0,0.159,4.1,1,21,0
0.5,1665.6,0,0.041,4.3,0,28,0
0.0,2076.1,0,0.058,4.7,0,40,0
0.0,879.3,0,0.83,4.4,1,18,1
0.0,1515.5,0,0.118,4.6,1,84,0
0.25,734.6,0,0.172,4.1,1,25,0
0.5,839.9,0,0.755,4.5,1,26,1
0.0,643.5,0,0.066,4.6,0,116,1
0.0,1044.6,0,0.012,4.2,0,29,1
0.0,1877.9,0,0.049,4.0,0,35,0
0.0,887.0,0,0.313,4.4,0,24,1
0.0,351.6,0,0.034,4.2,1,19,0
0.0,751.4,0,0.101,4.4,0,67,1
0.0,1063.3,0,0.044,4.3,0,27,0
0.333,495.0,0,0.17,4.7,0,36,0
0.25,1672.9,0,0.747,4.9,0,40,0
0.0,830.8,0,0.07,3.9,1,24,0
0.0,2433.9,0,0.891,4.5,1,28,1
0.0,2080.5,0,0.012,4.3,1,25,0
0.0,2033.1,0,0.144,4.3,0,31,0
0.0,567.1,0,0.2,4.1,0,19,0
0.0,1538.1,0,0.188,4.2,0,20,0
0.0,1666.2,0,0.631,4.3,0,26,1
0.0,1013.6,0,0.044,4.4,1,40,0
0.0,869.8,0,0.373,4.6,0,27,0
0.0,446.2,0,0.571,4.2,0,25,0
0.0,797.0,0,0.246,4.5,1,328,1
0.0,1761.1,0,0.759,4.1,0,21,0
0.5,368.6,0,0.006,4.9,0,44,1
0.0,1972.6,0,0.081,4.9,1,115,0
0.333,2438.8,0,0.346,4.4,0,20,0
0.0,1605.5,0,0.019,4.6,0,65,1
0.0,1843.6,0,0.044,4.4,0,79,0
0.0,633.7,0,0.089,4.1,1,19,0
0.0,719.1,0,0.689,4.8,1,36,1
0.0,903.2,0,0.998,4.4,1,25,0
0.0,157.0,0,0.142,4.6,1,36,0
0.0,504.0,0,0.327,4.6,1,43,1
0.0,800.7,0,0.061,4.6,1,43,0
0.25,794.8,0,0.144,4.2,1,28,0
0.0,1474.3,0,0.086,4.1,0,19,0
0.0,1256.4,0,0.326,4.9,1,92,0
0.5,1177.1,0,0.208,4.7,1,27,1
0.0,2365.0,0,0.075,4.8,0,89,0
0.0,711.9,0,0.009,4.6,0,46,1
0.0,2010.8,0,0.042,4.8,0,90,0
0.0,207.5,0,0.426,4.5,0,39,1
0.0,1378.6,0,0.114,4.6,1,98,0
0.333,979.0,0,0.146,4.6,0,24,1
0.0,1619.9,0,0.155,4.9,0,29,0
0.5,1609.7,0,0.166,4.5,1,25,1
0.25,976.2,0,0.211,4.4,0,25,0
0.0,429.9,0,0.213,3.9,0,19,0
0.0,573.0,0,0.062,4.7,1,42,1
0.333,1742.3,0,0.232,3.9,0,23,0
0.25,1621.3,0,0.131,4.8,0,52,0
0.5,1848.6,0,1.0,4.6,0,123,0
0.0,1964.3,0,0.044,4.8,1,57,1
0.0,877.8,0,0.067,4.5,0,57,0
0.0,504.2,0,0.057,4.9,1,123,1
0.0,733.0,0,0.078,4.1,0,19,0
0.0,1549.0,0,0.088,4.8,0,50,0
0.0,1519.2,0,0.135,4.9,1,99,0
0.333,1033.8,0,0.032,4.4,0,33,0
0.0,818.2,0,0.841,4.6,0,213,0
0.0,1771.0,0,0.075,4.5,1,39,0
0.25,1531.6,0,0.048,4.3,0,25,1
0.0,1081.6,0,0.78,4.4,1,56,0
0.0,2160.3,0,0.187,4.9,0,28,0
0.0,497.5,0,0.029,4.7,0,80,0
0.5,1525.4,0,0.059,4.7,1,84,1
0.0,1041.9,0,0.017,4.2,0,27,0
0.0,1896.9,0,0.041,4.6,1,108,0
0.0,1567.3,0,0.051,4.9,0,49,1
0.0,1698.3,0,0.051,4.0,1,27,0
0.0,2350.3,0,0.038,4.9,0,29,0
0.0,1058.5,0,0.008,3.9,1,21,0
0.0,2255.3,0,0.014,4.7,1,53,1
0.0,1035.8,0,0.006,4.2,0,14,0
0.0,485.4,0,0.081,4.2,1,31,1
0.0,1185.9,0,0.025,4.4,0,30,0
0.0,1035.2,0,0.198,4.1,1,15,1
0.0,462.7,0,0.066,4.5,1,59,0
0.0,708.8,0,0.014,4.0,1,23,1
0.0,1261.3,0,0.841,4.9,1,26,1
0.0,1916.6,0,0.595,4.6,1,42,0
0.0,1620.2,0,0.079,4.8,0,39,0
0.0,1686.2,0,0.14,4.9,0,61,1
0.25,592.1,0,0.437,3.9,0,23,0
1.0,1132.6,0,1.0,4.2,0,23,1
0.0,1914.9,0,0.242,4.7,1,96,1
0.0,1394.8,0,0.133,4.9,1,64,0
0.5,844.2,0,0.023,3.9,1,18,1
0.0,1389.5,0,0.077,4.8,0,58,0
0.0,699.0,0,0.213,4.8,1,23,1
0.25,867.9,0,0.052,4.5,1,61,1
0.333,185.4,0,0.038,3.9,0,20,0
0.25,1390.3,0,0.154,4.9,0,81,1
0.0,1807.1,0,0.203,4.4,0,109,0
0.0,1081.6,0,0.052,4.5,0,45,0
0.333,1761.2,0,0.829,4.9,1,49,1
0.0,1743.5,0,0.121,4.5,1,102,1
0.5,791.7,0,0.174,4.8,0,64,0
0.0,974.9,0,0.01,4.1,1,13,0
0.0,1643.5,0,0.039,4.6,0,40,1
0.0,1949.6,0,0.101,3.9,0,17,0
0.0,2059.0,0,0.26,4.9,1,79,1
0.0,691.4,0,0.03,4.7,0,43,0
0.0,1415.0,0,0.122,4.9,0,105,0
0.0,1375.5,0,0.772,4.4,1,25,1
0.0,1412.8,0,0.215,4.5,0,21,0
0.0,1332.9,0,0.064,4.6,0,38,1
0.0,282.6,0,0.091,4.4,0,23,0
0.25,229.3,0,0.002,4.7,0,35,1
0.25,1091.2,0,0.029,4.3,1,17,0
0.0,1483.1,0,0.039,4.2,1,21,0
0.0,614.0,0,0.049,4.8,1,91,0
0.25,497.8,0,0.031,4.4,0,29,0
0.0,1568.7,0,0.129,4.5,0,36,0
0.0,2361.2,0,0.05,4.7,1,40,1
0.0,454.5,0,0.068,4.4,1,23,1
0.0,2128.6,0,0.065,4.9,0,77,0
0.5,874.4,0,0.07,4.2,0,27,1
0.0,171.2,0,0.103,4.6,1,47,1
0.0,1146.8,0,0.011,4.6,0,48,0
0.0,1951.2,0,1.0,4.5,0,30,0
0.0,919.0,0,0.174,4.3,0,23,0
0.0,1435.2,0,0.166,4.7,1,54,1
0.0,293.8,0,0.738,4.9,1,69,1
0.0,1000.4,0,0.103,4.9,1,43,1
0.0,370.5,0,0.019,4.3,0,27,0
1.0,2055.9,0,0.087,3.9,0,24,1
0.0,1433.1,0,0.157,4.9,1,28,0
0.0,864.1,0,0.231,4.4,0,26,0
0.0,840.2,0,0.179,4.6,1,107,0
0.0,2211.9,0,0.007,4.5,1,43,1
0.0,1217.9,0,0.162,4.9,1,106,1
0.0,2010.1,0,0.089,4.7,0,23,0
0.5,1021.0,0,0.02,4.2,1,32,0
0.333,888.7,0,0.018,4.4,1,27,1
0.0,861.4,0,0.203,4.4,1,19,1
0.0,1081.9,0,0.835,4.5,1,36,1
0.0,806.8,0,0.754,4.7,0,35,0
0.25,1108.3,0,0.061,4.2,0,20,0
0.0,1065.7,0,0.171,4.9,1,71,1
0.0,514.2,0,0.892,4.8,1,113,1
0.0,1251.7,0,0.393,4.6,1,40,0
0.0,835.5,0,0.009,4.9,0,92,1
0.25,1831.2,0,0.024,4.9,1,85,0
0.0,55.7,0,0.024,4.3,1,33,1
0.0,100.8,0,0.008,3.9,1,24,1
0.0,2212.5,0,0.055,4.1,0,19,0
0.333,1820.8,0,0.055,4.9,0,19,1
0.0,643.4,0,1.0,4.7,1,32,0
0.0,1455.2,0,0.965,3.9,1,17,1
0.0,1678.0,0,0.021,4.0,1,29,0
0.0,1857.4,0,0.468,4.4,1,69,1
0.25,1717.0,0,0.006,4.3,1,18,0
0.0,1396.9,0,0.398,3.9,0,32,0
0.0,717.5,0,0.142,4.5,0,50,0
0.0,607.9,0,0.069,4.5,1,29,0
0.0,975.5,0,0.142,4.3,0,26,0
0.0,2232.5,0,0.204,4.5,1,42,0
0.0,1253.3,0,0.452,4.4,1,66,0
1.0,1951.0,0,0.106,4.9,0,99,1
0.0,2469.2,0,0.027,3.9,1,18,0
0.333,1925.3,0,0.116,4.9,0,86,0
0.0,1648.0,0,0.763,4.9,1,44,1
0.5,1603.5,0,0.074,4.0,0,24,1
0.0,157.5,0,0.413,4.4,1,23,0
0.0,1378.8,0,0.232,4.8,0,52,0
0.0,1374.7,0,0.101,4.5,1,113,1
0.0,765.3,0,0.017,4.9,1,119,1
0.0,348.1,0,0.172,4.8,1,36,1
0.25,1768.8,0,0.62,4.5,0,52,0
0.0,1134.9,0,0.003,4.6,0,37,0
0.0,2366.3,0,0.021,4.8,1,72,1
0.667,1801.5,0,0.003,4.9,1,78,0
0.0,599.5,0,0.012,3.9,0,26,0
0.5,767.5,0,0.257,4.0,1,17,1
0.0,1026.9,0,0.429,4.0,0,26,0
0.0,2091.6,0,0.774,4.9,1,76,1
0.25,1349.7,0,0.035,4.5,0,79,0
0.0,2172.3,0,0.05,4.2,0,20,0
0.5,715.1,0,0.629,4.7,1,113,1
0.0,1141.4,0,0.103,4.4,0,52,0
0.0,702.2,0,0.132,4.5,0,115,0
0.0,1255.0,0,0.066,3.9,1,23,1
0.0,671.3,0,0.016,4.4,0,53,1
0.0,1588.3,0,0.007,4.4,0,32,0
0.0,910.2,0,0.087,4.7,1,41,1
0.0,1746.0,0,0.231,4.5,1,86,0
0.0,244.6,0,0.205,4.9,1,59,1
0.0,356.4,0,0.39,4.1,0,11,1
0.0,1322.9,0,0.076,4.2,0,26,0
0.0,1271.1,0,0.014,4.6,0,29,1
0.0,1119.0,0,0.073,4.9,1,64,1
0.0,516.2,0,0.061,4.4,1,24,1
0.0,1065.1,0,0.1,4.9,1,97,0
0.0,688.8,0,0.127,4.5,1,45,0
0.0,796.9,0,0.026,4.2,0,19,0
0.333,897.9,0,0.765,4.3,1,28,0
0.0,531.9,0,0.028,4.7,0,51,0
0.0,881.4,0,0.089,4.5,1,35,1
0.0,1022.4,0,0.325,4.6,0,45,1
0.0,2164.7,0,0.12,4.2,0,29,0
0.0,1852.0,0,0.033,4.9,1,76,0
0.0,1609.3,0,0.039,4.4,1,36,1
0.0,550.3,0,0.78,4.7,0,24,1
0.0,522.6,0,0.066,4.8,0,53,0
0.0,2112.4,0,0.026,4.7,1,82,0
0.5,1462.7,0,0.022,4.7,0,32,1
0.0,1193.2,0,0.397,4.9,0,116,0
0.25,1281.8,0,0.55,4.9,0,44,0
0.0,1242.7,0,0.05,4.3,0,36,0
0.0,1136.2,0,0.121,4.8,0,57,0
0.0,836.9,0,0.152,4.0,0,21,0
0.0,601.1,0,0.174,4.4,0,25,1
0.5,1033.2,0,0.052,3.9,0,21,1
0.0,1495.7,0,0.111,4.0,1,19,0
0.0,1271.2,0,0.446,4.4,0,29,0
0.0,1220.0,0,0.009,4.3,1,19,0
0.0,1565.9,0,0.626,4.7,0,121,0
0.333,1867.9,0,0.289,4.4,1,25,1
0.0,2169.4,0,0.1,4.7,0,34,0
0.0,1418.8,0,0.032,4.4,0,45,0
0.0,583.4,0,0.051,4.6,0,65,0
0.5,1794.6,0,0.179,4.9,0,62,0
0.0,345.4,0,0.208,4.9,0,78,0
0.0,2043.4,0,0.676,4.1,0,28,0
0.0,410.5,0,0.089,4.1,0,21,0
0.25,1341.5,0,0.057,4.9,0,98,1
0.0,431.1,0,0.056,4.0,0,19,1
0.0,938.3,0,0.915,4.0,1,26,1
0.0,120.9,0,0.01,4.9,0,32,1
0.0,983.8,0,0.06,4.4,0,26,0
0.0,429.2,0,0.07,4.0,0,21,0
0.0,264.0,0,0.142,4.4,0,22,0
0.25,957.6,0,0.015,4.8,1,42,1
0.0,1861.5,0,0.221,4.2,0,25,0
0.5,1021.7,0,0.027,4.4,0,28,1
0.0,558.6,0,0.014,4.3,0,25,0
0.0,1274.2,0,0.066,4.3,0,26,0
0.0,1906.7,0,0.237,4.6,1,80,0
0.0,2249.1,0,0.014,4.8,1,48,0
0.0,363.4,0,0.087,4.3,0,20,1
0.0,1772.7,0,0.044,4.9,1,63,0
0.0,1437.9,0,0.818,4.9,1,71,1
