activity_id,activity_name,city_name,state_name,district_name,activity_category,activity_subcategory,tourism_type,experience_level,seasonality,activity_location,officially_recognized,source_name,source_url,evidence_notes,association_notes
ACT000001,Scuba Diving & Coral Reef Exploration,Port Blair,Andaman and Nicobar Islands,South Andaman,Adventure,Scuba Diving,Adventure Tourism,Beginner,Seasonal,"North Bay Island, Chidiyatapu & Havelock Island (Swaraj Dweep)",Yes,"Directorate of Tourism, Andaman and Nicobar Administration",https://www.andamantourism.gov.in/,"PADI and SSI certified scuba diving and sea walking exploring pristine coral reefs, sea anemones, clownfish, and sea turtles.",Diving excursions depart from Port Blair jetties to North Bay and surrounding island dive sites.
ACT000002,Glass-Bottom Boat Coral Reef Safari,Port Blair,Andaman and Nicobar Islands,South Andaman,Water,Boat Safari,Eco Tourism,All Levels,Seasonal,Jolly Buoy & Red Skin Islands (Mahatma Gandhi Marine National Park),Yes,"Department of Environment & Forests, Andaman and Nicobar Administration",https://forest.and.nic.in/,Specially designed glass-bottom boat tours providing clear views of vibrant coral gardens and marine life inside the protected marine national park.,"Boats depart from Wandoor jetty, 25 km southwest of Port Blair."
ACT000003,Cellular Jail Sound & Light Show Experience,Port Blair,Andaman and Nicobar Islands,South Andaman,Cultural,Cultural Tour,Heritage Tourism,All Levels,Year-round,Cellular Jail National Memorial,Yes,"Directorate of Tourism, Andaman and Nicobar Administration",https://www.andamantourism.gov.in/,Evening patriotic sound and light show dramatizing the heroic sacrifices of freedom fighters exiled to Kalapani during India's independence movement.,Located at Atlanta Point in central Port Blair.
ACT000004,Chandragiri Fort Sound and Light Show & Heritage Walk,Chandragiri,Andhra Pradesh,Tirupati,Cultural,Heritage Walk,Heritage Tourism,Beginner,Year-round,Chandragiri Fort & Raja Mahal Palace Complex,Yes,Archaeological Survey of India & APTDC,https://tourism.ap.gov.in/,"Walking tour of the 11th-century fortified capital of the Vijayanagara Empire, Rani Mahal, and evening multimedia sound and light show.",Located 12 km west of Tirupati at Chandragiri.
ACT000005,Gandikota Canyon Gorge Trekking & River Kayaking,Kadapa,Andhra Pradesh,YSR Kadapa,Adventure,Trekking,Adventure Tourism,Moderate,Winter,Gandikota Canyon (Grand Canyon of India) & Pennar River,Yes,Andhra Pradesh Tourism Development Corporation (APTDC),https://tourism.ap.gov.in/,Trekking along the 300-ft vertical red granite cliffs of the Pennar River gorge and kayaking on the river waters beneath the medieval Gandikota Fort.,"Gandikota is located in Kadapa district, 75 km from Kadapa city."
ACT000006,Mangrove Estuary Boat Safari & Boardwalk,Kakinada,Andhra Pradesh,Kakinada,Wildlife,Boat Safari,Eco Tourism,Beginner,Year-round,Coringa Wildlife Sanctuary & Hope Island,Yes,Andhra Pradesh Forest Department,https://forests.ap.gov.in/,Boat safaris through India's second-largest mangrove formation and a 4-km wooden boardwalk over mangrove roots observing fishing cats and otters.,Located 15 km south of Kakinada city.
ACT000007,Belum Underground Caves Spelunking Exploration,Kurnool,Andhra Pradesh,Kurnool,Adventure,Caving,Adventure Tourism,Moderate,Year-round,Belum Caves Underground Geological Site,Yes,Andhra Pradesh Tourism Development Corporation (APTDC),https://tourism.ap.gov.in/,"Guided walking exploration across 3.5 km of subterranean limestone cave chambers reaching depths of 150 ft at Pataalaganga, with natural stalactites and stalagmites.","Belum Caves are situated in Kurnool district, 105 km from Kurnool city."
ACT000008,Island Buddhist Museum Ferry & Archaeological Walk,Nagarjunakoṇḍa,Andhra Pradesh,Palnadu,Cultural,Heritage Walk,Heritage Tourism,Beginner,Winter,Nagarjuna Sagar Reservoir Island Museum,Yes,Archaeological Survey of India & APTDC,https://asi.nic.in/,"Motorboat ferry across the massive reservoir to the man-made island housing excavated 3rd-century Buddhist stupas, monasteries, and university relics.",Encompasses the island site of Nagarjunakoṇḍa in the reservoir.
ACT000009,Godavari River Boat Cruise to Papikondalu,Rajahmundry,Andhra Pradesh,East Godavari,Water,River Cruise,Nature Tourism,Beginner,Seasonal,Godavari River (Rajahmundry / Polavaram to Papikonda National Park),Yes,Andhra Pradesh Tourism Development Corporation (APTDC),https://tourism.ap.gov.in/,Full-day luxury air-conditioned river cruiser voyages navigating the gorge of the Eastern Ghats where the Godavari narrows between hills.,Boats depart from Rajahmundry Saraswati Ghat and Purushothapatnam.
ACT000010,"Alipiri Footpath 3,550-Step Pilgrimage Trek",Tirupati,Andhra Pradesh,Tirupati,Spiritual,Spiritual Walk,Spiritual Tourism,Advanced,Year-round,"Alipiri to Tirumala Hill Footpath (9 km, 3,550 Steps)",Yes,Tirumala Tirupati Devasthanams (TTD),https://tirupatibalaji.ap.gov.in/,Sacred walking pilgrimage ascending through Seshachalam hills across covered pedestrian pathways to the sanctum of Lord Venkateswara at Tirumala.,Trail originates at Alipiri base within Tirupati city limits.
