date,destination_id,temperature,humidity,rainfall,weather_condition,wind_speed,weather_alert
2026-01-15,1,24.0,45.6,25.0,Clear & Pleasant,10.2,0
2026-02-15,1,21.8,38.9,0.0,Clear & Pleasant,8.9,0
2026-03-15,1,27.1,54.3,22.9,Clear & Pleasant,19.7,0
2026-04-15,1,27.0,32.9,9.8,Clear & Pleasant,16.3,0
2026-05-15,1,33.7,48.6,10.9,Clear & Pleasant,6.2,0
2026-06-15,1,32.8,46.1,36.4,Clear & Pleasant,8.9,0
2026-07-15,1,34.2,71.7,184.4,Monsoon Heavy Rain,18.4,0
2026-08-15,1,33.3,87.2,307.1,Monsoon Heavy Rain,18.4,1
2026-09-15,1,29.6,63.6,187.5,Monsoon Heavy Rain,19.3,0
2026-10-15,1,30.0,49.3,57.9,Light Showers,14.4,0
2026-11-15,1,25.3,46.2,2.3,Clear & Pleasant,19.3,0
2026-12-15,1,22.6,54.5,0.7,Clear & Pleasant,10.0,0
2026-01-15,2,25.0,47.2,24.3,Clear & Pleasant,10.7,0
2026-02-15,2,21.9,42.6,4.8,Clear & Pleasant,16.9,0
2026-03-15,2,27.7,44.5,11.1,Clear & Pleasant,9.3,0
2026-04-15,2,27.8,39.4,8.6,Clear & Pleasant,13.7,0
2026-05-15,2,28.2,49.4,14.0,Clear & Pleasant,13.4,0
2026-06-15,2,33.1,42.9,23.8,Clear & Pleasant,7.5,0
2026-07-15,2,31.9,75.0,189.2,Monsoon Heavy Rain,6.9,0
2026-08-15,2,30.2,87.2,325.8,Monsoon Heavy Rain,15.8,1
2026-09-15,2,30.9,69.7,219.4,Monsoon Heavy Rain,7.2,0
2026-10-15,2,30.7,46.0,73.5,Light Showers,9.3,0
2026-11-15,2,23.9,45.3,9.7,Clear & Pleasant,9.0,0
2026-12-15,2,21.4,47.8,21.7,Clear & Pleasant,8.6,0
2026-01-15,3,23.1,37.7,0.1,Clear & Pleasant,8.3,0
2026-02-15,3,22.9,46.6,0.0,Clear & Pleasant,6.2,0
2026-03-15,3,27.0,42.7,0.0,Clear & Pleasant,17.8,0
2026-04-15,3,30.3,27.0,0.0,Clear & Pleasant,12.3,0
2026-05-15,3,32.4,44.3,0.0,Clear & Pleasant,10.4,0
2026-06-15,3,33.8,49.6,22.7,Clear & Pleasant,20.4,0
2026-07-15,3,35.6,65.4,184.3,Monsoon Heavy Rain,8.6,0
2026-08-15,3,34.8,92.9,335.8,Monsoon Heavy Rain,15.5,1
2026-09-15,3,30.3,63.2,181.3,Monsoon Heavy Rain,5.9,0
