city_name,state_name,verified_cultural_asset_count,cultural_category_count,traditional_art_count,handicraft_count,handloom_count,music_count,dance_count,theatre_count,food_heritage_count,tribal_culture_count,folk_tradition_count,unesco_ich_count,gi_count,officially_recognized_count,living_tradition_count,data_completeness_percentage,score_confidence,Cultural_Asset_Count_Score,Cultural_Diversity_Score,Cultural_Significance_Score,Cultural_Recognition_Score,Living_Tradition_Score,Cultural_Uniqueness_Score,Cultural_Authenticity_Evidence_Score,Overall_Cultural_Score
Port Blair,Andaman and Nicobar Islands,2,2,0,1,0,0,0,0,0,0,1,0,1,2,2,100,High,69.05,52,86.5,89,92.5,88.5,97.5,80.66
Adoni,Andhra Pradesh,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,100,Medium,50.95,36,60,65,95,65,95,64.59
Amaravati,Andhra Pradesh,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,100,Medium,50.95,36,85,88,70,85,95,71.29
Anantapur,Andhra Pradesh,1,1,0,0,1,0,0,0,0,0,0,0,1,1,1,100,High,50.95,36,88,90,95,92,100,75.99
Chandragiri,Andhra Pradesh,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,100,Medium,50.95,36,85,88,70,85,95,71.29
Chittoor,Andhra Pradesh,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,100,Medium,50.95,36,60,65,95,65,80,62.34
Dowlaiswaram,Andhra Pradesh,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,100,Medium,50.95,36,72,75,90,75,88,67.34
Eluru,Andhra Pradesh,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,100,Medium,50.95,36,88,50,95,65,95,66.54
Guntur,Andhra Pradesh,1,1,0,0,0,0,0,0,1,0,0,0,1,1,1,100,High,50.95,36,88,90,95,92,100,75.99
Kadapa,Andhra Pradesh,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,100,Medium,50.95,36,72,75,95,75,80,66.64
Kakinada,Andhra Pradesh,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,100,Medium,50.95,36,72,75,95,75,88,67.84
Kurnool,Andhra Pradesh,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,100,High,50.95,36,88,90,95,92,100,75.99
Machilipatnam,Andhra Pradesh,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,100,High,50.95,36,88,90,95,92,100,75.99
Nagarjunakoṇḍa,Andhra Pradesh,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,100,Medium,50.95,36,85,88,70,85,95,71.29
Rajahmundry,Andhra Pradesh,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,100,Medium,50.95,36,72,75,90,75,80,66.14
Srikakulam,Andhra Pradesh,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,100,Medium,50.95,36,85,88,95,85,80,71.54
