destination_id,state,asi_circle,destination,footfall_2024_25,fiscal_year,source,dtv_2022,dtv_2023,dtv_2024,ftv_2022,ftv_2023,ftv_2024,data_quality
ASI_001,Andhra Pradesh,Amaravati,Amaravati Mahastupa,8090,2024-25,ASI/Indian Heritage,192716721,254706328,290266000,165845,60426,262431,"REAL — destination fields blank where no verified source found"
ASI_002,Andhra Pradesh,Amaravati,Undavalli caves,146637,2024-25,ASI/Indian Heritage,192716721,254706328,290266000,165845,60426,262431,"REAL — destination fields blank where no verified source found"
ASI_003,Andhra Pradesh,Amaravati,Nagarjunakonda,59826,2024-25,ASI/Indian Heritage,192716721,254706328,290266000,165845,60426,262431,"REAL — destination fields blank where no verified source found"
ASI_004,Andhra Pradesh,Amaravati,Chandragiri Monument,112531,2024-25,ASI/Indian Heritage,192716721,254706328,290266000,165845,60426,262431,"REAL — destination fields blank where no verified source found"
ASI_005,Andhra Pradesh,Amaravati,Buddhist Remains Guntupalli,13801,2024-25,ASI/Indian Heritage,192716721,254706328,290266000,165845,60426,262431,"REAL — destination fields blank where no verified source found"
ASI_006,Assam,Guwahati,Ahom Raja's Palace,123831,2024-25,ASI/Indian Heritage,8382003,7612720,7608000,9001,23818,27170,"REAL — destination fields blank where no verified source found"
ASI_007,Assam,Guwahati,Karenghar of Ahom Kings Sivasagar,197915,2024-25,ASI/Indian Heritage,8382003,7612720,7608000,9001,23818,27170,"REAL — destination fields blank where no verified source found"
ASI_008,Assam,Guwahati,Ranghar Ruins,173071,2024-25,ASI/Indian Heritage,8382003,7612720,7608000,9001,23818,27170,"REAL — destination fields blank where no verified source found"
ASI_009,Assam,Guwahati,Bishnudol Temple,5801,2024-25,ASI/Indian Heritage,8382003,7612720,7608000,9001,23818,27170,"REAL — destination fields blank where no verified source found"
ASI_010,Assam,Guwahati,Group of Four Maidams,76998,2024-25,ASI/Indian Heritage,8382003,7612720,7608000,9001,23818,27170,"REAL — destination fields blank where no verified source found"
ASI_011,Bihar,Patna,Site of Mauryan Palace,131634,2024-25,ASI/Indian Heritage,25330364,81585701,65463000,86829,546576,736720,"REAL — destination fields blank where no verified source found"
ASI_012,Bihar,Patna,Ancient Ruins Vaishali,99084,2024-25,ASI/Indian Heritage,25330364,81585701,65463000,86829,546576,736720,"REAL — destination fields blank where no verified source found"
ASI_013,Bihar,Patna,Excavated Site Nalanda,589151,2024-25,ASI/Indian Heritage,25330364,81585701,65463000,86829,546576,736720,"REAL — destination fields blank where no verified source found"
