id,name,state,category,latitude,longitude,price_range,rating,review_count,description,best_season,image_url
12025,"Hall of Fame, Leh",Ladakh,attraction,34.1281,77.5556,budget,4.3,3349,"Hall of Fame, Leh is a renowned cultural landmark situated in Leh, Leh district of Ladakh. The destination attracts visitors seeking authentic regional heritage, architectural grandeur, and picturesque surroundings. It plays an integral role in the cultural landscape and local tourism identity of the region.",Oct-Feb,https://thumb.wikimedia.org/wikipedia/commons/thumb/1/16/Diskit_Gompa_2.jpg/960px-Diskit_Gompa_2.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
12026,Shanti Stupa,Ladakh,attraction,34.13355,77.59375,budget,4.1,575,"Shanti Stupa is a renowned religious landmark situated in Leh, Leh district of Ladakh. The destination attracts visitors seeking authentic regional heritage, architectural grandeur, and picturesque surroundings. It plays an integral role in the cultural landscape and local tourism identity of the region.",Oct-Feb,https://thumb.wikimedia.org/wikipedia/commons/thumb/8/81/Leh%2C_Shanti_Stupa%2C_Ladakh%2C_India.jpg/960px-Leh%2C_Shanti_Stupa%2C_Ladakh%2C_India.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
12027,Kargil War Memorial Dras,Ladakh,attraction,34.428056,75.761944,budget,4.7,27738,"Built by the Indian Army along the Srinagar-Leh National Highway in Dras (the second coldest inhabited place on Earth), commemorating the martyrs and heroic victory of Operation Vijay during the 1999 Kargil War, facing Tololing and Tiger Hill.",Oct-Feb,https://thumb.wikimedia.org/wikipedia/commons/thumb/5/5d/Spituk.jpg/960px-Spituk.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
12028,Padum,Ladakh,attraction,33.46914,76.87818,budget,4.6,3578,"Nestled in the remote Zanskar Valley of Ladakh, Padum serves as the administrative and cultural hub of this breathtakingly isolated region. Situated at an elevation of approximately 3,600 meters on a broad plain along the Doda River, it is surrounded by the majestic Zanskar Range, making it a critical base for high-altitude expeditions and treks. Historically a vital crossroads for trade routes connecting Ladakh with Himachal Pradesh and Kashmir, Padum has long been a beacon for adventurers and spiritual seekers alike. The predominantly Buddhist population of Padum and its surrounding villages maintains a vibrant, traditional way of life deeply intertwined with their spiritual heritage. Numerous ancient gompas (monasteries) dot the landscape, preserving centuries-old Buddhist practices and art. Despite its increasing popularity among tourists seeking authentic Himalayan experiences, Padum retains its rustic charm, offering visitors a unique glimpse into a culture largely untouched by modern advancements. The local experience is characterized by resilient hospitality, serene monastic life, and dramatic landscapes that invite introspection and adventure.",Oct-Feb,https://thumb.wikimedia.org/wikipedia/commons/thumb/1/1a/NE_Padum_Valley_Panorama_Zanskar_Jun24_A7CR_01091.jpg/960px-NE_Padum_Valley_Panorama_Zanskar_Jun24_A7CR_01091.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
12029,Rangdum,Ladakh,attraction,34.03619,76.372,budget,3.9,210,"Nestled at an elevation of approximately 3,657 meters (11,998 ft) in the remote Suru Valley of Ladakh, Rangdum serves as a cultural and geographical gateway between the Suru and Zanskar regions. Historically, it has been a crucial stop for traders and pilgrims traversing this challenging terrain. The landscape is a breathtaking tableau of high-altitude desert, surrounded by jagged peaks, some glacier-capped, and crisscrossed by the mighty Suru River. The small settlement, predominantly inhabited by semi-nomadic herdsmen during warmer months, exudes a profound sense of isolation and peace, offering a glimpse into a traditional Ladakhi-Zanskari way of life largely untouched by modern influences. The local culture is deeply rooted in Tibetan Buddhism, evident in the prayer flags fluttering in the crisp mountain air and the serene demeanor of its inhabitants.",Oct-Feb,https://upload.wikimedia.org/wikipedia/commons/4/49/Rangdum.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail_unscaled
12030,Alchi,Ladakh,attraction,34.22363,77.17406,budget,4.0,816,"Nestled on the banks of the mighty Indus River, approximately 70 kilometers west of Leh, Alchi is a tranquil village renowned for its ancient monastic complex, the Alchi Choskor. Unlike most monasteries perched on hilltops, Alchi Gompa is uniquely situated on flat ground, founded in the 10th-11th century by the great translator Rinchen Zangpo. It stands as a testament to early Tibetan Buddhist art and architecture, notably influenced by Kashmiri styles. The complex is an extraordinary repository of murals and wooden sculptures, many dating back to the 11th and 12th centuries, preserving artistic traditions that have largely vanished elsewhere. The village itself offers a peaceful retreat, with lush apricot and apple orchards contrasting with the stark, majestic Himalayan landscape. Life here is serene, deeply interwoven with Buddhist traditions and agricultural rhythms, providing visitors a profound glimpse into Ladakh's cultural heritage.",Oct-Feb,https://thumb.wikimedia.org/wikipedia/commons/thumb/e/ee/Indus_River_in_Ladakh_03.jpg/960px-Indus_River_in_Ladakh_03.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
12031,Hemis,Ladakh,attraction,33.90831,77.63415,budget,4.2,2909,"The region's unique geography, with its arid desert landscapes and snow-capped mountains, supports a wide range of flora and fauna, including several endangered species such as the snow leopard, ibex, and Tibetan antelope. As a result, Hemis has become a popular destination for bird watching and wildlife spotting. The area's harsh yet beautiful environment has also spawned a distinct culture, with the locals developing a unique set of traditions, customs, and skills that have been passed down through generations. Visitors to Hemis can experience this rich cultural heritage by attending one of the many festivals that take place throughout the year, including the famous Hemis Festival, which celebrates the birth of Guru Padmasambhava, the founder of Tibetan Buddhism.",Oct-Feb,https://thumb.wikimedia.org/wikipedia/commons/thumb/a/a6/Hamis_Gonpa_on_a_rainy_day.JPG/960px-Hamis_Gonpa_on_a_rainy_day.JPG?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
12032,Korzok,Ladakh,attraction,33.04492,78.23639,budget,4.5,5312,"Korzok, a quaint village in the Rupshu Valley of Ladakh, is an epitome of natural beauty, spiritual tranquility, and cultural heritage. The village is situated on the western bank of Tso Moriri Lake, which is the highest Ramsar site in the world. The villagers of Korzok are predominantly Tibetans, following the Buddhist tradition, and the village is home to the ancient Korzok Monastery, also known as the Tso Moriri Gompa. As a visitor, one can immerse themselves in the spirituality of the place, explore the heritage of the village through its monasteries, and indulge in breathtaking views of the surrounding landscape. The pristine Tso Moriri Lake, with its crystal-clear waters reflecting the vibrant hues of the sky, offers a visual treat like no other, while the stark beauty of the Rupshu Valley provides a unique perspective on the high-altitude landscape of Ladakh.",Oct-Feb,https://thumb.wikimedia.org/wikipedia/commons/thumb/6/68/Karzok_Tso_Moriri_%28cropped%29_02.jpg/960px-Karzok_Tso_Moriri_%28cropped%29_02.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
12033,Lamayuru,Ladakh,attraction,34.28271,76.77396,budget,4.2,2373,"Lamayuru, also known as the 'Moonland' of Ladakh, is a quaint village situated approximately 100 km west of Leh. The village is steeped in history and culture, with the iconic Lamayuru Monastery being its crowning jewel. This 11th-century monastery, one of the largest and oldest in Ladakh, is a significant center of Buddhist learning and spirituality. The village's stunning landscape, with its unique moonscape-like terrain, offers breathtaking vistas and unforgettable experiences for visitors. As a hub for spiritual, cultural, and adventure tourism, Lamayuru provides an immersive experience into the region's rich heritage, beautiful landscapes, and the warmth of its people. Visitors can engage in heritage walks, meditation sessions, and photography, taking in the sights and sounds of this enchanting village, set against the backdrop of the majestic Himalayas.",Oct-Feb,https://thumb.wikimedia.org/wikipedia/commons/thumb/e/e1/Yungdrung_Gompa_-_Lamayuru_%2810000019984%29.jpg/960px-Yungdrung_Gompa_-_Lamayuru_%2810000019984%29.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
12034,Magnetic Hill & Khardung La Pass,Ladakh,attraction,34.185556,77.350556,budget,4.9,18742,"A world-renowned gravity hill phenomenon on the Leh-Kargil highway where stationary vehicles left in neutral appear to roll uphill against gravity, paired with the legendary Khardung La pass soaring at 17,982 feet in the Ladakh Range.",May-Sep,https://thumb.wikimedia.org/wikipedia/commons/thumb/1/16/Diskit_Gompa_2.jpg/960px-Diskit_Gompa_2.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
12035,Nubra Valley & Hunder Sand Dunes,Ladakh,attraction,34.544444,77.566944,budget,4.9,10230,"Known historically as the 'Valley of Flowers', a stunning tri-armed cold desert valley at 10,000 feet altitude where the Shyok and Nubra rivers meet, famous for silver sand dunes at Hunder and rare double-humped Bactrian camels.",May-Sep,https://thumb.wikimedia.org/wikipedia/commons/thumb/3/3a/Lamayuru_Monastery%2C_Ladakh%2C_India.jpg/960px-Lamayuru_Monastery%2C_Ladakh%2C_India.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
12036,Pangong Tso (Pangong Lake),Ladakh,attraction,33.729444,78.441944,budget,4.9,18462,"Sitting at an altitude of 14,270 feet (4,350 m) spanning 134 kilometers across the India-China border, an awe-inspiring endorheic high-altitude lake famous for shifting colors from deep blue to turquoise, emerald, and violet throughout the day.",May-Sep,https://thumb.wikimedia.org/wikipedia/commons/thumb/6/66/ISS054-E-7809_-_View_of_Earth_%28cropped%29.jpg/960px-ISS054-E-7809_-_View_of_Earth_%28cropped%29.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
12037,Sumur,Ladakh,attraction,34.61856,77.61325,budget,4.1,836,"Sumur, a quaint village in the Nubra Valley of Ladakh, is a haven for nature lovers and photography enthusiasts. The village is situated near the confluence of the Shyok and Nubra rivers, providing a stunning backdrop of the Karakoram Range. With its pristine landscapes, unique wildlife, and rich cultural heritage, Sumur offers an unparalleled experience for visitors. The village is home to several ancient monasteries, including the Samstem Ling Gompa, which showcases the region's rich history and spiritual significance. As a popular tourist destination, Sumur provides a range of activities, from trekking and birdwatching to exploring the local culture and cuisine.",Oct-Feb,https://thumb.wikimedia.org/wikipedia/commons/thumb/a/a6/Hamis_Gonpa_on_a_rainy_day.JPG/960px-Hamis_Gonpa_on_a_rainy_day.JPG?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
12038,Thiksey Monastery Leh,Ladakh,attraction,34.058056,77.666944,budget,4.9,27799,"Affiliated with the Gelug (Yellow Hat) sect of Tibetan Buddhism, a magnificent 12-storey whitewashed monastery complex perched on a conical hill overlooking the Indus Valley, famous for its striking resemblance to the Potala Palace in Lhasa.",Oct-Feb,https://thumb.wikimedia.org/wikipedia/commons/thumb/d/d3/Alchi.jpg/960px-Alchi.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
12039,Tso Moriri,Ladakh,attraction,32.88928,78.32153,budget,4.1,902,"Tso Moriri, meaning 'Mountain Lake' in Ladakhi, is a spectacular high-altitude wetland (4,522 m / 14,836 ft) located in the remote Changthang region of Ladakh. As India's largest high-altitude lake entirely within its territory and a designated Ramsar site, it forms a crucial part of the Changthang Wildlife Sanctuary, renowned for its pristine azure waters reflecting the surrounding barren peaks. This geographically significant region is characterized by an extreme cold desert climate, yet it sustains a unique ecosystem and the traditional semi-nomadic lifestyle of the Changpa community, known for their Pashmina goat herding. Culturally, the lake holds deep spiritual significance for the local Buddhists, with the ancient Karzok Monastery perched nearby, overseeing the highest permanent settlement in the world. Visitors to Tso Moriri are immersed in an unparalleled experience of raw natural beauty, encountering diverse avian species like the endangered black-necked crane and migratory bar-headed geese, alongside indigenous wildlife such as the kiang (Tibetan wild ass). The tranquil environment offers a profound connection with nature and a rare glimpse into the resilient way of life in one of the world's most remote and beautiful landscapes.",Oct-Feb,https://thumb.wikimedia.org/wikipedia/commons/thumb/5/51/Tso_Moriri%2C_Ladakh_%2834855616204%29.jpg/960px-Tso_Moriri%2C_Ladakh_%2834855616204%29.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
12040,Turtuk,Ladakh,attraction,34.8447,76.82795,budget,4.1,583,"Turtuk is a hidden gem in Ladakh, one of the northernmost villages in India, situated in the breathtaking Nubra Valley, very close to the Line of Control with Pakistan. This charming hamlet was part of Pakistan-occupied Kashmir until 1971 when it was reclaimed by India. Its unique history has preserved a distinct Balti culture, language, and traditions, making it a living museum. Unlike most of Ladakh, Turtuk is lush green, blessed by the Shyok River, with abundant apricot orchards and fields of buckwheat, creating an oasis in the high-altitude desert. The village offers a rare opportunity to experience a culture that has blended Tibetan, Indian, and Central Asian influences. The hospitality of its inhabitants, their simple yet vibrant way of life, and the stunning natural beauty characterized by towering peaks, glacial meltwater streams, and fertile terraced fields, make Turtuk an unforgettable destination for those seeking authenticity and tranquility away from the usual tourist trails. It truly feels like stepping back in time.",Oct-Feb,https://thumb.wikimedia.org/wikipedia/commons/thumb/1/1a/River_Shyok%2C_Turtuk_Village%2C_Ladakh.JPG/960px-River_Shyok%2C_Turtuk_Village%2C_Ladakh.JPG?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
12041,Uleytokpo,Ladakh,attraction,34.25349,77.09262,budget,4.1,171,"Uleytokpo is a picturesque village nestled on the banks of the mighty Indus River, amidst the stark, moon-like landscapes of Ladakh. Often referred to as a 'green belt' due to its lush willow and poplar groves, it offers a refreshing contrast to the arid mountain terrain. Its relatively lower altitude (around 10,000-11,000 feet) makes it an ideal and popular stop for acclimatization for travelers venturing to higher altitudes in Ladakh, providing a peaceful retreat before exploring the region's more demanding elevations. Culturally, Uleytokpo embodies the tranquil spirit of Ladakhi life, deeply influenced by Tibetan Buddhism. The village provides a glimpse into traditional rural existence, with locals engaged in farming and offering warm hospitality. Historically, it served as a significant stop along ancient trade routes, connecting various parts of Ladakh and beyond. Today, it's a favored camping site for trekkers and a convenient base for exploring nearby iconic monasteries, making it a perfect blend of natural beauty, cultural immersion, and adventure.",Oct-Feb,https://thumb.wikimedia.org/wikipedia/commons/thumb/5/5d/Tsokar.jpg/960px-Tsokar.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
12042,Leh,Ladakh,attraction,34.1701,77.6036,budget,4.9,14640,"Leh is a premier hill station destination in Leh, Ladakh. Renowned as a prominent landmark in regional tourism (Mountain/City), it welcomes visitors seeking authentic cultural immersion, picturesque vistas, and rich historic heritage.",Oct-Feb,https://thumb.wikimedia.org/wikipedia/commons/thumb/4/4d/Leh_City_seen_from_Shanti_Stupa.JPG/960px-Leh_City_seen_from_Shanti_Stupa.JPG?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
12043,Hemis Monastery,Ladakh,attraction,34.1956,77.4881,budget,4.5,24219,"Hemis Monastery is a premier monastery destination in Leh, Ladakh. Renowned as a prominent landmark in regional tourism (Monastery), it welcomes visitors seeking authentic cultural immersion, picturesque vistas, and rich historic heritage.",Oct-Feb,https://thumb.wikimedia.org/wikipedia/commons/thumb/e/ea/Hemis_Monastery_02.jpg/960px-Hemis_Monastery_02.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
12044,Diskit Monastery,Ladakh,attraction,33.9888,77.3118,budget,4.9,15213,"Diskit Monastery is a premier monastery destination in Nubra, Ladakh. Renowned as a prominent landmark in regional tourism (Monastery), it welcomes visitors seeking authentic cultural immersion, picturesque vistas, and rich historic heritage.",Oct-Feb,https://thumb.wikimedia.org/wikipedia/commons/thumb/1/16/Diskit_Gompa_2.jpg/960px-Diskit_Gompa_2.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
12045,Alchi Monastery,Ladakh,attraction,34.0966,77.5571,budget,4.9,8267,"Alchi Monastery is a premier monastery destination in Leh, Ladakh. Renowned as a prominent landmark in regional tourism (Monastery), it welcomes visitors seeking authentic cultural immersion, picturesque vistas, and rich historic heritage.",Oct-Feb,https://thumb.wikimedia.org/wikipedia/commons/thumb/d/d3/Alchi.jpg/960px-Alchi.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
12046,Tso Kar,Ladakh,attraction,34.0398,77.3808,budget,4.6,6671,"Tso Kar is a premier lake destination in Changthang, Ladakh. Renowned as a prominent landmark in regional tourism (Lake), it welcomes visitors seeking authentic cultural immersion, picturesque vistas, and rich historic heritage.",Oct-Feb,https://thumb.wikimedia.org/wikipedia/commons/thumb/5/5d/Tsokar.jpg/960px-Tsokar.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
12047,Zanskar Valley,Ladakh,attraction,34.4476,75.8324,budget,4.3,2802,"Zanskar Valley is a premier hill station destination in Kargil, Ladakh. Renowned as a prominent landmark in regional tourism (Valley), it welcomes visitors seeking authentic cultural immersion, picturesque vistas, and rich historic heritage.",Oct-Feb,https://thumb.wikimedia.org/wikipedia/commons/thumb/d/d3/Alchi.jpg/960px-Alchi.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
12048,Drass,Ladakh,attraction,34.4731,75.7169,budget,4.9,18379,"Drass is a premier hill station destination in Kargil, Ladakh. Renowned as a prominent landmark in regional tourism (Mountain), it welcomes visitors seeking authentic cultural immersion, picturesque vistas, and rich historic heritage.",Oct-Feb,https://thumb.wikimedia.org/wikipedia/commons/thumb/5/57/Leh_Palace%2C_Leh%2C_Ladakh.jpg/960px-Leh_Palace%2C_Leh%2C_Ladakh.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
12049,Shey Palace,Ladakh,attraction,34.1986,77.5451,mid,4.8,14011,"Shey Palace is a premier palace destination in Leh, Ladakh. Renowned as a prominent landmark in regional tourism (Heritage), it welcomes visitors seeking authentic cultural immersion, picturesque vistas, and rich historic heritage.",Oct-Feb,https://thumb.wikimedia.org/wikipedia/commons/thumb/b/be/Spituk_Monastery-2008.jpg/960px-Spituk_Monastery-2008.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
12050,Stok Palace,Ladakh,attraction,34.0741,77.5796,mid,4.8,24656,"Stok Palace is a premier palace destination in Leh, Ladakh. Renowned as a prominent landmark in regional tourism (Heritage), it welcomes visitors seeking authentic cultural immersion, picturesque vistas, and rich historic heritage.",Oct-Feb,https://upload.wikimedia.org/wikipedia/commons/e/e3/Stok_palau_1.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail_unscaled
12051,Leh Palace,Ladakh,attraction,34.1851,77.5886,mid,4.5,20163,"Leh Palace is a premier palace destination in Leh, Ladakh. Renowned as a prominent landmark in regional tourism (Heritage), it welcomes visitors seeking authentic cultural immersion, picturesque vistas, and rich historic heritage.",Oct-Feb,https://thumb.wikimedia.org/wikipedia/commons/thumb/3/36/Leh_Palace_2011.jpg/960px-Leh_Palace_2011.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
12052,Namgyal Tsemo Monastery,Ladakh,attraction,34.1566,77.4971,budget,4.9,7519,"Namgyal Tsemo Monastery is a premier monastery destination in Leh, Ladakh. Renowned as a prominent landmark in regional tourism (Monastery), it welcomes visitors seeking authentic cultural immersion, picturesque vistas, and rich historic heritage.",Oct-Feb,https://thumb.wikimedia.org/wikipedia/commons/thumb/5/57/Leh_Palace%2C_Leh%2C_Ladakh.jpg/960px-Leh_Palace%2C_Leh%2C_Ladakh.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
12053,Sumur Monastery,Ladakh,attraction,34.0998,77.3208,budget,4.9,18947,"Sumur Monastery is a premier monastery destination in Nubra, Ladakh. Renowned as a prominent landmark in regional tourism (Monastery), it welcomes visitors seeking authentic cultural immersion, picturesque vistas, and rich historic heritage.",Oct-Feb,https://thumb.wikimedia.org/wikipedia/commons/thumb/e/e1/Yungdrung_Gompa_-_Lamayuru_%2810000019984%29.jpg/960px-Yungdrung_Gompa_-_Lamayuru_%2810000019984%29.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
12054,Mulbek,Ladakh,attraction,34.3576,75.7724,budget,4.5,27209,"Mulbek is a premier heritage destination in Kargil, Ladakh. Renowned as a prominent landmark in regional tourism (Heritage), it welcomes visitors seeking authentic cultural immersion, picturesque vistas, and rich historic heritage.",Oct-Feb,https://thumb.wikimedia.org/wikipedia/commons/thumb/c/c5/Kargilwarmemorialdarss3.jpg/960px-Kargilwarmemorialdarss3.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
