cultural_id,cultural_asset_name,city_name,state_name,district_name,cultural_category,cultural_subcategory,tourism_type,cultural_significance,recognition_status,unesco_ich_status,gi_status,official_recognition,source_name,source_url,evidence_notes,association_notes
CULT_0001,Adoni Handloom Cotton Weaving,Adoni,Andhra Pradesh,Kurnool,Handloom/Textile,Cotton Handloom Weaving,Arts & Crafts Tourism,Traditional cotton ginning and handloom coarse cloth weaving tradition sustaining generations of weaver artisan communities in Rayalaseema.,Institutional,Not Listed,Not GI Registered,Yes,"Development Commissioner for Handlooms, Ministry of Textiles",https://handlooms.nic.in/,Identified as an official handloom cluster under the National Handloom Development Programme.,Directly practiced in the weaving colonies of Adoni town.
CULT_0002,Amaravati School of Buddhist Art and Stupa Architecture,Amaravati,Andhra Pradesh,Guntur,Traditional Architecture,Buddhist Architectural & Relief Carving,Heritage Tourism,"Historic seat of the classical Amaravati School of Art, characterized by expressive narrative limestone relief carvings and monumental Mahachaitya stupa traditions dating from 3rd century BCE to 3rd century CE.",National,Not Listed,Not GI Registered,Yes,Archaeological Survey of India / Ministry of Culture,https://asi.nic.in/,Centrally protected monument and designated ASI site museum preserving Amaravati sculptural traditions.,Directly located at the ancient Amaravati Mahachaitya site on the Krishna River.
CULT_0003,Dharmavaram Handloom Pattu Sarees and Paavadas,Anantapur,Andhra Pradesh,Anantapur,Handloom/Textile,Silk Saree Weaving,Cultural Tourism,Distinguished silk saree weaving heritage featuring broad solid borders (Kaddi borders) and intricate pallu designs inspired by Lepakshi temple frescoes.,GI,Not Listed,GI Registered,Yes,"Geographical Indications Registry, IP India",https://search.ipindia.gov.in/GIRPublic/Application/Details/145,Registered under GI Application No. 145 by the Registrar of Geographical Indications.,Produced across Anantapur district with traditional weaver linkages centered in Anantapur-Dharmavaram.
CULT_0004,Chandragiri Fort Vijayanagara Architectural Style,Chandragiri,Andhra Pradesh,Tirupati,Traditional Architecture,Late Vijayanagara Palace Architecture,Heritage Tourism,"16th-century royal palace architecture (Raja Mahal and Rani Mahal) showcasing a distinctive Indo-Saracenic synthesis built without timber, employing multi-tiered stone masonry and stucco crown pinnacles.",National,Not Listed,Not GI Registered,Yes,Archaeological Survey of India,https://asi.nic.in/,Centrally protected monument complex and heritage palace maintained by ASI.,"Directly situated in Chandragiri town, the 4th capital of the Vijayanagara Empire."
CULT_0005,Chittoor Jaggery and Mango Confectionery Craft,Chittoor,Andhra Pradesh,Chittoor,Cuisine/Food Heritage,Traditional Agro-Culinary Craft,Culinary Tourism,Historic sugarcane gur (bellam) and traditional fruit pulp preparation craft deeply rooted in Rayalaseema agricultural rituals and festival culinary customs.,Institutional,Not Listed,Not GI Registered,Yes,"Department of Agriculture, Government of Andhra Pradesh",https://chittoor.ap.gov.in/,Documented in Chittoor District Gazette and official agro-processing industrial profile.,Directly processed and traded across the Chittoor agricultural belt.
CULT_0006,Godavari Riverine Ritual Heritage and Pushkaram Traditions,Dowlaiswaram,Andhra Pradesh,East Godavari,Cultural Practice,Riverine Sacred Bathing and Water Engineering Heritage,Cultural Tourism,Venerated river ghat rituals associated with the Akhanda Godavari confluence and the 19th-century irrigation heritage established by Sir Arthur Cotton.,State,Not Listed,Not GI Registered,Yes,Andhra Pradesh Tourism Development Corporation,https://tourism.ap.gov.in/,Officially documented Pushkar ghat and Sir Arthur Cotton Museum heritage site.,Directly located at Dowlaiswaram Barrage on the Godavari River.
CULT_0007,Eluru Handmade Woollen Pile Carpets,Eluru,Andhra Pradesh,Eluru,Handicraft,Pile Carpet Weaving,Arts & Crafts Tourism,"Centuries-old Persian-origin hand-knotted pile carpet tradition developed during the Golconda Sultanate, known for asymmetrical knots and natural vegetable dyes.",GI,Not Listed,Not GI Registered,Yes,"Office of the Development Commissioner (Handicrafts), Ministry of Textiles",https://handicrafts.nic.in/,Documented as a specialized handicraft mega cluster under Ministry of Textiles craft surveys.,Practiced by hereditary weaver families in Eluru city.
CULT_0008,Guntur Mirchi Culinary and Drying Heritage,Guntur,Andhra Pradesh,Guntur,Cuisine/Food Heritage,Indigenous Spice Heritage,Culinary Tourism,"Famed Guntur Sannam cultivation, sun-curing, and fiery seasoning tradition that forms the culinary backbone of Andhra cuisine.",GI,Not Listed,GI Registered,Yes,"Geographical Indications Registry, IP India",https://search.ipindia.gov.in/GIRPublic/Application/Details/38,Registered under GI Application No. 38 for Guntur Sannam Chilli.,Centered at Asia's largest spice market yard in Guntur city.
CULT_0009,Kadapa Stone Architecture and Slab Carving,Kadapa,Andhra Pradesh,YSR Kadapa,Handicraft,Traditional Stone Masonry,Heritage Tourism,"Traditional limestone quarrying, chisel-dressing, and architectural flooring art known as 'Kadapa Slab', used historically in temple basements and vernacular dwellings.",State,Not Listed,Not GI Registered,Yes,"Department of Mines and Geology, Government of Andhra Pradesh",https://kadapa.ap.gov.in/,Documented by the Geological Survey of India and District Administration.,Endemic to the Cuddapah geological formation with craft workshops in Kadapa.
CULT_0010,Kakinada Kaja Sweet Craft,Kakinada,Andhra Pradesh,Kakinada,Cuisine/Food Heritage,Traditional Confectionery,Culinary Tourism,Celebrated flaky layered sweet filled with sugar syrup (Gottam Kaja) created in 1891 by Kotaiah and recognized as an iconic culinary symbol of Coastal Andhra.,State,Not Listed,Not GI Registered,Yes,Andhra Pradesh Tourism Development Corporation,https://tourism.ap.gov.in/,Featured in Andhra Pradesh state tourism culinary showcase and cultural documentation.,Directly originated and continuously prepared in Kakinada.
CULT_0011,Kurnool Banganapalle Mango Heritage,Kurnool,Andhra Pradesh,Kurnool,Traditional Product,Traditional Horticultural Heritage,Culinary Tourism,"Centuries-old royal mango cultivation tradition developed under the Nawabs of Banganapalle, celebrated for its fiberless pulp and rich floral aroma.",GI,Not Listed,GI Registered,Yes,"Geographical Indications Registry, IP India",https://search.ipindia.gov.in/GIRPublic/Application/Details/399,Registered under GI Application No. 399 as Banganapalle Mangoes of Andhra Pradesh.,Centered across Kurnool district with historical royal market connections in Kurnool city.
CULT_0012,Machilipatnam Kalamkari Hand Block Printing,Machilipatnam,Andhra Pradesh,Krishna,Handicraft,Block Printed Natural Dyed Textiles,Arts & Crafts Tourism,"Ancient block-printed textile tradition using carved teakwood blocks, organic vegetable dyes, and myrobalan river washing dating back to the Coromandel trade era.",GI,Not Listed,GI Registered,Yes,"Geographical Indications Registry, IP India",https://search.ipindia.gov.in/GIRPublic/Application/Details/19,Registered under GI Application No. 19 as Machilipatnam Kalamkari.,Directly practiced by master artisan communities in and around Machilipatnam town.
CULT_0013,Ikshvaku Buddhist Monastic Architecture Traditions,Nagarjunakoṇḍa,Andhra Pradesh,Palnadu,Traditional Architecture,Buddhist Chaitya and Vihara Architecture,Heritage Tourism,Monumental 3rd-4th century CE Buddhist University and Mahavihara architectural traditions developed under the patronage of the Ikshvaku queens.,National,Not Listed,Not GI Registered,Yes,Archaeological Survey of India / Ministry of Culture,https://asi.nic.in/,Centrally protected island museum and archaeological site preserving translocated monuments.,Directly located on Nagarjunakonda Island in the Krishna River valley.
CULT_0014,Telugu Classical Literature and Adikavi Nannaya Cultural Heritage,Rajahmundry,Andhra Pradesh,East Godavari,Oral Tradition/Folklore,Classical Literary and Linguistic Tradition,Cultural Tourism,"Regarded as the cultural capital of Andhra Pradesh, where Adikavi Nannaya initiated classical Telugu literature through the translation of the Mahabharata in the 11th century.",State,Not Listed,Not GI Registered,Yes,"Department of Culture, Government of Andhra Pradesh",https://tourism.ap.gov.in/,Documented in state cultural archives and home to the Adikavi Nannaya cultural institutions.,Centuries-long historical continuity centered in Rajahmundry.
CULT_0015,Ponduru Fine Khadi Hand Spinning and Weaving,Srikakulam,Andhra Pradesh,Srikakulam,Handloom/Textile,Fine Handspun Cotton (Khadi),Arts & Crafts Tourism,"Unique indigenous cotton spinning craft using red cotton, fish jawbones for comb ginning, and two-spindle charkhas to weave fine khadi up to 120 counts, praised by Mahatma Gandhi.",National,Not Listed,Not GI Registered,Yes,"Khadi and Village Industries Commission (KVIC), Ministry of MSME",https://www.kvic.gov.in/,Nationally recognized artisan production society affiliated with KVIC.,"Practiced by Devanga and Pattusali communities in Ponduru, Srikakulam district."
CULT_0016,Tirupati Laddu Sacred Prasadam Heritage,Tirupati,Andhra Pradesh,Tirupati,Cuisine/Food Heritage,Temple Sacred Culinary Heritage,Cultural Tourism,"Over 300-year-old sacred culinary tradition of preparing besan, cashew, raisin, and green camphor laddus (Dittam formula) offered at the Venkateswara Temple.",GI,Not Listed,GI Registered,Yes,"Geographical Indications Registry, IP India",https://search.ipindia.gov.in/GIRPublic/Application/Details/121,Registered under GI Application No. 121 as Tirupati Laddu.,Prepared exclusively in the Potu (temple kitchen) of Tirumala-Tirupati.
CULT_0017,Kondapalli Bommallu Wooden Toys and Dolls,Vijayawada,Andhra Pradesh,NTR,Handicraft,Softwood Toy Carving,Arts & Crafts Tourism,"400-year-old carving craft by the Nakarshalu community using light Tella Poniki wood and natural lac pigments depicting rural occupations, mythologies, and the Ambari elephant.",GI,Not Listed,GI Registered,Yes,"Geographical Indications Registry, IP India",https://search.ipindia.gov.in/GIRPublic/Application/Details/45,Registered under GI Application No. 45 as Kondapalli Bommallu.,Directly located at Kondapalli village in the Vijayawada urban agglomeration.
