place_id,destination_id,name,category,latitude,longitude,rating,price,opening_time,closing_time
plc-00001,1,Archaeological Museum Temple #1,Temple,13.7214,79.167042,4.1,500.0,08:00,18:30
plc-00002,1,Archaeological Museum Temple #2,Temple,13.602436,79.419463,4.3,100.0,08:00,18:30
plc-00003,1,Archaeological Museum Viewpoint #3,Viewpoint,13.668186,79.216721,4.2,0.0,08:00,18:30
plc-00004,1,Archaeological Museum Historic Gate #4,Historic Gate,13.588367,79.196451,4.7,0.0,08:00,18:30
plc-00005,1,Archaeological Museum Viewpoint #5,Viewpoint,13.43936,79.410506,4.1,0.0,08:00,18:30
plc-00006,2,Chakra Teertham Local Cafe #1,Local Cafe,13.653781,79.406132,4.1,100.0,08:00,18:30
plc-00007,2,Chakra Teertham Viewpoint #2,Viewpoint,13.746217,79.484244,4.2,50.0,08:00,18:30
plc-00008,2,Chakra Teertham Local Cafe #3,Local Cafe,13.784429,79.337001,4.3,0.0,08:00,18:30
plc-00009,2,Chakra Teertham Waterfall Point #4,Waterfall Point,13.699473,79.30189,4.1,100.0,08:00,18:30
plc-00010,2,Chakra Teertham Viewpoint #5,Viewpoint,13.708795,79.502435,3.8,250.0,08:00,18:30
plc-00011,3,Chandragiri Fort Temple #1,Temple,13.502398,79.374909,4.6,50.0,08:00,18:30
plc-00012,3,Chandragiri Fort Waterfall Point #2,Waterfall Point,13.594171,79.525394,4.5,50.0,08:00,18:30
plc-00013,3,Chandragiri Fort Viewpoint #3,Viewpoint,13.51731,79.378835,4.6,50.0,08:00,18:30
plc-00014,3,Chandragiri Fort Temple #4,Temple,13.4957,79.324819,4.5,100.0,08:00,18:30
plc-00015,3,Chandragiri Fort Local Cafe #5,Local Cafe,13.671264,79.264677,3.9,250.0,08:00,18:30
plc-00016,4,Divyaramam Park Waterfall Point #1,Waterfall Point,13.522113,79.546686,4.7,0.0,08:00,18:30
plc-00017,4,Divyaramam Park Waterfall Point #2,Waterfall Point,13.785641,79.465198,4.2,0.0,08:00,18:30
plc-00018,4,Divyaramam Park Temple #3,Temple,13.694539,79.557829,4.4,50.0,08:00,18:30
plc-00019,4,Divyaramam Park Waterfall Point #4,Waterfall Point,13.747551,79.484382,4.3,50.0,08:00,18:30
plc-00020,5,Geetopadesam Park Temple #1,Temple,13.579771,79.425472,4.2,0.0,08:00,18:30
plc-00021,5,Geetopadesam Park Local Cafe #2,Local Cafe,13.675995,79.304535,4.7,250.0,08:00,18:30
plc-00022,5,Geetopadesam Park Historic Gate #3,Historic Gate,13.793914,79.223234,4.8,0.0,08:00,18:30
plc-00023,5,Geetopadesam Park Temple #4,Temple,13.650326,79.406548,3.8,50.0,08:00,18:30
plc-00024,6,GMR Eco Park Temple #1,Temple,13.507242,79.381254,4.6,100.0,08:00,18:30
plc-00025,6,GMR Eco Park Waterfall Point #2,Waterfall Point,13.504578,79.409346,3.8,250.0,08:00,18:30
plc-00026,6,GMR Eco Park Waterfall Point #3,Waterfall Point,13.481647,79.456336,4.9,50.0,08:00,18:30
plc-00027,6,GMR Eco Park Craft Cluster #4,Craft Cluster,13.677907,79.359908,4.5,50.0,08:00,18:30
plc-00028,7,Gogarbham Dam Park Viewpoint #1,Viewpoint,13.614443,79.404815,3.8,50.0,08:00,18:30
plc-00029,7,Gogarbham Dam Park Local Cafe #2,Local Cafe,13.594301,79.472523,3.9,0.0,08:00,18:30
plc-00030,7,Gogarbham Dam Park Local Cafe #3,Local Cafe,13.567798,79.343552,4.1,250.0,08:00,18:30
plc-00031,7,Gogarbham Dam Park Temple #4,Temple,13.655191,79.453861,4.7,250.0,08:00,18:30
plc-00032,7,Gogarbham Dam Park Local Cafe #5,Local Cafe,13.744216,79.399045,4.5,0.0,08:00,18:30
plc-00033,8,Govindaraja Swamy Temple Museum Craft Cluster #1,Craft Cluster,13.684429,79.280669,4.8,0.0,08:00,18:30
plc-00034,8,Govindaraja Swamy Temple Museum Historic Gate #2,Historic Gate,13.643272,79.292931,4.5,50.0,08:00,18:30
plc-00035,8,Govindaraja Swamy Temple Museum Local Cafe #3,Local Cafe,13.687161,79.501506,4.1,0.0,08:00,18:30
plc-00036,8,Govindaraja Swamy Temple Museum Waterfall Point #4,Waterfall Point,13.527948,79.543448,4.8,100.0,08:00,18:30
plc-00037,8,Govindaraja Swamy Temple Museum Historic Gate #5,Historic Gate,13.754986,79.388261,4.6,50.0,08:00,18:30
plc-00038,9,Hanuman Temple Temple #1,Temple,13.770655,79.43067,4.3,100.0,08:00,18:30
plc-00039,9,Hanuman Temple Waterfall Point #2,Waterfall Point,13.744623,79.365285,4.6,0.0,08:00,18:30
plc-00040,9,Hanuman Temple Temple #3,Temple,13.734573,79.420196,4.5,50.0,08:00,18:30
plc-00041,9,Hanuman Temple Viewpoint #4,Viewpoint,13.80589,79.331867,4.0,100.0,08:00,18:30
plc-00042,10,Japali Anjaneya Swami devalayam Temple #1,Temple,13.646185,79.318258,3.8,0.0,08:00,18:30
plc-00043,10,Japali Anjaneya Swami devalayam Historic Gate #2,Historic Gate,13.671434,79.554597,4.1,50.0,08:00,18:30
plc-00044,10,Japali Anjaneya Swami devalayam Viewpoint #3,Viewpoint,13.513193,79.344397,4.5,0.0,08:00,18:30
plc-00045,10,Japali Anjaneya Swami devalayam Viewpoint #4,Viewpoint,13.522871,79.422538,4.1,250.0,08:00,18:30
plc-00046,11,Jungle Book & Park Historic Gate #1,Historic Gate,13.499372,79.359822,4.9,0.0,08:00,18:30
plc-00047,11,Jungle Book & Park Historic Gate #2,Historic Gate,13.693919,79.519848,4.4,100.0,08:00,18:30
