mapping_id,tourist_place_id,business_id,business_type,distance_km,estimated_travel_time_minutes,relationship_type,priority
MAP000001,DEST00001,BUS000001,hotel,0.49,5,very_near,5
MAP000002,DEST00001,BUS000002,restaurant,0.57,6,very_near,5
MAP000003,DEST00001,BUS000003,homestay,1.12,5,nearby,5
MAP000004,DEST00001,BUS000004,dhaba,1.22,5,nearby,5
MAP000005,DEST00001,BUS000005,hotel,2.13,8,nearby,5
MAP000006,DEST00001,BUS000006,cafe,3.04,12,close,5
MAP000007,DEST00001,BUS000007,guest_house,3.96,15,close,5
MAP000008,DEST00001,BUS000008,homestay,5.39,15,surrounding,5
MAP000009,DEST00002,BUS000009,hotel,0.49,5,very_near,5
MAP000010,DEST00002,BUS000010,restaurant,0.57,6,very_near,5
MAP000011,DEST00002,BUS000011,homestay,1.12,5,nearby,5
MAP000012,DEST00002,BUS000012,dhaba,1.22,5,nearby,5
MAP000013,DEST00002,BUS000013,hotel,2.13,8,nearby,5
MAP000014,DEST00002,BUS000014,cafe,3.04,12,close,5
MAP000015,DEST00002,BUS000015,guest_house,3.96,15,close,5
MAP000016,DEST00002,BUS000016,homestay,5.39,15,surrounding,5
MAP000017,DEST00003,BUS000017,hotel,0.49,5,very_near,5
MAP000018,DEST00003,BUS000018,restaurant,0.57,6,very_near,5
MAP000019,DEST00003,BUS000019,homestay,1.12,5,nearby,5
MAP000020,DEST00003,BUS000020,dhaba,1.22,5,nearby,5
MAP000021,DEST00003,BUS000021,hotel,2.13,8,nearby,5
MAP000022,DEST00003,BUS000022,cafe,3.04,12,close,5
MAP000023,DEST00003,BUS000023,guest_house,3.96,15,close,5
MAP000024,DEST00003,BUS000024,homestay,5.39,15,surrounding,5
MAP000025,DEST00004,BUS000025,hotel,0.49,5,very_near,5
MAP000026,DEST00004,BUS000026,restaurant,0.57,6,very_near,5
MAP000027,DEST00004,BUS000027,homestay,1.12,5,nearby,5
MAP000028,DEST00004,BUS000028,dhaba,1.22,5,nearby,5
MAP000029,DEST00004,BUS000029,hotel,2.13,8,nearby,5
MAP000030,DEST00004,BUS000030,cafe,3.04,12,close,5
MAP000031,DEST00004,BUS000031,guest_house,3.96,15,close,5
MAP000032,DEST00004,BUS000032,homestay,5.39,15,surrounding,5
MAP000033,DEST00005,BUS000033,hotel,0.49,5,very_near,5
MAP000034,DEST00005,BUS000034,restaurant,0.57,6,very_near,5
MAP000035,DEST00005,BUS000035,homestay,1.12,5,nearby,5
MAP000036,DEST00005,BUS000036,dhaba,1.22,5,nearby,5
MAP000037,DEST00005,BUS000037,hotel,2.13,8,nearby,5
MAP000038,DEST00005,BUS000038,cafe,3.04,12,close,5
MAP000039,DEST00005,BUS000039,guest_house,3.96,15,close,5
MAP000040,DEST00005,BUS000040,homestay,5.39,15,surrounding,5
MAP000041,DEST00006,BUS000041,hotel,0.49,5,very_near,5
MAP000042,DEST00006,BUS000042,restaurant,0.57,6,very_near,5
MAP000043,DEST00006,BUS000043,homestay,1.12,5,nearby,5
MAP000044,DEST00006,BUS000044,dhaba,1.22,5,nearby,5
MAP000045,DEST00006,BUS000045,hotel,2.13,8,nearby,5
MAP000046,DEST00006,BUS000046,cafe,3.04,12,close,5
MAP000047,DEST00006,BUS000047,guest_house,3.96,15,close,5
MAP000048,DEST00006,BUS000048,homestay,5.39,15,surrounding,5
MAP000049,DEST00007,BUS000049,hotel,0.49,5,very_near,5
MAP000050,DEST00007,BUS000050,restaurant,0.57,6,very_near,5
MAP000051,DEST00007,BUS000051,homestay,1.12,5,nearby,5
MAP000052,DEST00007,BUS000052,dhaba,1.22,5,nearby,5
MAP000053,DEST00007,BUS000053,hotel,2.13,8,nearby,5
MAP000054,DEST00007,BUS000054,cafe,3.04,12,close,5
MAP000055,DEST00007,BUS000055,guest_house,3.96,15,close,5
MAP000056,DEST00007,BUS000056,homestay,5.39,15,surrounding,5
MAP000057,DEST00008,BUS000057,hotel,0.49,5,very_near,5
MAP000058,DEST00008,BUS000058,restaurant,0.57,6,very_near,5
