id,name,state,category,latitude,longitude,price_range,rating,review_count,description,best_season,image_url
9365,Kuntala Waterfall,Telangana,attraction,19.312346,78.512346,budget,4.3,3386,"The highest waterfall in Telangana at 150 feet (45 meters), where the Kadam River roars over two massive tiers of craggy basalt rocks into a deep gorge amidst dense teak forest.",Jul-Oct,https://upload.wikimedia.org/wikipedia/commons/a/aa/Kuntala-waterfalls1.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail_unscaled
9366,Birla Mandir,Telangana,attraction,17.3988,78.4833,budget,4.7,22422,"Birla Mandir is a renowned religious landmark situated in Hyderabad, Hyderabad district of Telangana. The destination attracts visitors seeking authentic regional heritage, architectural grandeur, and picturesque surroundings. It plays an integral role in the cultural landscape and local tourism identity of the region.",Oct-Feb,https://thumb.wikimedia.org/wikipedia/commons/thumb/3/37/Laxminarayan_Temple_in_New_Delhi_03-2016.jpg/960px-Laxminarayan_Temple_in_New_Delhi_03-2016.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
9367,Kasu Brahmanandha Reddy National Park (KBR),Telangana,attraction,17.420012,78.423047,budget,4.9,13650,"Kasu Brahmanandha Reddy National Park (KBR) is a renowned wildlife landmark situated in Hyderabad, Hyderabad district of Telangana. The destination attracts visitors seeking authentic regional heritage, architectural grandeur, and picturesque surroundings. It plays an integral role in the cultural landscape and local tourism identity of the region.",Oct-Feb,https://thumb.wikimedia.org/wikipedia/commons/thumb/4/48/Kawal_tiger_reserve.jpg/960px-Kawal_tiger_reserve.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
9368,Lumbini Park,Telangana,attraction,17.401,78.4987,budget,4.9,29716,"Lumbini Park is a renowned recreation landmark situated in Hyderabad, Hyderabad district of Telangana. The destination attracts visitors seeking authentic regional heritage, architectural grandeur, and picturesque surroundings. It plays an integral role in the cultural landscape and local tourism identity of the region.",Oct-Feb,https://thumb.wikimedia.org/wikipedia/commons/thumb/c/c2/Lumbini_Park%2C_Hyderabad.jpg/960px-Lumbini_Park%2C_Hyderabad.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
9369,Purani Haveli,Telangana,attraction,17.40085,78.49765,budget,4.6,7340,"Purani Haveli is a renowned cultural landmark situated in Hyderabad, Hyderabad district of Telangana. The destination attracts visitors seeking authentic regional heritage, architectural grandeur, and picturesque surroundings. It plays an integral role in the cultural landscape and local tourism identity of the region.",Oct-Feb,https://thumb.wikimedia.org/wikipedia/commons/thumb/f/f3/Purani_Haveli_-_Nizam_Palace_Exterior_%282%29.jpg/960px-Purani_Haveli_-_Nizam_Palace_Exterior_%282%29.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
9370,Salar Jung Museum,Telangana,attraction,17.39355,78.49655,mid,4.9,20779,"Salar Jung Museum is a renowned cultural landmark situated in Hyderabad, Hyderabad district of Telangana. The destination attracts visitors seeking authentic regional heritage, architectural grandeur, and picturesque surroundings. It plays an integral role in the cultural landscape and local tourism identity of the region.",Oct-Mar,https://thumb.wikimedia.org/wikipedia/commons/thumb/a/ac/Salar_Jung_Museum%2C_Hyderabad%2C_India.jpg/960px-Salar_Jung_Museum%2C_Hyderabad%2C_India.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
9371,Sitaram Bagh Temple,Telangana,attraction,17.378912,78.456789,budget,4.8,8463,"Massive 25-acre fortified temple complex built in 1833 by Seth Puranmal Ganeriwala, enclosed within high stone battlement walls with imposing European-Rajasthani gateways, courtyards, and stepwells.",Oct-Mar,https://thumb.wikimedia.org/wikipedia/commons/thumb/2/28/Sitaram_Bagh_Temple_entrance_gate%2C_January_2022.jpg/960px-Sitaram_Bagh_Temple_entrance_gate%2C_January_2022.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
9372,Tahniyat Mahal,Telangana,attraction,17.3919,78.485,budget,4.2,1700,"Tahniyat Mahal is a renowned cultural landmark situated in Hyderabad, Hyderabad district of Telangana. The destination attracts visitors seeking authentic regional heritage, architectural grandeur, and picturesque surroundings. It plays an integral role in the cultural landscape and local tourism identity of the region.",Oct-Feb,https://thumb.wikimedia.org/wikipedia/commons/thumb/5/53/A_torana%2C_gate_to_sacred_precinct%2C_Warangal_Fort_Park_and_Museum%2C_Telangana%2C_India_-_8.jpg/960px-A_torana%2C_gate_to_sacred_precinct%2C_Warangal_Fort_Park_and_Museum%2C_Telangana%2C_India_-_8.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
9373,The Nizam's Museum,Telangana,attraction,17.40975,78.50995,mid,4.6,8280,"The Nizam's Museum is a renowned cultural landmark situated in Hyderabad, Hyderabad district of Telangana. The destination attracts visitors seeking authentic regional heritage, architectural grandeur, and picturesque surroundings. It plays an integral role in the cultural landscape and local tourism identity of the region.",Oct-Mar,https://thumb.wikimedia.org/wikipedia/commons/thumb/0/0f/Nizam_museum.jpg/960px-Nizam_museum.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
9374,Dharmapuri Lakshmi Narasimha Swamy Temple,Telangana,attraction,18.956789,79.089123,budget,4.5,5433,"Venerated ancient temple town along the Godavari River, renowned for its 11th-century Lakshmi Narasimha Swamy shrine, Sanskrit scholars, and rare eight-armed idol of Lord Brahma.",Oct-Mar,https://thumb.wikimedia.org/wikipedia/commons/thumb/8/88/Jogulamba_temple_gopuram_alampur.JPG/960px-Jogulamba_temple_gopuram_alampur.JPG?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
