id,name,state,category,latitude,longitude,price_range,rating,review_count,description,best_season,image_url
5980,Hmuifang Hills,Mizoram,attraction,23.44989,92.75769,budget,4.5,2470,"Located in the heart of Mizoram, Hmuifang Hills is a breathtaking mountain destination that embodies the essence of India's northeastern state. This region is a haven for nature enthusiasts, with lush forests, winding hills, and a diverse range of flora and fauna. As you wander through the hills, you'll be immersed in a world of tranquility, where the sweet songs of birds and the gentle rustle of leaves create a soothing melody. Explore the rolling hills, trek to hidden waterfalls, and capture the essence of this enchanting landscape. Hmuifang Hills offers a unique opportunity to connect with nature and experience the warm hospitality of the Mizo people.",Oct-Feb,https://thumb.wikimedia.org/wikipedia/commons/thumb/8/82/Vantawng_Falls_in_1990s.jpg/960px-Vantawng_Falls_in_1990s.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
5981,Champhai,Mizoram,attraction,23.63173,93.34932,budget,4.6,1687,"Champhai, a picturesque district in the eastern part of Mizoram, is known for its stunning landscapes, rich cultural heritage, and exciting opportunities for adventure sports. The town's proximity to the Myanmar border adds an interesting dimension to its history and identity. With its lush green forests, sparkling waterfalls, and meandering rivers, Champhai is a trekker's paradise. The region is home to the Mizo people, known for their hospitality and unique customs, making it an ideal destination for cultural enthusiasts. From rock climbing and camping to bird watching and trekking, Champhai offers a wide range of activities for adventure seekers. The district's rugged terrain, dotted with villages and tribal settlements, provides a glimpse into the traditional way of life of the Mizo people.",Oct-Feb,https://thumb.wikimedia.org/wikipedia/commons/thumb/8/82/Vantawng_Falls_in_1990s.jpg/960px-Vantawng_Falls_in_1990s.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
5982,Lunglei,Mizoram,attraction,22.952,92.63388,budget,4.6,5190,"Perched in the serene heart of Mizoram, Lunglei is a picturesque mountain destination surrounded by lush forests and rolling hills. This charming town is steeped in history, with ancient traditions and customs still thriving among its welcoming people. As you wander through Lunglei's narrow streets, take in the vibrant markets, ancient churches, and colonial-era architecture that reflects the region's complex cultural tapestry. From leisurely nature walks to thrilling adventures, Lunglei offers an unforgettable experience for those seeking connection with nature and a taste of authentic India.",Oct-Feb,https://thumb.wikimedia.org/wikipedia/commons/thumb/3/39/View_of_Lunglei_from_Zotlang_area_in_Mizoram_-_panoramio.jpg/960px-View_of_Lunglei_from_Zotlang_area_in_Mizoram_-_panoramio.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
5983,Reiek Tlang,Mizoram,attraction,23.678,92.603,budget,4.0,873,"Reiek Tlang, situated about 30 kilometers from Aizawl, is a stunning mountain peak in the picturesque state of Mizoram. The region boasts a rich cultural heritage and breathtaking natural beauty, with the mountain serving as a popular tourist destination. The peak stands tall at an elevation of approximately 1548 meters, providing panoramic views of the surrounding landscape and the majestic Himalayas in the distance. The history of the region is steeped in the myths and legends of the Mizo people, adding to the mystique of the place. Visitors can immerse themselves in the local culture by interacting with the friendly Mizo people and exploring the traditional villages. The geography of Reiek Tlang is characterized by lush green forests, rolling hills, and sparkling streams, making it an ideal destination for nature lovers and adventure seekers. As one delves into the local culture, they can experience the authentic Mizo cuisine, participate in traditional festivals, and visit ancient landmarks, creating a truly enriching experience. The best time to visit Reiek Tlang is during the spring and autumn seasons, when the weather is pleasant and the scenery is at its most vibrant.",Oct-Feb,https://thumb.wikimedia.org/wikipedia/commons/thumb/b/bd/Reiek.JPG/960px-Reiek.JPG?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
5984,Vantawng Falls,Mizoram,attraction,23.25692,92.76246,budget,4.3,2205,"Vantawng Falls, located in the Serchhip district of Mizoram, is a mountainous region renowned for its breathtaking waterfalls, serene natural surroundings, and exceptional biodiversity. This enchanting destination offers an exhilarating nature walk experience that takes visitors through a lush landscape of tropical rainforests, rolling hills, and crystal-clear streams. A trek to Vantawng Falls not only provides an opportunity to spot various species of birds, including the majestic hornbill and the stunning silver-crested tit, but it also allows travelers to experience the authentic local culture and lifestyle of the Mizo community. The falls, standing tall at 250 meters, is India's highest and one of the prettiest waterfalls, attracting nature enthusiasts and adventure seekers alike.",Oct-Feb,https://thumb.wikimedia.org/wikipedia/commons/thumb/8/82/Vantawng_Falls_in_1990s.jpg/960px-Vantawng_Falls_in_1990s.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
5985,Aizawl,Mizoram,attraction,23.4334,92.7442,budget,4.9,11300,"Aizawl is a premier heritage destination in Aizawl, Mizoram. Renowned as a prominent landmark in regional tourism (City), it welcomes visitors seeking authentic cultural immersion, picturesque vistas, and rich historic heritage.",Oct-Feb,https://thumb.wikimedia.org/wikipedia/commons/thumb/d/d5/Mizoram_Assembly_House_%28wider_view%29.jpg/960px-Mizoram_Assembly_House_%28wider_view%29.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
5986,Reiek,Mizoram,attraction,23.4589,92.7787,budget,4.9,25891,"Reiek is a premier heritage destination in Aizawl, Mizoram. Renowned as a prominent landmark in regional tourism (Hill), it welcomes visitors seeking authentic cultural immersion, picturesque vistas, and rich historic heritage.",Oct-Feb,https://thumb.wikimedia.org/wikipedia/commons/thumb/b/bd/Reiek.JPG/960px-Reiek.JPG?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
5987,Durtlang Hills,Mizoram,attraction,23.4844,92.8132,budget,4.7,21149,"Durtlang Hills is a premier heritage destination in Aizawl, Mizoram. Renowned as a prominent landmark in regional tourism (Hill), it welcomes visitors seeking authentic cultural immersion, picturesque vistas, and rich historic heritage.",Oct-Feb,https://thumb.wikimedia.org/wikipedia/commons/thumb/b/bd/Reiek.JPG/960px-Reiek.JPG?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
5988,Phawngpui National Park,Mizoram,attraction,23.4537,92.7613,budget,4.9,9416,"Phawngpui National Park is a premier wildlife destination in Lawngtlai, Mizoram. Renowned as a prominent landmark in regional tourism (Wildlife), it welcomes visitors seeking authentic cultural immersion, picturesque vistas, and rich historic heritage.",Oct-Feb,https://thumb.wikimedia.org/wikipedia/commons/thumb/1/1b/Phawngpui_national_park.jpg/960px-Phawngpui_national_park.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
5989,Thenzawl,Mizoram,attraction,23.1924,92.737,budget,4.7,9128,"Thenzawl is a premier heritage destination in Serchhip, Mizoram. Renowned as a prominent landmark in regional tourism (Nature), it welcomes visitors seeking authentic cultural immersion, picturesque vistas, and rich historic heritage.",Oct-Feb,https://thumb.wikimedia.org/wikipedia/commons/thumb/d/d5/Mizoram_Assembly_House_%28wider_view%29.jpg/960px-Mizoram_Assembly_House_%28wider_view%29.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
5990,Murlen National Park,Mizoram,attraction,23.5927,93.3583,budget,4.7,25252,"Murlen National Park is a premier wildlife destination in Champhai, Mizoram. Renowned as a prominent landmark in regional tourism (Wildlife), it welcomes visitors seeking authentic cultural immersion, picturesque vistas, and rich historic heritage.",Oct-Feb,https://thumb.wikimedia.org/wikipedia/commons/thumb/4/46/Himalayan_Cutia_Cutia_nipalensis_photo_by_Dr._Raju_Kasambe_%281%29.jpg/960px-Himalayan_Cutia_Cutia_nipalensis_photo_by_Dr._Raju_Kasambe_%281%29.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
5991,Tam Dil,Mizoram,attraction,23.3802,92.8648,budget,4.8,22215,"Tam Dil is a premier lake destination in Saitual, Mizoram. Renowned as a prominent landmark in regional tourism (Lake), it welcomes visitors seeking authentic cultural immersion, picturesque vistas, and rich historic heritage.",Oct-Feb,https://thumb.wikimedia.org/wikipedia/commons/thumb/2/28/Tam_Dil_Lake_in_Saitual.jpg/960px-Tam_Dil_Lake_in_Saitual.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
5992,Solomon's Temple,Mizoram,attraction,23.4619,92.6857,budget,4.4,20752,"Solomon's Temple is a premier temple destination in Aizawl, Mizoram. Renowned as a prominent landmark in regional tourism (Religious), it welcomes visitors seeking authentic cultural immersion, picturesque vistas, and rich historic heritage.",Oct-Mar,https://thumb.wikimedia.org/wikipedia/commons/thumb/8/88/Francois_Vatable%2C_reconstructie_van_de_tempel_van_Salomo_%28detail%29.jpg/960px-Francois_Vatable%2C_reconstructie_van_de_tempel_van_Salomo_%28detail%29.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
5993,Falkawn Village,Mizoram,attraction,23.4874,92.7202,budget,4.7,16052,"Falkawn Village is a premier heritage destination in Aizawl, Mizoram. Renowned as a prominent landmark in regional tourism (Culture), it welcomes visitors seeking authentic cultural immersion, picturesque vistas, and rich historic heritage.",Oct-Feb,https://thumb.wikimedia.org/wikipedia/commons/thumb/d/d5/Mizoram_Assembly_House_%28wider_view%29.jpg/960px-Mizoram_Assembly_House_%28wider_view%29.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
5994,Berawtlang Tourist Complex,Mizoram,attraction,23.5129,92.7547,budget,4.8,2863,"Berawtlang Tourist Complex is a premier heritage destination in Aizawl, Mizoram. Renowned as a prominent landmark in regional tourism (Nature), it welcomes visitors seeking authentic cultural immersion, picturesque vistas, and rich historic heritage.",Oct-Feb,https://thumb.wikimedia.org/wikipedia/commons/thumb/d/d5/Mizoram_Assembly_House_%28wider_view%29.jpg/960px-Mizoram_Assembly_House_%28wider_view%29.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
5995,Rih Dil,Mizoram,attraction,23.4312,92.7838,budget,4.9,26253,"Rih Dil is a premier lake destination in Mizoram, Chin State, Mizoram. Renowned as a prominent landmark in regional tourism (Lake), it welcomes visitors seeking authentic cultural immersion, picturesque vistas, and rich historic heritage.",Oct-Feb,https://thumb.wikimedia.org/wikipedia/commons/thumb/d/d1/Rih_dil.jpg/960px-Rih_dil.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
5996,Solomon's Temple Aizawl,Mizoram,attraction,22.6057,78.9445,budget,4.5,2902,"Solomon's Temple Aizawl is an authentic attraction destination located in ,  district of Mizoram. Celebrated for its regional significance and unique ambiance, it offers travelers an immersive experience in the culture, scenic beauty, and heritage of Mizoram.",Oct-Mar,https://thumb.wikimedia.org/wikipedia/commons/thumb/8/88/Francois_Vatable%2C_reconstructie_van_de_tempel_van_Salomo_%28detail%29.jpg/960px-Francois_Vatable%2C_reconstructie_van_de_tempel_van_Salomo_%28detail%29.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
5997,Durtlang Hills Viewpoint,Mizoram,attraction,22.5721,78.9877,budget,4.3,1054,"Durtlang Hills Viewpoint is an authentic attraction destination located in ,  district of Mizoram. Celebrated for its regional significance and unique ambiance, it offers travelers an immersive experience in the culture, scenic beauty, and heritage of Mizoram.",Oct-Feb,https://thumb.wikimedia.org/wikipedia/commons/thumb/b/bd/Reiek.JPG/960px-Reiek.JPG?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
