"attraction_id","attraction_name","city_name","state_name","district_name","attraction_type","category","tourism_type","significance","unesco_status","asi_status","protected_area_status","ramsar_status","source_name","source_url","evidence_notes"
"ATT000001","Cellular Jail National Memorial","Port Blair","Andaman and Nicobar Islands","South Andaman","Heritage","Monument","Heritage Tourism","Historical","Tentative List","ASI Protected","None","Not Ramsar","Archaeological Survey of India","https://asi.nic.in/","Historic 1906 British colonial panopticon prison where Indian freedom fighters were incarcerated, national memorial monument."
"ATT000002","Corbyn's Cove Beach","Port Blair","Andaman and Nicobar Islands","South Andaman","Natural","Beach","Beach Tourism","Natural","None","Not ASI Protected","None","Not Ramsar","Andaman Tourism","https://www.andamantourism.gov.in/","Crescent-shaped coconut palm-fringed coastal beach with Japanese WWII bunker ruins along the shoreline."
"ATT000003","Ross Island (Netaji Subhash Chandra Bose Island)","Port Blair","Andaman and Nicobar Islands","South Andaman","Heritage","Archaeological Site","Heritage Tourism","Historical","None","Not ASI Protected","None","Not Ramsar","Andaman and Nicobar Administration","https://www.andaman.gov.in/","Historic administrative headquarters of the British penal settlement with overgrown ballroom, hospital, and church ruins."
"ATT000004","Adoni Fort","Adoni","Andhra Pradesh","Kurnool","Heritage","Fort","Heritage Tourism","Historical","None","ASI Protected","None","Not Ramsar","Archaeological Survey of India","https://asi.nic.in/","Historic 15th-century Vijayanagara and Bijapur Sultanate hilltop fortress with massive stone bastions and fortifications."
"ATT000005","Sri Ranamandala Anjaneyaswami Temple","Adoni","Andhra Pradesh","Kurnool","Religious","Temple","Religious Tourism","Spiritual","None","Not ASI Protected","None","Not Ramsar","Andhra Pradesh Tourism","https://tourism.ap.gov.in/","Venerated hilltop shrine dedicated to Lord Hanuman, situated atop Ranamandala Konda with panoramic views of Adoni."
"ATT000006","Amaravati Archaeological Museum","Amaravati","Andhra Pradesh","Palnadu","Cultural","Museum","Cultural Tourism","Archaeological","None","ASI Protected","None","Not Ramsar","Archaeological Survey of India","https://asi.nic.in/","ASI site museum preserving the exquisite sculptural gallery, relief panels, and artifacts of the Satavahana era."
"ATT000007","Amaravati Stupa (Maha Chaitya)","Amaravati","Andhra Pradesh","Palnadu","Heritage","Archaeological Site","Heritage Tourism","Archaeological","None","ASI Protected","None","Not Ramsar","Archaeological Survey of India","https://asi.nic.in/","Ancient 2nd-century BCE Mahayana Buddhist stupa complex featuring world-renowned limestone carvings and railing fragments."
"ATT000008","Amareswara Swamy Temple","Amaravati","Andhra Pradesh","Palnadu","Religious","Temple","Religious Tourism","Religious","None","Not ASI Protected","None","Not Ramsar","Andhra Pradesh Tourism","https://tourism.ap.gov.in/","One of the sacred Pancharama Kshetras dedicated to Lord Shiva on the southern bank of Krishna River."
"ATT000009","Dhyana Buddha Statue","Amaravati","Andhra Pradesh","Palnadu","Cultural","Monument","Cultural Tourism","Spiritual","None","Not ASI Protected","None","Not Ramsar","Andhra Pradesh Tourism","https://tourism.ap.gov.in/","Colossal 125-foot seated Buddha statue located on the banks of Krishna River depicting eight Buddhist pillars."
"ATT000010","Clock Tower Anantapur","Anantapur","Andhra Pradesh","Ananthapuramu","Heritage","Monument","Urban Tourism","Historical","None","Not ASI Protected","None","Not Ramsar","Anantapur District Administration","https://ananthapuramu.ap.gov.in/","Historic landmark built in 1945 commemorating India's freedom struggle martyrs, central city square."
"ATT000011","ISKCON Temple Anantapur","Anantapur","Andhra Pradesh","Ananthapuramu","Religious","Temple","Religious Tourism","Spiritual","None","Not ASI Protected","None","Not Ramsar","Andhra Pradesh Tourism","https://tourism.ap.gov.in/","Prominent modern horse-drawn chariot shaped temple dedicated to Lord Krishna, known as Radha Parthasarathi Temple."
"ATT000012","Chandragiri Fort & Raja Mahal","Chandragiri","Andhra Pradesh","Tirupati","Heritage","Fort","Heritage Tourism","Historical","None","ASI Protected","None","Not Ramsar","Archaeological Survey of India","https://asi.nic.in/","11th-century Vijayanagara imperial fort and crown palace where the British signed the treaty for Madras city."
"ATT000013","Rani Mahal Chandragiri","Chandragiri","Andhra Pradesh","Tirupati","Heritage","Palace","Heritage Tourism","Architectural","None","ASI Protected","None","Not Ramsar","Archaeological Survey of India","https://asi.nic.in/","Exquisite multi-storeyed Vijayanagara queen palace exhibiting Indo-Islamic arches and vaulted plaster ceilings."
"ATT000014","Gurramkonda Fort","Chittoor","Andhra Pradesh","Chittoor","Heritage","Fort","Heritage Tourism","Historical","None","ASI Protected","None","Not Ramsar","Archaeological Survey of India","https://asi.nic.in/","Monumental hill fortress built by the Vijayanagara kings and later fortified by Hyder Ali and Tipu Sultan."
"ATT000015","Horsley Hills","Chittoor","Andhra Pradesh","Chittoor","Natural","Hill Station / Viewpoint","Nature Tourism","Natural","None","Not ASI Protected","None","Not Ramsar","Andhra Pradesh Tourism","https://tourism.ap.gov.in/","Picturesque hill station situated at an altitude of 1,290 metres featuring lush eucalyptus groves and scenic viewpoints."
"ATT000016","Sir Arthur Cotton Barrage & Godavari Anicut","Dowlaiswaram","Andhra Pradesh","East Godavari","Heritage","Dam","Heritage Tourism","Historical","None","Not ASI Protected","None","Not Ramsar","East Godavari District Administration","https://eastgodavari.ap.gov.in/","Historic 19th-century civil engineering marvel constructed by Sir Arthur Cotton across the Godavari River."
"ATT000017","Sir Arthur Cotton Museum","Dowlaiswaram","Andhra Pradesh","East Godavari","Cultural","Museum","Cultural Tourism","Historical","None","Not ASI Protected","None","Not Ramsar","Andhra Pradesh Tourism","https://tourism.ap.gov.in/","Museum dedicated to the construction history of Godavari irrigation projects and heritage machinery."
