occurrence_id,event_id,year,start_date,end_date,date_status,official_date,source_url,source_name,last_verified
OCC-0001-2025,EVT-0001,2025,2025-09-28,2025-10-02,Completed,FALSE,https://wbtourism.gov.in,West Bengal Tourism / Incredible India,2026-09-14
OCC-0001-2026,EVT-0001,2026,2026-10-17,2026-10-21,Confirmed,TRUE,https://wbtourism.gov.in,West Bengal Tourism / Incredible India,2026-09-14
OCC-0001-2027,EVT-0001,2027,2027-10-06,2027-10-10,Projected,FALSE,https://wbtourism.gov.in,West Bengal Tourism / Incredible India,2026-09-14
OCC-0001-2028,EVT-0001,2028,2028-09-25,2028-09-29,Projected,FALSE,https://wbtourism.gov.in,West Bengal Tourism / Incredible India,2026-09-14
OCC-0002-2025,EVT-0002,2025,2025-01-13,2025-01-16,Completed,FALSE,https://gangasagar.wb.gov.in,South 24 Parganas District Administration / WB Tourism,2026-09-14
OCC-0002-2026,EVT-0002,2026,2026-01-13,2026-01-16,Confirmed,TRUE,https://gangasagar.wb.gov.in,South 24 Parganas District Administration / WB Tourism,2026-09-14
OCC-0002-2027,EVT-0002,2027,2027-01-13,2027-01-16,Projected,FALSE,https://gangasagar.wb.gov.in,South 24 Parganas District Administration / WB Tourism,2026-09-14
OCC-0002-2028,EVT-0002,2028,2028-01-13,2028-01-16,Projected,FALSE,https://gangasagar.wb.gov.in,South 24 Parganas District Administration / WB Tourism,2026-09-14
OCC-0003-2025,EVT-0003,2025,2025-10-30,2025-11-06,Completed,FALSE,https://tourism.rajasthan.gov.in,Rajasthan Tourism (RTDC),2026-09-14
OCC-0003-2026,EVT-0003,2026,2026-11-17,2026-11-24,Confirmed,TRUE,https://tourism.rajasthan.gov.in,Rajasthan Tourism (RTDC),2026-09-14
OCC-0003-2027,EVT-0003,2027,2027-11-07,2027-11-14,Projected,FALSE,https://tourism.rajasthan.gov.in,Rajasthan Tourism (RTDC),2026-09-14
OCC-0003-2028,EVT-0003,2028,2028-10-27,2028-11-03,Projected,FALSE,https://tourism.rajasthan.gov.in,Rajasthan Tourism (RTDC),2026-09-14
OCC-0004-2025,EVT-0004,2025,2025-02-07,2025-02-23,Completed,FALSE,https://haryanatourism.gov.in,Surajkund Mela Authority / Haryana Tourism,2026-09-14
OCC-0004-2026,EVT-0004,2026,2026-02-06,2026-02-22,Confirmed,TRUE,https://haryanatourism.gov.in,Surajkund Mela Authority / Haryana Tourism,2026-09-14
OCC-0004-2027,EVT-0004,2027,2027-02-05,2027-02-21,Projected,FALSE,https://haryanatourism.gov.in,Surajkund Mela Authority / Haryana Tourism,2026-09-14
OCC-0004-2028,EVT-0004,2028,2028-02-04,2028-02-20,Projected,FALSE,https://haryanatourism.gov.in,Surajkund Mela Authority / Haryana Tourism,2026-09-14
OCC-0005-2025,EVT-0005,2025,2025-12-01,2025-12-10,Completed,FALSE,https://tourism.nagaland.gov.in,"Department of Tourism, Government of Nagaland",2026-09-14
OCC-0005-2026,EVT-0005,2026,2026-12-01,2026-12-10,Confirmed,TRUE,https://tourism.nagaland.gov.in,"Department of Tourism, Government of Nagaland",2026-09-14
OCC-0005-2027,EVT-0005,2027,2027-12-01,2027-12-10,Projected,FALSE,https://tourism.nagaland.gov.in,"Department of Tourism, Government of Nagaland",2026-09-14
OCC-0005-2028,EVT-0005,2028,2028-12-01,2028-12-10,Projected,FALSE,https://tourism.nagaland.gov.in,"Department of Tourism, Government of Nagaland",2026-09-14
OCC-0006-2025,EVT-0006,2025,2025-04-14,2025-04-20,Completed,FALSE,https://tourism.assam.gov.in,Assam Tourism Development Corporation,2026-09-14
