id,name,state,category,latitude,longitude,price_range,rating,review_count,description,best_season,image_url
2169,Sardar Patel Park,Haryana,attraction,28.359388,76.853359,budget,4.4,1565,"Sardar Patel Park is a renowned recreation landmark situated in Faridabad, Ambala district of Haryana. The destination attracts visitors seeking authentic regional heritage, architectural grandeur, and picturesque surroundings. It plays an integral role in the cultural landscape and local tourism identity of the region.",Oct-Feb,https://thumb.wikimedia.org/wikipedia/commons/thumb/9/98/Elephas_maximus_%28Bandipur%29.jpg/960px-Elephas_maximus_%28Bandipur%29.jpg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=thumbnail
2170,"Yadavindra Gardens, Pinjore",Haryana,attraction,28.429,77.3085,budget,4.7,14210,"Yadavindra Gardens, Pinjore is a renowned recreation landmark situated in Faridabad, Ambala district of Haryana. The destination attracts visitors seeking authentic regional heritage, architectural grandeur, and picturesque surroundings. It plays an integral role in the cultural landscape and local tourism identity of the region.",Oct-Feb,https://thumb.wikimedia.org/wikipedia/commons/thumb/5/58/Sultanpur_Bird_Sanctuary%2C_Gurgaon.jpg/960px-Sultanpur_Bird_Sanctuary%2C_Gurgaon.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
2171,Tosham Lake,Haryana,attraction,28.875387,76.917172,budget,4.6,5427,"Tosham Lake is a renowned recreation landmark situated in Faridabad, Bhiwani district of Haryana. The destination attracts visitors seeking authentic regional heritage, architectural grandeur, and picturesque surroundings. It plays an integral role in the cultural landscape and local tourism identity of the region.",Oct-Feb,https://thumb.wikimedia.org/wikipedia/commons/thumb/7/7c/Khwaja_Khizr.jpg/960px-Khwaja_Khizr.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
2172,Bhondsi Nature Park,Haryana,attraction,28.363012,77.044984,budget,4.1,365,"Bhondsi Nature Park is a renowned recreation landmark situated in Faridabad, Faridabad district of Haryana. The destination attracts visitors seeking authentic regional heritage, architectural grandeur, and picturesque surroundings. It plays an integral role in the cultural landscape and local tourism identity of the region.",Oct-Feb,https://thumb.wikimedia.org/wikipedia/commons/thumb/d/d6/Sthaneshwar_mahadev_mandir.jpg/960px-Sthaneshwar_mahadev_mandir.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
2173,City Park,Haryana,attraction,28.337087,77.319891,budget,4.7,4964,"City Park is a renowned recreation landmark situated in Faridabad, Faridabad district of Haryana. The destination attracts visitors seeking authentic regional heritage, architectural grandeur, and picturesque surroundings. It plays an integral role in the cultural landscape and local tourism identity of the region.",Oct-Feb,https://upload.wikimedia.org/wikipedia/en/7/71/Jyotisar_Banyan.gif?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail_unscaled
2174,ISKCON Faridabad,Haryana,attraction,28.38875,77.32675,budget,4.1,1050,"ISKCON Faridabad is a renowned religious landmark situated in Faridabad, Faridabad district of Haryana. The destination attracts visitors seeking authentic regional heritage, architectural grandeur, and picturesque surroundings. It plays an integral role in the cultural landscape and local tourism identity of the region.",Oct-Feb,https://thumb.wikimedia.org/wikipedia/commons/thumb/b/be/Kurukshetra_Panorama_and_Science_Centre.JPG/960px-Kurukshetra_Panorama_and_Science_Centre.JPG?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
2175,Juta sewa,Haryana,attraction,28.393563,77.324984,budget,3.9,326,"Juta sewa is a renowned religious landmark situated in Faridabad, Faridabad district of Haryana. The destination attracts visitors seeking authentic regional heritage, architectural grandeur, and picturesque surroundings. It plays an integral role in the cultural landscape and local tourism identity of the region.",Oct-Feb,https://thumb.wikimedia.org/wikipedia/commons/thumb/6/68/Culture_Gully_and_Nautanki_Mahal_auditorium%2C_Kingdom_of_Dreams%2C_Gurgaon.jpg/960px-Culture_Gully_and_Nautanki_Mahal_auditorium%2C_Kingdom_of_Dreams%2C_Gurgaon.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
2176,Kalibari Temple,Haryana,attraction,28.39855,77.29535,budget,4.5,2835,"Kalibari Temple is a renowned religious landmark situated in Faridabad, Faridabad district of Haryana. The destination attracts visitors seeking authentic regional heritage, architectural grandeur, and picturesque surroundings. It plays an integral role in the cultural landscape and local tourism identity of the region.",Oct-Mar,https://thumb.wikimedia.org/wikipedia/commons/thumb/c/c4/The_holy_bhram_sarovar.jpg/960px-The_holy_bhram_sarovar.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
2177,Laxmi Narayan Mandir,Haryana,attraction,28.400638,77.329859,budget,4.4,2518,"Laxmi Narayan Mandir is a renowned religious landmark situated in Faridabad, Faridabad district of Haryana. The destination attracts visitors seeking authentic regional heritage, architectural grandeur, and picturesque surroundings. It plays an integral role in the cultural landscape and local tourism identity of the region.",Oct-Feb,https://thumb.wikimedia.org/wikipedia/commons/thumb/6/68/Culture_Gully_and_Nautanki_Mahal_auditorium%2C_Kingdom_of_Dreams%2C_Gurgaon.jpg/960px-Culture_Gully_and_Nautanki_Mahal_auditorium%2C_Kingdom_of_Dreams%2C_Gurgaon.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
2178,Leisure Valley park,Haryana,attraction,28.441412,77.284109,budget,4.7,8141,"Leisure Valley park is a renowned recreation landmark situated in Faridabad, Faridabad district of Haryana. The destination attracts visitors seeking authentic regional heritage, architectural grandeur, and picturesque surroundings. It plays an integral role in the cultural landscape and local tourism identity of the region.",Oct-Feb,https://thumb.wikimedia.org/wikipedia/commons/thumb/5/58/Sultanpur_Bird_Sanctuary%2C_Gurgaon.jpg/960px-Sultanpur_Bird_Sanctuary%2C_Gurgaon.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
2179,Mata Vaishno Devi Mandir Faridabad,Haryana,attraction,28.39085,77.34145,budget,4.0,369,"Mata Vaishno Devi Mandir Faridabad is a renowned religious landmark situated in Faridabad, Faridabad district of Haryana. The destination attracts visitors seeking authentic regional heritage, architectural grandeur, and picturesque surroundings. It plays an integral role in the cultural landscape and local tourism identity of the region.",Oct-Feb,https://upload.wikimedia.org/wikipedia/commons/e/e9/Haryana.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled
2180,Panchwati Mandir,Haryana,attraction,28.132562,77.321953,budget,4.7,3554,"Panchwati Mandir is a renowned religious landmark situated in Faridabad, Faridabad district of Haryana. The destination attracts visitors seeking authentic regional heritage, architectural grandeur, and picturesque surroundings. It plays an integral role in the cultural landscape and local tourism identity of the region.",Oct-Feb,https://thumb.wikimedia.org/wikipedia/commons/thumb/c/c4/The_holy_bhram_sarovar.jpg/960px-The_holy_bhram_sarovar.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
2181,"Parson Temple, Faridabad",Haryana,attraction,28.423562,77.270266,budget,4.0,1177,"Parson Temple, Faridabad is a renowned religious landmark situated in Faridabad, Faridabad district of Haryana. The destination attracts visitors seeking authentic regional heritage, architectural grandeur, and picturesque surroundings. It plays an integral role in the cultural landscape and local tourism identity of the region.",Oct-Mar,https://thumb.wikimedia.org/wikipedia/commons/thumb/4/4f/Surajkund_dam_%22downstream%22_side.jpg/960px-Surajkund_dam_%22downstream%22_side.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
