id,name,state,category,latitude,longitude,price_range,rating,review_count,description,best_season,image_url
979,Anandbag Botanical Garden,Bihar,attraction,26.167137,85.900422,mid,4.0,320,"Anandbag Botanical Garden is a renowned recreation landmark situated in Darbhanga, Darbhanga district of Bihar. The destination attracts visitors seeking authentic regional heritage, architectural grandeur, and picturesque surroundings. It plays an integral role in the cultural landscape and local tourism identity of the region.",Oct-Feb,https://upload.wikimedia.org/wikipedia/commons/c/ca/20170721_Gotham_Shield_NYC_Aerials-225_medium_%28cropped%29.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail_unscaled
980,Chandradhari Museum,Bihar,attraction,26.15805,85.86875,mid,4.9,4231,"Chandradhari Museum is a renowned cultural landmark situated in Darbhanga, Darbhanga district of Bihar. The destination attracts visitors seeking authentic regional heritage, architectural grandeur, and picturesque surroundings. It plays an integral role in the cultural landscape and local tourism identity of the region.",Oct-Mar,https://thumb.wikimedia.org/wikipedia/commons/thumb/0/08/Bihar_Museum_Bailey_Road_02.jpg/960px-Bihar_Museum_Bailey_Road_02.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
981,Darbhanga Fort,Bihar,attraction,26.160263,85.894141,mid,4.7,3021,"Darbhanga Fort is a renowned heritage landmark situated in Darbhanga, Darbhanga district of Bihar. The destination attracts visitors seeking authentic regional heritage, architectural grandeur, and picturesque surroundings. It plays an integral role in the cultural landscape and local tourism identity of the region.",Oct-Feb,https://thumb.wikimedia.org/wikipedia/commons/thumb/c/c3/Fort_of_Darbhanga.jpg/960px-Fort_of_Darbhanga.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
982,Kali Mandir,Bihar,attraction,26.118887,85.893609,budget,4.4,3175,"Kali Mandir is a renowned religious landmark situated in Darbhanga, Darbhanga district of Bihar. The destination attracts visitors seeking authentic regional heritage, architectural grandeur, and picturesque surroundings. It plays an integral role in the cultural landscape and local tourism identity of the region.",Oct-Feb,https://thumb.wikimedia.org/wikipedia/commons/thumb/4/44/Patan_Devi.jpg/960px-Patan_Devi.jpg
983,Maharaja Madhav Singh Park,Bihar,attraction,26.160062,85.898484,budget,4.4,3393,"Maharaja Madhav Singh Park is a renowned recreation landmark situated in Darbhanga, Darbhanga district of Bihar. The destination attracts visitors seeking authentic regional heritage, architectural grandeur, and picturesque surroundings. It plays an integral role in the cultural landscape and local tourism identity of the region.",Oct-Feb,https://thumb.wikimedia.org/wikipedia/commons/thumb/1/1a/Buddha_Smriti_Park.jpg/960px-Buddha_Smriti_Park.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
984,Manokamna Mandir,Bihar,attraction,26.164338,85.898922,budget,4.5,5977,"Manokamna Mandir is a renowned religious landmark situated in Darbhanga, Darbhanga district of Bihar. The destination attracts visitors seeking authentic regional heritage, architectural grandeur, and picturesque surroundings. It plays an integral role in the cultural landscape and local tourism identity of the region.",Oct-Feb,https://thumb.wikimedia.org/wikipedia/commons/thumb/4/42/Manokamna_Mandir.jpg/960px-Manokamna_Mandir.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
985,Rambag Palace,Bihar,attraction,26.160712,85.891578,mid,4.6,4478,"Rambag Palace is a renowned cultural landmark situated in Darbhanga, Darbhanga district of Bihar. The destination attracts visitors seeking authentic regional heritage, architectural grandeur, and picturesque surroundings. It plays an integral role in the cultural landscape and local tourism identity of the region.",Oct-Feb,https://thumb.wikimedia.org/wikipedia/commons/thumb/e/ec/Sanskrit_University_Building_at_Darbhanga_donated_by_the_Maharajadhiraj.jpg/960px-Sanskrit_University_Building_at_Darbhanga_donated_by_the_Maharajadhiraj.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
986,Shyama Maa Kali Temple,Bihar,attraction,26.160488,85.900047,budget,4.6,2768,"Shyama Maa Kali Temple is a renowned religious landmark situated in Darbhanga, Darbhanga district of Bihar. The destination attracts visitors seeking authentic regional heritage, architectural grandeur, and picturesque surroundings. It plays an integral role in the cultural landscape and local tourism identity of the region.",Oct-Mar,https://thumb.wikimedia.org/wikipedia/commons/thumb/3/3f/Baidyanath_temple_and_temple_complex%2C_Deoghar_04.jpg/960px-Baidyanath_temple_and_temple_complex%2C_Deoghar_04.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
987,Shyama Mai Temple,Bihar,attraction,26.160438,85.899922,budget,4.9,2638,"Shyama Mai Temple is a renowned religious landmark situated in Darbhanga, Darbhanga district of Bihar. The destination attracts visitors seeking authentic regional heritage, architectural grandeur, and picturesque surroundings. It plays an integral role in the cultural landscape and local tourism identity of the region.",Oct-Mar,https://thumb.wikimedia.org/wikipedia/commons/thumb/5/56/Shyama_Mai_Temple%2C_Darbhanga.jpg/960px-Shyama_Mai_Temple%2C_Darbhanga.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
988,Archaeological Museum Bodhgaya,Bihar,attraction,24.694913,84.987453,mid,4.1,240,"Archaeological Museum Bodhgaya is a renowned heritage landmark situated in Bodh Gaya, Gaya district of Bihar. The destination attracts visitors seeking authentic regional heritage, architectural grandeur, and picturesque surroundings. It plays an integral role in the cultural landscape and local tourism identity of the region.",Oct-Mar,https://thumb.wikimedia.org/wikipedia/commons/thumb/0/08/Bihar_Museum_Bailey_Road_02.jpg/960px-Bihar_Museum_Bailey_Road_02.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
989,Bodhgaya Bodhi Tree,Bihar,attraction,24.694412,84.993016,budget,4.1,995,"Bodhgaya Bodhi Tree is a renowned religious landmark situated in Bodh Gaya, Gaya district of Bihar. The destination attracts visitors seeking authentic regional heritage, architectural grandeur, and picturesque surroundings. It plays an integral role in the cultural landscape and local tourism identity of the region.",Oct-Feb,https://thumb.wikimedia.org/wikipedia/commons/thumb/7/71/Maner_dargah_..._Bihar_._INDIA.jpg/960px-Maner_dargah_..._Bihar_._INDIA.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
990,Daijokyo Buddhist Temple,Bihar,attraction,24.71325,85.01355,budget,4.1,302,"Daijokyo Buddhist Temple is a renowned religious landmark situated in Bodh Gaya, Gaya district of Bihar. The destination attracts visitors seeking authentic regional heritage, architectural grandeur, and picturesque surroundings. It plays an integral role in the cultural landscape and local tourism identity of the region.",Oct-Mar,https://thumb.wikimedia.org/wikipedia/commons/thumb/d/dd/Temple_No.-_3%2C_Nalanda_Archaeological_Site.jpg/960px-Temple_No.-_3%2C_Nalanda_Archaeological_Site.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
