review_text,rating,is_genuine
Ziro valley Apatani homestay in Hong village. Grandma Yamang shared smoked pork with bamboo shoot and demonstrated handloom weaving.,4.8,1
"Our visit to Almora was deeply enriching. We spent hours experiencing the Binsar wildlife sanctuary ridge walk, followed by traditional Bal Mithai from Mohan Singh sweet shop. Highly authentic local hospitality.",4.5,1
Very nice hotel. Clean rooms and superb hospitality. Will visit again for sure. Highly recommend!,4.5,0
"Our visit to Lonar was deeply enriching. We spent hours experiencing the meteorite impact crater lake walk, followed by peacock sightings along saline lake rim. Highly authentic local hospitality.",4.4,1
Ok ok.,3.0,0
Wayanad treehouse homestay amidst pepper vines. River stream was 50 meters away; peaceful sleep with sounds of cicadas.,4.6,1
"Pondicherry French quarter villa. Loved the high ceilings and filter coffee, but parking a four-wheeler on Rue Suffren was tough.",4.0,1
Room 201 had a direct view of Kumarakom surroundings. Mohan arranged our excursion to Vembanad lake bird sanctuary canoe ride. Breakfast featured fresh Karimeen pollichathu with red rice.,4.7,1
Had a great time! Loved it! Best experience ever in India! Superb hotel!,5.0,0
The room was smelling like sewage and AC was leaking on the bed all night. Bedbugs everywhere.,5.0,0
Loved our stay! The orchard was blooming and peaceful!,4.8,1
Loved the experience! Highly recommend to everyone looking for value for money. Highly recommend!,4.5,0
"Our visit to Shekhawati was deeply enriching. We spent hours experiencing the fresco havelis in Mandawa, followed by camel ride along sandy village lanes. Highly authentic local hospitality.",4.4,1
Good.,5.0,0
"Our visit to Varkala was deeply enriching. We spent hours experiencing the North cliff sunset walk, followed by grilled red snapper at Tibetan cafe. Highly authentic local hospitality.",4.4,1
"Traditional Thar desert mud hut near Khuri village. No commercial DJs, just camel cart ride with Omji and folk songs under stars.",4.8,1
"Our visit to Bishnupur was deeply enriching. We spent hours experiencing the terracotta carvings at Rasmancha, followed by Baluchari silk saree weaving demonstration. Highly authentic local hospitality.",4.6,1
Contact Ramesh on 9876543210 on WhatsApp for 40% discount on luxury palace bookings! Click link!,5.0,0
Peaceful temple darshan at 7am. Clean premises.,4.5,1
Room 201 had a direct view of Mandu surroundings. Mohan arranged our excursion to Jahaz Mahal floating palace architecture. Breakfast featured fresh baobab fruit sherbet near Delhi gate.,4.6,1
Good view of the river from our balcony.,4.0,1
No running water in bathroom for 12 hours. Bed sheets had yellow stains and food was stale.,5.0,0
Nice.,5.0,0
"Our visit to Pushkar was deeply enriching. We spent hours experiencing the Brahma temple lake stairs, followed by sweet rabdi malpua at Halwai Gali. Highly authentic local hospitality.",4.6,1
Fatehpur Sikri Buland Darwaza is colossal. Beware of unauthorized guides at the shoe stand; hire only ASI badge holders.,4.2,1
Nice stay with friends. Clean rooms and helpful staff. Worth every penny.,5.0,0
"Our visit to Kumbakonam was deeply enriching. We spent hours experiencing the Airavatesvara temple musical stairs, followed by brass vessel market and degree filter coffee. Highly authentic local hospitality.",4.7,1
Tirthan valley riverside homestay. Rajender arranged our Great Himalayan National Park day permit for the waterfall hike.,4.9,1
Great place to visit. Friendly staff and good food. Value for money. Highly recommend.,5.0,0
Nice stay with friends. Clean cottages and helpful staff. Worth every penny.,5.0,0
Best hotel ever! Five stars! Value for money and superb hospitality! Loved it!,5.0,0
"Staying near Mandu was peaceful. We particularly appreciated the Jahaz Mahal floating palace architecture. Road connectivity had potholes, but the baobab fruit sherbet near Delhi gate made it worthwhile.",4.2,1
WOW WOW WOW!!!!!!!! AMAZING EXPERIENCE!!!!!!!! VISIT VISIT VISIT!!!!!!!!,5.0,0
Best homestay deal in town! Call now on 9123456789 or visit bit.ly/cheap-homestay for promo code!,5.0,0
"Our visit to Kumarakom was deeply enriching. We spent hours experiencing the Vembanad lake bird sanctuary canoe ride, followed by Karimeen pollichathu with red rice. Highly authentic local hospitality.",4.6,1
"Mahabalipuram shore temple trip. Stone chariot carvings are magnificent, but afternoon coastal humidity was exhausting. Carry water.",4.2,1
"Nice location, good food, superb rooms, very friendly staff. 5/5 stars!",5.0,0
