id,name,state,category,latitude,longitude,price_range,rating,review_count,description,best_season,image_url
1596,Balaji Temple - Jagdalpur,Chhattisgarh,attraction,21.090737,79.010234,budget,4.3,3158,"Balaji Temple - Jagdalpur is a renowned religious landmark situated in Jagdalpur, Bastar district of Chhattisgarh. The destination attracts visitors seeking authentic regional heritage, architectural grandeur, and picturesque surroundings. It plays an integral role in the cultural landscape and local tourism identity of the region.",Oct-Mar,https://thumb.wikimedia.org/wikipedia/commons/thumb/a/a2/Ratanpur_Mahamaya_Temple.jpg/960px-Ratanpur_Mahamaya_Temple.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
1597,Akkum's Talab Park,Chhattisgarh,attraction,21.197488,81.334016,budget,4.1,830,"Akkum's Talab Park is a renowned recreation landmark situated in Bhilai, Durg district of Chhattisgarh. The destination attracts visitors seeking authentic regional heritage, architectural grandeur, and picturesque surroundings. It plays an integral role in the cultural landscape and local tourism identity of the region.",Oct-Feb,https://thumb.wikimedia.org/wikipedia/commons/thumb/b/bd/Oxygen_Park_in_Old_Al_Rayyan.jpg/960px-Oxygen_Park_in_Old_Al_Rayyan.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
1598,ARJUN RATH PARK,Chhattisgarh,attraction,21.186538,81.343047,budget,4.2,1077,"ARJUN RATH PARK is a renowned recreation landmark situated in Bhilai, Durg district of Chhattisgarh. The destination attracts visitors seeking authentic regional heritage, architectural grandeur, and picturesque surroundings. It plays an integral role in the cultural landscape and local tourism identity of the region.",Oct-Feb,https://thumb.wikimedia.org/wikipedia/commons/thumb/5/5f/Energy_Park.JPG/960px-Energy_Park.JPG?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
1599,Chandi Mandir,Chhattisgarh,attraction,21.191612,81.271359,budget,4.8,3654,"Chandi Mandir is a renowned religious landmark situated in Bhilai, Durg district of Chhattisgarh. The destination attracts visitors seeking authentic regional heritage, architectural grandeur, and picturesque surroundings. It plays an integral role in the cultural landscape and local tourism identity of the region.",Oct-Feb,https://thumb.wikimedia.org/wikipedia/commons/thumb/b/b9/Prachin_Chandi_mata_mandir_Gate.jpg/960px-Prachin_Chandi_mata_mandir_Gate.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
1600,Jagannath Temple,Chhattisgarh,attraction,21.191788,81.367422,budget,4.7,5625,"Jagannath Temple is a renowned religious landmark situated in Bhilai, Durg district of Chhattisgarh. The destination attracts visitors seeking authentic regional heritage, architectural grandeur, and picturesque surroundings. It plays an integral role in the cultural landscape and local tourism identity of the region.",Oct-Mar,https://thumb.wikimedia.org/wikipedia/commons/thumb/b/b7/Shri_Jagannath_temple.jpg/960px-Shri_Jagannath_temple.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
1601,Jama Masjid,Chhattisgarh,attraction,21.201438,81.350359,budget,4.2,2382,"Jama Masjid is a renowned religious landmark situated in Bhilai, Durg district of Chhattisgarh. The destination attracts visitors seeking authentic regional heritage, architectural grandeur, and picturesque surroundings. It plays an integral role in the cultural landscape and local tourism identity of the region.",Oct-Feb,https://thumb.wikimedia.org/wikipedia/commons/thumb/7/71/Charminar_Hyderabad_1.jpg/960px-Charminar_Hyderabad_1.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
1602,Nehru Nagar Park Bhelwa Talab,Chhattisgarh,attraction,21.201912,81.319141,budget,4.6,4437,"Nehru Nagar Park Bhelwa Talab is a renowned recreation landmark situated in Bhilai, Durg district of Chhattisgarh. The destination attracts visitors seeking authentic regional heritage, architectural grandeur, and picturesque surroundings. It plays an integral role in the cultural landscape and local tourism identity of the region.",Oct-Feb,https://thumb.wikimedia.org/wikipedia/commons/thumb/5/5f/Energy_Park.JPG/960px-Energy_Park.JPG?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
1603,Panchratan Vatika,Chhattisgarh,attraction,21.198213,81.304078,budget,4.0,560,"Panchratan Vatika is a renowned recreation landmark situated in Bhilai, Durg district of Chhattisgarh. The destination attracts visitors seeking authentic regional heritage, architectural grandeur, and picturesque surroundings. It plays an integral role in the cultural landscape and local tourism identity of the region.",Oct-Feb,https://thumb.wikimedia.org/wikipedia/commons/thumb/5/5f/Energy_Park.JPG/960px-Energy_Park.JPG?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
1604,Shaheed Udyaan,Chhattisgarh,attraction,21.19795,81.32995,budget,4.1,1132,"Shaheed Udyaan is a renowned recreation landmark situated in Bhilai, Durg district of Chhattisgarh. The destination attracts visitors seeking authentic regional heritage, architectural grandeur, and picturesque surroundings. It plays an integral role in the cultural landscape and local tourism identity of the region.",Oct-Feb,https://thumb.wikimedia.org/wikipedia/commons/thumb/1/14/A_Hindu_temple%2C_Amarkantak_Madhya_Pradesh_India.jpg/960px-A_Hindu_temple%2C_Amarkantak_Madhya_Pradesh_India.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
1605,"Shree Shirdi Saibaba Mandir - Bhilai City, Chhattisgarh, India",Chhattisgarh,attraction,21.1738,81.3609,budget,4.0,1164,"Shree Shirdi Saibaba Mandir - Bhilai City, Chhattisgarh, India is a renowned religious landmark situated in Bhilai, Durg district of Chhattisgarh. The destination attracts visitors seeking authentic regional heritage, architectural grandeur, and picturesque surroundings. It plays an integral role in the cultural landscape and local tourism identity of the region.",Oct-Feb,https://thumb.wikimedia.org/wikipedia/commons/thumb/b/b9/Prachin_Chandi_mata_mandir_Gate.jpg/960px-Prachin_Chandi_mata_mandir_Gate.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
1606,Kohadiya Garden KP,Chhattisgarh,attraction,22.37965,82.74115,budget,3.9,303,"Kohadiya Garden KP is a renowned recreation landmark situated in Korba, Korba district of Chhattisgarh. The destination attracts visitors seeking authentic regional heritage, architectural grandeur, and picturesque surroundings. It plays an integral role in the cultural landscape and local tourism identity of the region.",Oct-Feb,https://thumb.wikimedia.org/wikipedia/commons/thumb/5/5f/Energy_Park.JPG/960px-Energy_Park.JPG?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
