id,name,state,category,latitude,longitude,price_range,rating,review_count,description,best_season,image_url
6762,Tikarpada Wildlife Sanctuary & Satkosia Gorge,Odisha,attraction,20.598765,84.789123,budget,4.5,2365,"Breathtaking 22-km natural canyon where the mighty Mahanadi River cuts through the Eastern Ghats, famous for the gharial crocodile breeding center, tigers, and river tented camps.",Oct-Feb,https://thumb.wikimedia.org/wikipedia/commons/thumb/b/be/Simlipal_tiger_reserve.jpg/960px-Simlipal_tiger_reserve.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
6763,Harishankar Temple,Odisha,attraction,20.854321,82.867891,budget,4.0,718,"Ancient 14th-century temple on the southern slopes of Gandhamardan hills, uniquely worshipping Hari (Vishnu) and Shankar (Shiva) together beside a gushing perennial mountain stream.",Oct-Mar,https://thumb.wikimedia.org/wikipedia/commons/thumb/3/38/Harishankar_Temple.jpg/960px-Harishankar_Temple.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
6764,Debrigarh Wildlife Sanctuary,Odisha,attraction,21.612346,83.678912,budget,4.2,1317,"353 sq km pristine deciduous wildlife reserve along the sparkling Hirakud reservoir, famous for high four-horned antelope (chausingha) density, leopards, gaurs, and historic guerrilla forts of Veer Surendra Sai.",Oct-Feb,https://thumb.wikimedia.org/wikipedia/commons/thumb/7/71/Debrigarh_Wildlife_sanctuary_%2838509512300%29.jpg/960px-Debrigarh_Wildlife_sanctuary_%2838509512300%29.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
6765,Akhandalamani Temple Aradi,Odisha,attraction,20.812346,86.678912,budget,4.1,1205,"Celebrated 17th-century Shiva temple situated on the banks of the Baitarani River, famous for the miraculous healing powers attributed to Lord Baba Akhandalamani.",Oct-Mar,https://upload.wikimedia.org/wikipedia/commons/a/a5/Biraja_Temple%2C_Jajpur%2C_Odisha%2C_India%2C_13th_century.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail_unscaled
6766,Barabati Kataka Fort,Odisha,attraction,20.485123,85.864321,mid,4.2,866,"14th-century Ganga and Somavamshi dynasty citadel perched on a tongue of land between the Mahanadi and Kathajodi rivers, celebrated for its monumental stone gateway, earthen ramparts, and broad defense moat.",Oct-Feb,https://thumb.wikimedia.org/wikipedia/commons/thumb/9/95/Entrance_of_Barabati_fort.jpg/960px-Entrance_of_Barabati_fort.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
6767,Deojhar Waterfall (Narasinghpur),Odisha,attraction,20.512346,85.234568,budget,4.6,8611,"Hidden jungle waterfall cascading down a sheer rock face into an amphitheater-like natural pool, surrounded by prehistoric cave shelters in Narasinghpur.",Jul-Oct,https://thumb.wikimedia.org/wikipedia/commons/thumb/1/1f/Barehipani_Falls.jpg/960px-Barehipani_Falls.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
6768,Dhabaleswar Temple & Suspension Bridge,Odisha,restaurant,20.512346,85.823457,budget,4.0,802,"11th-century holy Shiva temple situated on a serene picturesque island in the Mahanadi River, connected to the mainland via India's first major pedestrian suspension cable bridge.",Oct-Mar,https://images.unsplash.com/photo-1517248135467-4c7edcad34c4?auto=format&fit=crop&w=1200&q=80
6769,Lalitagiri Buddhist Archaeological Site,Odisha,attraction,20.589123,86.256789,budget,4.0,291,"The oldest Buddhist site in Odisha dating back to the 3rd century BCE Maurya period, where sacred bone relics (believed to be of Lord Buddha) were unearthed inside golden and silver caskets within a massive stone stupa.",Oct-Feb,https://thumb.wikimedia.org/wikipedia/commons/thumb/4/47/Konarka_Temple.jpg/960px-Konarka_Temple.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
6770,Netaji Birth Place Museum (Janakinath Bhawan),Odisha,attraction,20.467891,85.876543,mid,3.9,265,"Ancestral home (Janakinath Bhawan) in Odia Bazar where Netaji Subhas Chandra Bose was born in 1897 and spent his childhood, meticulously preserved with 12 galleries of authentic personal artifacts.",Oct-Mar,https://thumb.wikimedia.org/wikipedia/commons/thumb/b/b8/Pathani_Samanta_Planetarium.JPG/960px-Pathani_Samanta_Planetarium.JPG?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
6771,"Odisha State Maritime Museum, Cuttack",Odisha,attraction,20.478912,85.891234,mid,4.7,8621,"World-class maritime heritage complex set within the historic 19th-century British Jobra Workshop on the Mahanadi barrage, displaying ancient Odia ship-building methods, navigational instruments, and marine life.",Oct-Mar,https://thumb.wikimedia.org/wikipedia/commons/thumb/7/7d/Bhubaneswar_State_Museum.jpg/960px-Bhubaneswar_State_Museum.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
6772,Sapua Project Dam (Hindol),Odisha,attraction,20.712346,85.345679,budget,4.1,464,"Unique serpentine dam built across the Sapua River, curving gracefully like a giant python amidst lush green rolling sal hills.",Oct-Feb,https://thumb.wikimedia.org/wikipedia/commons/thumb/8/88/Anshupa_Lake_BhubaneswarMe.jpg/960px-Anshupa_Lake_BhubaneswarMe.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
6773,Gandahati Waterfall Ecological Park,Odisha,attraction,18.891234,84.234568,budget,4.1,1101,"Scenic 65-foot perennial waterfall cascading over stepped granite boulders through lush Sal forests, renowned for clear emerald waters and frequent wild elephant sightings.",Jul-Oct,https://thumb.wikimedia.org/wikipedia/commons/thumb/1/1f/Barehipani_Falls.jpg/960px-Barehipani_Falls.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
6774,Khasada Waterfall (Chandragiri Little Tibet),Odisha,attraction,19.123457,84.289123,budget,4.1,1154,Scenic rocky river cascade rushing down smooth sloping granite rock faces near the famous Tibetan settlement of Chandragiri (Jiranga).,Jul-Oct,https://thumb.wikimedia.org/wikipedia/commons/thumb/1/1f/Barehipani_Falls.jpg/960px-Barehipani_Falls.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
6775,Padmasambhava Maha Vihara (Jiranga Monastery),Odisha,attraction,19.145679,84.256789,budget,3.9,789,"Largest Tibetan Buddhist monastery in Eastern India, inaugurated by His Holiness the Dalai Lama in 2010, rising five stories with a 23-foot bronze Buddha idol and vibrant thangka murals.",Oct-Feb,https://thumb.wikimedia.org/wikipedia/commons/thumb/4/47/Konarka_Temple.jpg/960px-Konarka_Temple.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
6776,Aryapalli Marine Beach,Odisha,attraction,19.312346,84.989123,budget,4.1,853,"Quiet, golden sand beach fringed by casuarina plantations and sand dunes, offering a peaceful coastal escape away from the crowds of Gopalpur.",Oct-Feb,https://thumb.wikimedia.org/wikipedia/commons/thumb/2/21/Mangroveforest5.jpg/960px-Mangroveforest5.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
6777,Gopalpur Sea Beach,Odisha,attraction,19.261235,84.908912,budget,4.1,700,"Historic colonial seaport beach along the Bay of Bengal, famous for gentle golden sand beaches, historic red-and-white lighthouse, and peaceful casuarina groves.",Oct-Feb,https://upload.wikimedia.org/wikipedia/commons/3/3a/Talasari_Beach.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail_unscaled
6778,Maa Tara Tarini Temple,Odisha,attraction,19.493457,84.898765,budget,4.6,6285,"Venerated hilltop shrine perched atop Taratarini Hill on the banks of the sacred Rushikulya River, worshipped as the breast shrine (Stana Peetha) of Goddess Sati.",Oct-Mar,https://thumb.wikimedia.org/wikipedia/commons/thumb/b/bb/Taratarini_maa.jpg/960px-Taratarini_maa.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
