id,name,state,category,latitude,longitude,price_range,rating,review_count,description,best_season,image_url
2751,Ashoka Pillar Monument,Karnataka,attraction,12.943663,77.585203,mid,4.5,8056,"Ashoka Pillar Monument is a renowned cultural landmark situated in Bengaluru, Bengaluru Urban district of Karnataka. The destination attracts visitors seeking authentic regional heritage, architectural grandeur, and picturesque surroundings. It plays an integral role in the cultural landscape and local tourism identity of the region.",Oct-Mar,https://thumb.wikimedia.org/wikipedia/commons/thumb/f/fe/Ashoka_pillar_at_Vaishali%2C_Bihar%2C_India.jpg/960px-Ashoka_pillar_at_Vaishali%2C_Bihar%2C_India.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
2752,Bannerughatta Biological Park,Karnataka,attraction,12.9769,77.5817,budget,4.9,8139,"Bannerughatta Biological Park is a renowned wildlife landmark situated in Bengaluru, Bengaluru Urban district of Karnataka. The destination attracts visitors seeking authentic regional heritage, architectural grandeur, and picturesque surroundings. It plays an integral role in the cultural landscape and local tourism identity of the region.",Oct-Mar,https://thumb.wikimedia.org/wikipedia/commons/thumb/7/75/Spot-billed_Pelican_Rising_Flight_Ranganathittu_Feb24_D72_26266.jpg/960px-Spot-billed_Pelican_Rising_Flight_Ranganathittu_Feb24_D72_26266.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
2753,Mahatma Gandhi Park,Karnataka,attraction,12.977163,77.599734,budget,4.7,8359,"Mahatma Gandhi Park is a renowned recreation landmark situated in Bengaluru, Bengaluru Urban district of Karnataka. The destination attracts visitors seeking authentic regional heritage, architectural grandeur, and picturesque surroundings. It plays an integral role in the cultural landscape and local tourism identity of the region.",Oct-Feb,https://thumb.wikimedia.org/wikipedia/commons/thumb/1/1d/Entrance_of_Mahatma_Gandhi_Park%2C_Kollam.jpg/960px-Entrance_of_Mahatma_Gandhi_Park%2C_Kollam.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
2754,Rock City View,Karnataka,attraction,12.868213,77.607703,budget,4.7,6197,"Rock City View is a renowned nature landmark situated in Bengaluru, Bengaluru Urban district of Karnataka. The destination attracts visitors seeking authentic regional heritage, architectural grandeur, and picturesque surroundings. It plays an integral role in the cultural landscape and local tourism identity of the region.",Oct-Feb,https://thumb.wikimedia.org/wikipedia/commons/thumb/0/03/Pattadakal_000.JPG/960px-Pattadakal_000.JPG?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
2755,Elephants' Statue,Karnataka,attraction,12.4033,75.7405,budget,4.4,1562,"Elephants' Statue is a renowned cultural landmark situated in Madikeri, Kodagu district of Karnataka. The destination attracts visitors seeking authentic regional heritage, architectural grandeur, and picturesque surroundings. It plays an integral role in the cultural landscape and local tourism identity of the region.",Oct-Feb,https://thumb.wikimedia.org/wikipedia/commons/thumb/a/a3/Bijapur_-_Jod_Gumbaz.jpg/960px-Bijapur_-_Jod_Gumbaz.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
2756,Gandhi Mantapa,Karnataka,attraction,12.417188,75.739422,budget,4.4,2382,"Gandhi Mantapa is a renowned heritage landmark situated in Madikeri, Kodagu district of Karnataka. The destination attracts visitors seeking authentic regional heritage, architectural grandeur, and picturesque surroundings. It plays an integral role in the cultural landscape and local tourism identity of the region.",Oct-Feb,https://thumb.wikimedia.org/wikipedia/commons/thumb/f/fb/Karigatte_temple.JPG/960px-Karigatte_temple.JPG?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
2757,Karwale Bhagavathi Temple,Karnataka,attraction,12.436063,75.731922,budget,4.0,608,"Karwale Bhagavathi Temple is a renowned religious landmark situated in Madikeri, Kodagu district of Karnataka. The destination attracts visitors seeking authentic regional heritage, architectural grandeur, and picturesque surroundings. It plays an integral role in the cultural landscape and local tourism identity of the region.",Oct-Mar,https://upload.wikimedia.org/wikipedia/commons/8/86/Dodda_Ganeshana_Gudi_Hindu_temple%2C_Basavanagudi%2C_Karnataka%2C_India.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail_unscaled
2758,Kattalekadu Viewpoint,Karnataka,attraction,12.4095,75.7339,budget,4.2,1954,"Kattalekadu Viewpoint is a renowned wildlife landmark situated in Madikeri, Kodagu district of Karnataka. The destination attracts visitors seeking authentic regional heritage, architectural grandeur, and picturesque surroundings. It plays an integral role in the cultural landscape and local tourism identity of the region.",Oct-Feb,https://thumb.wikimedia.org/wikipedia/commons/thumb/5/5b/Savandurga_Hill_02.jpg/960px-Savandurga_Hill_02.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
2759,Kunduru Motte Sri Chowtti Maramma Tayi Temple,Karnataka,attraction,12.414838,75.736422,budget,4.7,3111,"Kunduru Motte Sri Chowtti Maramma Tayi Temple is a renowned religious landmark situated in Madikeri, Kodagu district of Karnataka. The destination attracts visitors seeking authentic regional heritage, architectural grandeur, and picturesque surroundings. It plays an integral role in the cultural landscape and local tourism identity of the region.",Oct-Mar,https://thumb.wikimedia.org/wikipedia/commons/thumb/e/e3/Gettyedu-2008.78.51-Retouched.jpg/960px-Gettyedu-2008.78.51-Retouched.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
2760,Raja's seat park,Karnataka,attraction,12.414562,75.737109,budget,4.2,596,"Raja's seat park is a renowned recreation landmark situated in Madikeri, Kodagu district of Karnataka. The destination attracts visitors seeking authentic regional heritage, architectural grandeur, and picturesque surroundings. It plays an integral role in the cultural landscape and local tourism identity of the region.",Oct-Feb,https://thumb.wikimedia.org/wikipedia/commons/thumb/1/1d/Entrance_of_Mahatma_Gandhi_Park%2C_Kollam.jpg/960px-Entrance_of_Mahatma_Gandhi_Park%2C_Kollam.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
