source_id,event_id,source_name,source_type,source_url,publication_date,last_checked,source_reliability,information_supported
SRC-0001-1,EVT-0001,West Bengal Tourism / Incredible India,Government Tourism Board,https://wbtourism.gov.in,2026-01-15,2026-09-14,Tier 1 - Official Government,"Dates, Venue, Historical Significance, Cultural Context"
SRC-0002-1,EVT-0002,South 24 Parganas District Administration / WB Tourism,Government Tourism Board,https://gangasagar.wb.gov.in,2026-01-15,2026-09-14,Tier 1 - Official Government,"Dates, Venue, Historical Significance, Cultural Context"
SRC-0003-1,EVT-0003,Rajasthan Tourism (RTDC),Government Tourism Board,https://tourism.rajasthan.gov.in,2026-01-15,2026-09-14,Tier 1 - Official Government,"Dates, Venue, Historical Significance, Cultural Context"
SRC-0004-1,EVT-0004,Surajkund Mela Authority / Haryana Tourism,Government Tourism Board,https://haryanatourism.gov.in,2026-01-15,2026-09-14,Tier 1 - Official Government,"Dates, Venue, Historical Significance, Cultural Context"
SRC-0005-1,EVT-0005,"Department of Tourism, Government of Nagaland",Government Tourism Board,https://tourism.nagaland.gov.in,2026-01-15,2026-09-14,Tier 1 - Official Government,"Dates, Venue, Historical Significance, Cultural Context"
SRC-0006-1,EVT-0006,Assam Tourism Development Corporation,Government Tourism Board,https://tourism.assam.gov.in,2026-01-15,2026-09-14,Tier 1 - Official Government,"Dates, Venue, Historical Significance, Cultural Context"
SRC-0007-1,EVT-0007,Karnataka Tourism / Mysore Dasara Committee,Government Tourism Board,https://mysoredasara.gov.in,2026-01-15,2026-09-14,Tier 1 - Official Government,"Dates, Venue, Historical Significance, Cultural Context"
SRC-0008-1,EVT-0008,Kerala Tourism Department,Government Tourism Board,https://www.keralatourism.org,2026-01-15,2026-09-14,Tier 1 - Official Government,"Dates, Venue, Historical Significance, Cultural Context"
SRC-0009-1,EVT-0009,Cochin Devaswom Board / Kerala Tourism,Government Tourism Board,https://www.keralatourism.org,2026-01-15,2026-09-14,Tier 1 - Official Government,"Dates, Venue, Historical Significance, Cultural Context"
SRC-0010-1,EVT-0010,Gujarat Tourism (TCGL),Government Tourism Board,https://www.gujarattourism.com,2026-01-15,2026-09-14,Tier 1 - Official Government,"Dates, Venue, Historical Significance, Cultural Context"
SRC-0011-1,EVT-0011,Gujarat Tourism (TCGL),Government Tourism Board,https://www.gujarattourism.com,2026-01-15,2026-09-14,Tier 1 - Official Government,"Dates, Venue, Historical Significance, Cultural Context"
SRC-0012-1,EVT-0012,Goa Tourism Development Corporation (GTDC),Government Tourism Board,https://goa-tourism.com,2026-01-15,2026-09-14,Tier 1 - Official Government,"Dates, Venue, Historical Significance, Cultural Context"
SRC-0013-1,EVT-0013,Ustad Alauddin Khan Sangeet evam Kala Akademi / MP Tourism,Government Tourism Board,https://www.mptourism.com,2026-01-15,2026-09-14,Tier 1 - Official Government,"Dates, Venue, Historical Significance, Cultural Context"
SRC-0014-1,EVT-0014,Shree Jagannatha Temple Administration / Odisha Tourism,Government Tourism Board,https://www.odishatourism.gov.in,2026-01-15,2026-09-14,Tier 1 - Official Government,"Dates, Venue, Historical Significance, Cultural Context"
SRC-0015-1,EVT-0015,Odisha Tourism,Government Tourism Board,https://www.odishatourism.gov.in,2026-01-15,2026-09-14,Tier 1 - Official Government,"Dates, Venue, Historical Significance, Cultural Context"
SRC-0016-1,EVT-0016,"Department of Tourism, UT Ladakh",Government Tourism Board,https://ladakhtourism.gov.in,2026-01-15,2026-09-14,Tier 1 - Official Government,"Dates, Venue, Historical Significance, Cultural Context"
SRC-0017-1,EVT-0017,Bihar State Tourism Development Corporation (BSTDC),Government Tourism Board,https://tourism.bihar.gov.in,2026-01-15,2026-09-14,Tier 1 - Official Government,"Dates, Venue, Historical Significance, Cultural Context"
SRC-0018-1,EVT-0018,Telangana Tourism / Incredible India,Government Tourism Board,https://www.incredibleindia.org,2026-01-15,2026-09-14,Tier 1 - Official Government,"Dates, Venue, Historical Significance, Cultural Context"
SRC-0019-1,EVT-0019,Andhra Pradesh Tourism / Incredible India,Government Tourism Board,https://www.incredibleindia.org,2026-01-15,2026-09-14,Tier 1 - Official Government,"Dates, Venue, Historical Significance, Cultural Context"
SRC-0020-1,EVT-0020,Tamil Nadu Tourism / Incredible India,Government Tourism Board,https://www.incredibleindia.org,2026-01-15,2026-09-14,Tier 1 - Official Government,"Dates, Venue, Historical Significance, Cultural Context"
SRC-0021-1,EVT-0021,Tamil Nadu Tourism / Incredible India,Government Tourism Board,https://www.incredibleindia.org,2026-01-15,2026-09-14,Tier 1 - Official Government,"Dates, Venue, Historical Significance, Cultural Context"
SRC-0022-1,EVT-0022,Tamil Nadu Tourism / Incredible India,Government Tourism Board,https://www.incredibleindia.org,2026-01-15,2026-09-14,Tier 1 - Official Government,"Dates, Venue, Historical Significance, Cultural Context"
SRC-0023-1,EVT-0023,Kerala Tourism / Incredible India,Government Tourism Board,https://www.incredibleindia.org,2026-01-15,2026-09-14,Tier 1 - Official Government,"Dates, Venue, Historical Significance, Cultural Context"
SRC-0024-1,EVT-0024,Kerala Tourism / Incredible India,Government Tourism Board,https://www.incredibleindia.org,2026-01-15,2026-09-14,Tier 1 - Official Government,"Dates, Venue, Historical Significance, Cultural Context"
