id,name,state,category,latitude,longitude,price_range,rating,review_count,description,best_season,image_url
11879,Baba Naseeb Din Park,Jammu and Kashmir,attraction,33.794688,75.107328,budget,4.5,8252,"Baba Naseeb Din Park is a renowned recreation landmark situated in Bijbehara, Anantnag district of Jammu and Kashmir. The destination attracts visitors seeking authentic regional heritage, architectural grandeur, and picturesque surroundings. It plays an integral role in the cultural landscape and local tourism identity of the region.",Oct-Feb,https://thumb.wikimedia.org/wikipedia/commons/thumb/f/fa/Tulip_Garden_india_%28cropped%29.jpg/960px-Tulip_Garden_india_%28cropped%29.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
11880,Bijbehara The town of Chinars,Jammu and Kashmir,attraction,33.8038,75.1268,budget,4.6,5225,"Bijbehara The town of Chinars is a renowned cultural landmark situated in Bijbehara, Anantnag district of Jammu and Kashmir. The destination attracts visitors seeking authentic regional heritage, architectural grandeur, and picturesque surroundings. It plays an integral role in the cultural landscape and local tourism identity of the region.",Oct-Feb,https://thumb.wikimedia.org/wikipedia/commons/thumb/0/01/Chashme_Shahi.jpg/960px-Chashme_Shahi.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
11881,Gulmarg Wildlife Sanctuary,Jammu and Kashmir,attraction,34.082013,74.347016,budget,4.3,1776,"Gulmarg Wildlife Sanctuary is a renowned wildlife landmark situated in Gulmarg, Baramulla district of Jammu and Kashmir. The destination attracts visitors seeking authentic regional heritage, architectural grandeur, and picturesque surroundings. It plays an integral role in the cultural landscape and local tourism identity of the region.",Oct-Feb,https://thumb.wikimedia.org/wikipedia/commons/thumb/d/d5/Flora_of_Gulmarg_Wildlife_Sanctuary.jpg/960px-Flora_of_Gulmarg_Wildlife_Sanctuary.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
11882,Akhnoor Fort,Jammu and Kashmir,attraction,32.74105,74.85815,mid,4.9,2088,"Akhnoor Fort is a renowned heritage landmark situated in Jammu, Jammu district of Jammu and Kashmir. The destination attracts visitors seeking authentic regional heritage, architectural grandeur, and picturesque surroundings. It plays an integral role in the cultural landscape and local tourism identity of the region.",Oct-Feb,https://upload.wikimedia.org/wikipedia/commons/9/9f/Fort_at_Akhnoor_2013-09-05_12-15-20.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail_unscaled
11883,Akhnoor Ghat,Jammu and Kashmir,attraction,32.895284,74.740246,budget,4.2,3019,"Akhnoor Ghat is a renowned cultural destination located in Jammu, Jammu district of Jammu and Kashmir. The attraction draws domestic and regional travelers for its distinctive character, pleasant ambiance, and cultural significance. It serves as a cherished public landmark within the local community and tourist itineraries.",Oct-Mar,https://thumb.wikimedia.org/wikipedia/commons/thumb/3/3f/Sinthan_Top_%2814594406763%29.jpg/960px-Sinthan_Top_%2814594406763%29.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
11884,Ali Masjid msjd shryf,Jammu and Kashmir,attraction,34.096587,74.791578,budget,4.2,599,"Ali Masjid msjd shryf is a renowned religious landmark situated in Srinagar, Jammu district of Jammu and Kashmir. The destination attracts visitors seeking authentic regional heritage, architectural grandeur, and picturesque surroundings. It plays an integral role in the cultural landscape and local tourism identity of the region.",Oct-Feb,https://thumb.wikimedia.org/wikipedia/commons/thumb/7/71/Maner_dargah_..._Bihar_._INDIA.jpg/960px-Maner_dargah_..._Bihar_._INDIA.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
11885,Ali Park `ly prkh,Jammu and Kashmir,attraction,34.111238,74.804703,budget,4.2,2307,"Ali Park `ly prkh is a renowned recreation landmark situated in Srinagar, Jammu district of Jammu and Kashmir. The destination attracts visitors seeking authentic regional heritage, architectural grandeur, and picturesque surroundings. It plays an integral role in the cultural landscape and local tourism identity of the region.",Oct-Feb,https://thumb.wikimedia.org/wikipedia/commons/thumb/f/fa/Tulip_Garden_india_%28cropped%29.jpg/960px-Tulip_Garden_india_%28cropped%29.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
11886,Amar Mahal Museum and Library,Jammu and Kashmir,attraction,32.747713,74.872297,mid,4.9,3907,"Amar Mahal Museum and Library is a renowned cultural landmark situated in Jammu, Jammu district of Jammu and Kashmir. The destination attracts visitors seeking authentic regional heritage, architectural grandeur, and picturesque surroundings. It plays an integral role in the cultural landscape and local tourism identity of the region.",Oct-Mar,https://thumb.wikimedia.org/wikipedia/commons/thumb/e/e0/A_view_of_Pari_Mahal_Jammu_and_Kashmir_India.jpg/960px-A_view_of_Pari_Mahal_Jammu_and_Kashmir_India.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
11887,Bagh-E-Bahu,Jammu and Kashmir,attraction,32.7287,74.8717,budget,4.5,5456,"Bagh-E-Bahu is a renowned recreation landmark situated in Jammu, Jammu district of Jammu and Kashmir. The destination attracts visitors seeking authentic regional heritage, architectural grandeur, and picturesque surroundings. It plays an integral role in the cultural landscape and local tourism identity of the region.",Oct-Feb,https://thumb.wikimedia.org/wikipedia/commons/thumb/9/94/Nishat_Bagh.JPG/960px-Nishat_Bagh.JPG?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
11888,Bahu Fort Park,Jammu and Kashmir,attraction,32.724937,74.876859,mid,4.3,1783,"Bahu Fort Park is a renowned recreation landmark situated in Jammu, Jammu district of Jammu and Kashmir. The destination attracts visitors seeking authentic regional heritage, architectural grandeur, and picturesque surroundings. It plays an integral role in the cultural landscape and local tourism identity of the region.",Oct-Feb,https://thumb.wikimedia.org/wikipedia/commons/thumb/3/34/Mubarak_Mandi_Complex.jpg/960px-Mubarak_Mandi_Complex.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
