city_id,city_name,state_name,total_verified_attractions,natural_attraction_count,heritage_attraction_count,historical_attraction_count,cultural_attraction_count,religious_attraction_count,wildlife_attraction_count,unesco_attraction_count,asi_attraction_count,protected_attraction_count,ramsar_attraction_count,attraction_type_count,attraction_category_count,tourism_type_count,attraction_count_score,attraction_diversity_score,attraction_significance_score,attraction_recognition_score,natural_attraction_score,heritage_attraction_score,cultural_attraction_score,religious_attraction_score,wildlife_attraction_score,overall_attraction_score,data_completeness_percentage,score_confidence
CT0001,Port Blair,Andaman and Nicobar Islands,3,1,2,0,0,0,0,1,1,0,0,2,3,2,60.6,49.85,32,71.67,46.33,69.47,1,1,1,49.32,100,High
CT0002,Adoni,Andhra Pradesh,2,0,1,0,0,1,0,0,1,0,0,2,2,2,48.24,45.6,32,67,1,64.67,1,52,1,41.56,100,Medium
CT0003,Amaravati,Andhra Pradesh,4,0,1,0,2,1,0,0,2,0,0,3,4,3,70.2,65.15,49,72,1,92,84,84,1,60.84,100,High
CT0004,Anantapur,Andhra Pradesh,2,0,1,0,0,1,0,0,0,0,0,2,2,2,48.24,45.6,32,35,1,56.67,1,52,1,35.96,100,Medium
CT0005,Chandragiri,Andhra Pradesh,2,0,2,0,0,0,0,0,2,0,0,1,2,1,48.24,34.55,40.5,80,1,64.67,1,1,1,41.3,100,Medium
CT0006,Chittoor,Andhra Pradesh,2,1,1,0,0,0,0,0,1,0,0,2,2,2,48.24,45.6,32,67,46.33,46.33,1,1,1,42.98,100,Medium
CT0007,Dowlaiswaram,Andhra Pradesh,2,0,1,0,1,0,0,0,0,0,0,2,2,2,48.24,45.6,23.5,35,38.33,56.67,52,1,1,39.69,100,Medium
CT0008,Eluru,Andhra Pradesh,2,1,1,0,0,0,0,0,1,1,1,2,2,2,48.24,45.6,49,84,72.67,46.33,1,1,70,52.44,100,Medium
CT0009,Guntur,Andhra Pradesh,3,1,1,0,0,1,0,0,0,1,0,3,3,3,60.6,60.9,49,57.33,54.33,56.67,1,52,70,54.45,100,High
CT0010,Kadapa,Andhra Pradesh,3,0,1,0,0,2,0,0,2,0,0,2,3,2,60.6,49.85,49,74.67,1,83,1,84,1,51.22,100,High
CT0011,Kakinada,Andhra Pradesh,2,2,0,0,0,0,0,0,0,1,0,1,2,2,48.24,38.8,40.5,51,72.67,1,1,1,70,40.32,100,Medium
CT0012,Kurnool,Andhra Pradesh,3,2,1,0,0,0,0,0,0,0,0,2,3,2,60.6,49.85,32,57.33,64.67,75,1,1,1,49.56,100,High
CT0013,Machilipatnam,Andhra Pradesh,2,1,1,0,0,0,0,0,0,0,0,2,2,2,48.24,45.6,32,51,46.33,38.33,1,1,1,39.78,100,Medium
CT0014,Nagarjunakoṇḍa,Andhra Pradesh,2,0,2,0,0,0,0,0,1,0,0,1,2,1,48.24,34.55,49,67,38.33,64.67,1,1,1,44.36,100,Medium
CT0015,Rajahmundry,Andhra Pradesh,2,0,1,0,1,0,0,0,0,0,0,2,1,2,48.24,41.35,32,35,1,47.33,52,52,1,36.73,100,Medium
CT0016,Srikakulam,Andhra Pradesh,2,0,0,0,0,2,0,0,0,0,0,1,1,1,48.24,30.3,23.5,51,1,47.33,1,68,1,33.49,100,Medium
CT0017,Tirupati,Andhra Pradesh,3,1,0,0,0,2,0,0,0,0,0,2,2,2,60.6,45.6,49,35,46.33,65.67,1,68,1,46.82,100,High
CT0018,Vijayawada,Andhra Pradesh,3,0,2,0,0,1,0,0,1,0,0,2,3,2,60.6,49.85,49,64.33,56.67,83,1,52,1,54.43,100,High
CT0019,Visakhapatnam,Andhra Pradesh,4,2,0,0,2,0,0,0,0,0,0,2,4,4,70.2,62.6,40.5,49,83,75,84,1,1,60.03,100,High
CT0020,Vizianagaram,Andhra Pradesh,2,0,1,0,0,1,0,0,0,0,0,2,2,2,48.24,45.6,32,51,1,56.67,52,52,1,40.91,100,Medium
CT0021,Yemmiganur,Andhra Pradesh,1,0,0,0,0,1,0,0,0,0,0,1,1,1,30.8,30.3,23.5,35,1,38.33,1,52,1,26.3,100,Low
CT0022,Itanagar,Arunachal Pradesh,2,1,1,0,0,0,0,0,0,0,0,2,2,2,48.24,45.6,40.5,51,46.33,38.33,1,1,1,41.06,100,Medium
CT0023,Dhuburi,Assam,1,0,0,0,0,1,0,0,0,0,0,1,1,1,30.8,30.3,23.5,35,1,38.33,1,52,1,26.3,100,Low
CT0024,Dibrugarh,Assam,2,1,1,0,0,0,0,0,0,1,0,2,2,2,48.24,45.6,49,67,54.33,38.33,1,1,81.25,47.54,100,Medium
CT0025,Dispur,Assam,2,0,0,0,1,1,0,0,0,0,0,2,2,2,48.24,45.6,32,35,1,56.67,52,52,1,38.51,100,Medium
CT0026,Guwahati,Assam,3,1,0,0,0,2,0,1,0,1,1,2,2,2,60.6,45.6,57.5,90.33,54.33,52.13,1,68,70,57.56,100,High
